;GO:0006281;GO:0008065;GO:0007179;GO:0006366;GO:0042178;GO:0045892;GO:0048167;GO:0001947;GO:0070886;GO:0072423;GO:0030862;GO:0017148;GO:0060271;GO:0002092;GO:1901673;GO:0007064;GO:0050806;GO:0060317;GO:0006334;GO:0010629;GO:0001558;GO:0010628;GO:0000070;GO:0030252;GO:0035307;GO:0017015;GO:0032876;GO:0034613;GO:0039023;GO:1901687;GO:0045944;GO:0010718;GO:0045595;GO:0023041;GO:0071599;GO:0018916;GO:0006351;GO:0000209;GO:0030162;GO:0007169;GO:0006357;GO:0030516;GO:0048791;GO:0006749;GO:0043066;GO:0097711;GO:2000300;GO:0039008;GO:0070458
GO:0030862;0.0;0.0;0.06217793518997288;0.0;0.0;0.0750100577023631;0.06490454773410878;0.0;0.1486347839975625;0.0;1.0;0.06326088124749005;0.0;0.15231491803185873;0.056273175188279186;0.0;0.17044519459090665;0.0;0.0;0.06783033178683297;0.06887741284176865;0.1872097969316293;0.0;0.04074728776037275;0.1574641891475689;0.06268922183041602;0.05262136121035541;0.0;0.0;0.0;0.19961950021592695;0.37669654397163393;0.3884256723669179;0.05262136121035541;0.0;0.0;0.0;0.0;0.06391359691190639;0.07005795001271553;0.08010332780821215;0.3834996688296566;0.0;0.0;0.07330462449006477;0.0;0.05721857929509224;0.0;0.0
GO:0017148;0.0;0.0;0.09115962003891534;0.0;0.0;0.6616976034589446;0.09714269815004799;0.0;0.07787428305479532;0.0;0.06326088124749005;1.0;0.0;0.17835351169161234;0.0790054795084214;0.0;0.09484291840906085;0.0;0.0;0.6395110063592607;0.10632143356698873;0.36616506893849876;0.0;0.0559265375579501;0.3515390501481175;0.09226284638704667;0.3914969963262288;0.0;0.0;0.0;0.3752221390397849;0.08504186422422388;0.12709062911572183;0.07199121904611498;0.0;0.0;0.0;0.0;0.45691302201999334;0.10916087722625623;0.42026126991999563;0.0912558393497387;0.0;0.0;0.3394818232432455;0.0;0.08088171151124221;0.0;0.0
GO:0060271;0.036204802271115076;0.02204162861343359;0.029898785532724986;0.0375876328970168;0.024483731597494816;0.0;0.0;0.0;0.0;0.023280422135229694;0.0;0.0;1.0;0.0;0.0;0.3500823425843656;0.0;0.02651393129291474;0.4272248012587407;0.0;0.0;0.0;0.37966743682598025;0.02357508712222666;0.0;0.0;0.0;0.0;0.0;0.02602181388298135;0.0;0.0;0.0;0.023280422135229694;0.0;0.022539409182826105;0.045323040445433276;0.03341923574722895;0.0;0.0362880854648103;0.0;0.0;0.026856553326935134;0.028528238965793394;0.0;0.029999026801094068;0.0;0.0;0.02204162861343359
GO:0002092;0.0;0.0;0.0788473922039419;0.0;0.0;0.22281909445540687;0.08328410656874215;0.0;0.1833588756877058;0.0;0.15231491803185873;0.17835351169161234;0.0;1.0;0.2969502190338821;0.0;0.21772859928622315;0.0;0.0;0.2309302913503748;0.3838021956643832;0.39401698606093555;0.0;0.04972132997915034;0.2752637712547575;0.07967138798407782;0.14182069051677473;0.0;0.0;0.0;0.3740912268094069;0.1980894524842982;0.10436932703382211;0.06408801570823591;0.0;0.0;0.0;0.0;0.21322293079979138;0.09196459771849017;0.2436119885345516;0.33676993905929636;0.0;0.0;0.0976414118425317;0.0;0.5433577552830333;0.0;0.0
GO:1901673;0.0;0.0;0.0773235632694168;0.0;0.0;0.09821891545258864;0.0815858090379858;0.0;0.06754881462199747;0.0;0.056273175188279186;0.0790054795084214;0.0;0.2969502190338821;1.0;0.0;0.0799574699766808;0.0;0.0;0.08958190417905282;0.37536404238373877;0.09059026469438282;0.0;0.04892919952270824;0.07247760169938941;0.07811585720617979;0.4363845258522763;0.0;0.0;0.0;0.0978626222050437;0.07287666485248812;0.10171595000330147;0.06307762537370064;0.0;0.0;0.0;0.0;0.08287458989832591;0.08989822427739962;0.10713900900523397;0.33025559356410483;0.0;0.0;0.09531528379342732;0.0;0.06980006859543135;0.0;0.0
GO:0007064;0.02659786442860969;0.018068461080748513;0.023029518021079505;0.027336705055139646;0.01967736774486301;0.0;0.0;0.0;0.0;0.01889255409576281;0.0;0.0;0.3500823425843656;0.0;0.0;1.0;0.0;0.020967710335098255;0.19871913438898103;0.0;0.0;0.0;0.5783438548744705;0.019086148747820095;0.0;0.0;0.0;0.0;0.0;0.020658743440912678;0.0;0.0;0.0;0.01889255409576281;0.0;0.018401602429566784;0.031210799945853004;0.025063131066404877;0.0;0.026642785854937217;0.0;0.0;0.021181406480844545;0.02220774004398209;0.0;0.023088943782413336;0.0;0.0;0.018068461080748513
GO:0050806;0.0;0.0;0.09242940152457516;0.0;0.0;0.1239504787955762;0.8261447416328788;0.0;0.39723149433960026;0.0;0.17044519459090665;0.09484291840906085;0.0;0.21772859928622315;0.0799574699766808;0.0;1.0;0.0;0.0;0.1141395382685767;0.10805273598211841;0.3168606588705598;0.0;0.05654740053463415;0.22840545740290769;0.3297400625597719;0.07278082946753199;0.0;0.0;0.0;0.32926586520860623;0.22989204471942265;0.1295722875038513;0.07278082946753199;0.0;0.0;0.0;0.0;0.1034697347657025;0.11098668153001265;0.13850284267769236;0.09252832147646287;0.0;0.0;0.11936170076414696;0.0;0.6861476547818554;0.0;0.0
GO:0060317;0.028529524839569664;0.24384486996740792;0.024463672647002593;0.029381296784340833;0.020714994840789015;0.0;0.0;0.2088190867870318;0.0;0.019847054713726234;0.0;0.0;0.02651393129291474;0.0;0.0;0.020967710335098255;0.0;1.0;0.025012087548170886;0.0;0.0;0.0;0.022444147417896007;0.020060815992430193;0.0;0.0;0.0;0.0;0.15666741904865722;0.021805467089018395;0.0;0.0;0.0;0.019847054713726234;0.17388010789261668;0.019305952003115197;0.03390451672034005;0.026771146406670145;0.0;0.028581214341882655;0.0;0.0;0.022388583279732414;0.023538411979250773;0.0;0.024530741080783045;0.0;0.15666741904865722;0.018939587432658573
GO:0006334;0.03346127460885941;0.020993696203519773;0.028002715479025372;0.03463906069570418;0.023197499151391014;0.0;0.0;0.0;0.0;0.022114502266200285;0.0;0.0;0.4272248012587407;0.0;0.0;0.19871913438898103;0.0;0.025012087548170886;1.0;0.0;0.0;0.0;0.21454714449744036;0.02238022331764302;0.0;0.0;0.0;0.0;0.0;0.024573680840469257;0.0;0.0;0.0;0.022114502266200285;0.0;0.021444785313718844;0.04110408706443382;0.03106792793708771;0.0;0.0335324015732267;0.0;0.0;0.025316771193558314;0.02679698200837798;0.0;0.028090627330205935;0.0;0.0;0.020993696203519773
GO:0010629;0.0;0.0;0.10816297510023315;0.0;0.0;0.9335716346175728;0.1179584864779982;0.0;0.08793608741594502;0.0;0.06783033178683297;0.6395110063592607;0.0;0.2309302913503748;0.08958190417905282;0.0;0.1141395382685767;0.0;0.0;1.0;0.133909977643794;0.5771599121383394;0.0;0.07047669825117828;0.24563013540151862;0.1099353622784108;0.37238726260130567;0.0;0.0;0.0;0.5234961419503599;0.09859946469429867;0.17479135283468658;0.07959034801183332;0.0;0.0;0.0;0.0;0.37973600450311146;0.13908789333507407;0.6255791424955697;0.1083169611777671;0.0;0.0;0.47038701612184197;0.0;0.09234188007210396;0.0;0.0
