;GO:0043407;GO:0007173;GO:0038096;GO:0006401;GO:0043152;GO:0001942;GO:0070588;GO:0016055;GO:0070207;GO:0035754;GO:0035556;GO:0050830;GO:0010592;GO:0043615;GO:0071805;GO:0090501;GO:0050829;GO:0030041;GO:0007224;GO:0043312;GO:1900026;GO:0001581;GO:0006699;GO:0006898;GO:0061844;GO:0050982;GO:0002227;GO:0006707;GO:0048013;GO:0034314;GO:0071468;GO:0035725;GO:0030178;GO:0018105
GO:0071805;0.0;0.02738697369027742;0.029963121403407636;0.03190037374903532;0.0;0.0;0.7382957346156073;0.03277978046020873;0.02577240146140143;0.02264165310332815;0.04046067205741963;0.0;0.0;0.02264165310332815;1.0;0.030344024807281954;0.0;0.02585383785716907;0.02808210809307578;0.3463314950698836;0.0;0.0;0.025688542697291455;0.32387718830602946;0.0;0.0;0.0;0.0;0.028453721257739057;0.02542065798400764;0.023778223686460598;0.768661101263358;0.0;0.03082757767215144
GO:0090501;0.0;0.027203341537502382;0.02974345637762238;0.356602330229985;0.0;0.0;0.0;0.03251705649325919;0.025609718481388787;0.022515997531319814;0.04006115166717547;0.0;0.0;0.022515997531319814;0.030344024807281954;1.0;0.0;0.025690128417180193;0.027889068610719252;0.034304400469475756;0.0;0.0;0.22595588312016288;0.0;0.0;0.0;0.0;0.21076055593090717;0.02825555697840355;0.025262371681231917;0.02363967470695421;0.0;0.0;0.17809427434471498
GO:0050829;0.0;0.0;0.0;0.0;0.6005151122921306;0.0;0.0;0.0;0.0;0.0;0.0;0.7487085068483676;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.15932591707147076;0.0;0.0;0.596522538441037;0.43352685889913517;0.4393149746704991;0.0;0.0;0.0;0.18056738995306856;0.0;0.0;0.0
GO:0030041;0.0;0.023538411979250773;0.025416577634217483;0.02679698200837798;0.0;0.0;0.0;0.027414797640704692;0.3802594702782784;0.019945577875110712;0.032588790003417294;0.0;0.0;0.019945577875110712;0.02585383785716907;0.025690128417180193;0.0;1.0;0.024050080532169962;0.028674378765410288;0.0;0.0;0.022272756446621127;0.0;0.0;0.0;0.0;0.0;0.0243221252937934;0.6618294923206113;0.02082234684436629;0.0;0.0;0.026035884626992783
GO:0007224;0.08495874553735545;0.3546716099506634;0.38536573456632145;0.029198341619608777;0.0;0.0;0.0;0.4184460648687036;0.023979595480373463;0.021246167726588917;0.3121970415128082;0.0;0.07528473014089276;0.021246167726588917;0.02808210809307578;0.027889068610719252;0.0;0.024050080532169962;1.0;0.031441375780041386;0.07914891950588901;0.0;0.02390698142386259;0.0;0.0;0.0;0.0;0.0;0.36743303691946294;0.07707057980907597;0.02224386726545036;0.0;0.09136239827265598;0.02829701778053261
GO:0043312;0.0;0.03057255868056386;0.6689647879612743;0.036306922440652964;0.3494361994480753;0.0;0.35199514694541795;0.03745041688141645;0.02857423882615891;0.3494361994480753;0.04782236114521608;0.0;0.0;0.02477593375833625;0.3463314950698836;0.034304400469475756;0.0;0.028674378765410288;0.031441375780041386;1.0;0.0;0.0;0.02847119204669087;0.600301076684279;0.4360833183789444;0.0;0.3880324960172414;0.0;0.031907952198834036;0.02814249939683547;0.026143348024288474;0.333502863087438;0.0;0.034923701026438846
GO:1900026;0.07952312852956323;0.07744698754904591;0.20157519447464164;0.0;0.0;0.0;0.0;0.09036054111256872;0.0;0.0;0.10766810943683541;0.0;0.4124985188985804;0.0;0.0;0.0;0.0;0.0;0.07914891950588901;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0800541281140144;0.4217122024795024;0.0;0.0;0.08510666311002396;0.0
GO:0001581;0.0;0.0;0.0;0.0;0.13526552826601107;0.0;0.0;0.0;0.0;0.0;0.0;0.1601348307429137;0.0;0.0;0.0;0.0;0.15932591707147076;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.15635766986272984;0.4327653981722319;0.145061476140454;0.0;0.0;0.0;0.14024571157025076;0.0;0.0;0.0
GO:0006699;0.0;0.02340131964941717;0.02525680911777097;0.23562664575603037;0.0;0.0;0.0;0.027229011816511422;0.02221229118145525;0.019847054713726234;0.03232659533817811;0.0;0.0;0.019847054713726234;0.025688542697291455;0.22595588312016288;0.0;0.022272756446621127;0.02390698142386259;0.02847119204669087;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6167893747231553;0.024175780367111;0.021950519573941625;0.020714994840789015;0.0;0.0;0.12204957387597853
GO:0006898;0.0;0.0;0.0;0.0;0.0;0.0;0.3288249990046023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32387718830602946;0.0;0.0;0.0;0.0;0.600301076684279;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3126311039492443;0.0;0.0
