;GO:0090656;GO:0007095;GO:0006281;GO:0006289;GO:0046777;GO:0000733;GO:0045003;GO:0000732;GO:0000731;GO:0043987;GO:0045893;GO:0070244;GO:0071139;GO:0016055;GO:0090305;GO:0010792;GO:0010032;GO:0044806;GO:0051260;GO:0090263;GO:0007026;GO:0006406;GO:0010705;GO:0032355;GO:0070317;GO:0043967;GO:0008360;GO:0043968;GO:1904874;GO:0007076;GO:0007077;GO:0006260;GO:1905168;GO:0008284;GO:0000712;GO:0045787;GO:0046632;GO:0006303;GO:0006468;GO:0045944;GO:1904837;GO:0000079;GO:0000122;GO:0051782;GO:0046641;GO:0032508;GO:0000083;GO:0000281;GO:0000082;GO:0071479;GO:0031297;GO:0051307;GO:0030521;GO:0016579;GO:0006270;GO:0007084;GO:0007088;GO:0006351;GO:0090166;GO:0006310;GO:0000724;GO:0000723;GO:0045950;GO:0061820;GO:0007129;GO:0034080;GO:0006357;GO:1903827;GO:0048478;GO:0000492;GO:0072355;GO:0072711;GO:1901291;GO:0072757
GO:0045893;0.0;0.36023422299003627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2952816926456908;0.0;0.4623244718340664;0.0;0.0;0.0;0.0;0.0;0.46374712722142747;0.3714198720975611;0.0;0.0;0.0;0.344745484196768;0.0;0.44114039579185704;0.0;0.4602819202962876;0.0;0.0;0.0;0.5798218724239641;0.5674996020242309;0.0;0.5755582203497089;0.0;0.0;0.0;0.890556768716477;0.0;0.4797809901858565;0.71753415703748;0.45845533262725224;0.42440239696341864;0.0;0.6883342534609422;0.0;0.0;0.0;0.0;0.0;0.3869086108908294;0.0;0.0;0.0;0.46373240675325783;0.0;0.0;0.0;0.0;0.37663496301317223;0.4965039581844379;0.28475817457972;0.0;0.0;0.8025357303101776;0.47336285483434287;0.5135328769160404;0.0;0.0;0.0;0.4623593563641258;0.0
GO:0070244;0.0;0.24483841560033986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2952816926456908;1.0;0.0;0.2872639973718706;0.0;0.0;0.0;0.0;0.0;0.2177834069051222;0.29607093199491763;0.0;0.0;0.0;0.26939654409412445;0.0;0.2778467638106494;0.0;0.18047340216027258;0.0;0.0;0.0;0.16413691538016506;0.3200434115092309;0.0;0.32810202983470904;0.0;0.0;0.0;0.2775935462681738;0.0;0.2502893668104149;0.34300400043259976;0.3798027242380778;0.1883086276237334;0.0;0.2118481364286336;0.0;0.0;0.0;0.0;0.0;0.2118481364286336;0.0;0.0;0.0;0.30043877477205017;0.0;0.0;0.0;0.0;0.21003766274543362;0.26166808058525676;0.12431913815385937;0.0;0.0;0.31515521876944047;0.298302380372147;0.24483841560033986;0.0;0.0;0.0;0.256605258081328;0.0
GO:0071139;0.5793304341499714;0.4024070004238523;0.6722901313938433;0.5761164127510632;0.4475301305008341;0.5961600991348883;0.4774329106047184;0.6060048220507647;0.637551509329866;0.5103503820900666;0.0;0.0;1.0;0.5044972492678825;0.6269228642405719;0.5793304341499714;0.4024070004238523;0.25821818352367026;0.42908138832464554;0.0;0.0;0.0;0.5793304341499714;0.0;0.0;0.5370247699908597;0.0;0.5201951050059428;0.0;0.42908138832464554;0.4024070004238523;0.6466490940896391;0.0;0.0;0.4024070004238523;0.0;0.47389819735531896;0.5309098530671722;0.5257155260167611;0.0;0.4024070004238523;0.0;0.0;0.0;0.0;0.30870717847842105;0.42908138832464554;0.41923666540876925;0.4024070004238523;0.3045226277899759;0.6060048220507647;0.4360663303936862;0.42908138832464554;0.4589418534995642;0.6298194291047222;0.4024070004238523;0.0;0.636047057303516;0.4024070004238523;0.6761832628372679;0.5378947951362129;0.6466490940896391;0.0;0.504235465166379;0.4024070004238523;0.4024070004238523;0.0;0.0;0.5793304341499714;0.4024070004238523;0.5103503820900666;0.30050947687859925;0.0;0.30050947687859925
GO:0016055;0.4876675842829656;0.5028258869433649;0.4787297579815844;0.40218609570431657;0.3993857043237211;0.4025997257226294;0.32616383054738834;0.5143419721837588;0.54588865946286;0.5044972492678825;0.4623244718340664;0.2872639973718706;0.5044972492678825;1.0;0.4612744085805558;0.4876675842829656;0.4876675842829656;0.34347876738278355;0.5143419721837588;0.3848261860934978;0.36799652110858083;0.0;0.4876675842829656;0.0;0.3413221332077877;0.5311716371686757;0.5086370907615932;0.5143419721837588;0.3844611745495559;0.5143419721837588;0.4876675842829656;0.45308872067738015;0.3258333944145194;0.4885786608963012;0.4876675842829656;0.4966372792217793;0.5591587812144323;0.3701531552835767;0.4703986016434999;0.43929002530252814;0.4876675842829656;0.41198584584476927;0.42399897924677926;0.4591732992105161;0.34548145583548895;0.3939677623375342;0.5295002748441581;0.5044972492678825;0.4876675842829656;0.3897832116490891;0.5143419721837588;0.5213269142527994;0.6473016352848076;0.41079742732245117;0.5381565792377163;0.4876675842829656;0.46213525380640447;0.5949573621781695;0.4876675842829656;0.482622889425009;0.37713809735261733;0.4304274836879636;0.3426630593994363;0.32616383054738834;0.4876675842829656;0.4876675842829656;0.48219799795781604;0.4913957582530019;0.5028258869433649;0.4876675842829656;0.5044972492678825;0.38577006073771253;0.3258333944145194;0.38577006073771253
GO:0090305;0.610093199255655;0.3591841597365257;0.6607616031445979;0.5740755022280831;0.47095437622237524;0.5846315708856429;0.48553443872098534;0.6367675871564481;0.6683142744355495;0.45150716063186697;0.0;0.0;0.6269228642405719;0.4612744085805558;1.0;0.610093199255655;0.3591841597365257;0.2799478731806891;0.3858585476373188;0.0;0.0;0.0;0.610093199255655;0.0;0.0;0.47818154853266015;0.0;0.4613518835477432;0.0;0.3858585476373188;0.3591841597365257;0.6351205658403936;0.0;0.0;0.3591841597365257;0.0;0.43067535666799234;0.534870063611195;0.541967273542154;0.0;0.3591841597365257;0.0;0.0;0.0;0.0;0.33043686813543977;0.3858585476373188;0.37601382472144257;0.3591841597365257;0.31941354709427866;0.6367675871564481;0.39284348970635946;0.3858585476373188;0.5019961555866177;0.6605821942104056;0.3591841597365257;0.0;0.67509168379593;0.3591841597365257;0.6646547345880225;0.5418550056802357;0.6351205658403936;0.0;0.5081956757104019;0.3591841597365257;0.3591841597365257;0.0;0.0;0.610093199255655;0.3591841597365257;0.45150716063186697;0.3067504277423498;0.0;0.3067504277423498
GO:0010792;0.5625007691650545;0.3855773354389354;0.6554604664089264;0.5592867477661463;0.43070046551591723;0.5793304341499714;0.4606032456198015;0.5891751570658477;0.6207218443449491;0.49352071710514955;0.0;0.0;0.5793304341499714;0.4876675842829656;0.610093199255655;1.0;0.3855773354389354;0.24138851853875337;0.4122517233397286;0.0;0.0;0.0;0.7440025606004488;0.0;0.0;0.5201951050059428;0.0;0.5033654400210259;0.0;0.4122517233397286;0.3855773354389354;0.6298194291047222;0.0;0.0;0.3855773354389354;0.0;0.45706853237040207;0.5140801880822552;0.5088858610318442;0.0;0.3855773354389354;0.0;0.0;0.0;0.0;0.2918775134935041;0.4122517233397286;0.4024070004238523;0.3855773354389354;0.28769296280505896;0.5891751570658477;0.41923666540876925;0.4122517233397286;0.4421121885146473;0.6129897641198052;0.3855773354389354;0.0;0.6192173923185991;0.3855773354389354;0.659353597852351;0.5210651301512959;0.6298194291047222;0.0;0.48740580018146207;0.3855773354389354;0.3855773354389354;0.0;0.0;0.5625007691650545;0.3855773354389354;0.49352071710514955;0.28367981189368235;0.0;0.28367981189368235
GO:0010032;0.4772016191318648;0.5383937202809524;0.37663950913755423;0.30009584686028645;0.297295455479691;0.589912002401906;0.22407358170335817;0.4122517233397286;0.44379841061882996;0.4940312841167817;0.0;0.0;0.4024070004238523;0.4876675842829656;0.3591841597365257;0.3855773354389354;1.0;0.5730823374169891;0.503876007032658;0.0;0.0;0.0;0.584472835391554;0.0;0.0;0.5207056720175749;0.0;0.503876007032658;0.0;0.7781625283937957;0.5383937202809524;0.35099847183335003;0.0;0.0;0.584472835391554;0.0;0.45706853237040207;0.26806290643954656;0.3683083527994698;0.0;0.4772016191318648;0.0;0.0;0.0;0.0;0.6235713323717398;0.5650681081817457;0.5552233852658693;0.5383937202809524;0.28769296280505896;0.4122517233397286;0.6181321653613878;0.4122517233397286;0.30870717847842105;0.43606633039368614;0.5383937202809524;0.0;0.4928671133341394;0.531909416035425;0.38053264058097885;0.2750478485085872;0.6033549498760712;0.0;0.48657249838532635;0.6906537847988623;0.4772016191318648;0.0;0.0;0.3855773354389354;0.4772016191318648;0.4940312841167817;0.28367981189368235;0.0;0.28367981189368235
GO:0044806;0.3526428585971952;0.24138851853875337;0.2875332716050975;0.22085956030444986;0.22592238280837867;0.7307715897429498;0.15912105135901272;0.26806290643954656;0.2996095937186479;0.3694725235821121;0.0;0.0;0.25821818352367026;0.34347876738278355;0.2799478731806891;0.24138851853875337;0.5730823374169891;1.0;0.35968719013247596;0.0;0.0;0.0;0.24138851853875337;0.0;0.0;0.3961469114829053;0.0;0.37931724649798837;0.0;0.6265592798794428;0.3526428585971952;0.2618922343008933;0.0;0.0;0.24138851853875337;0.0;0.29556477863482483;0.19668983376823423;0.2890720662436332;0.0;0.3330128022316828;0.0;0.0;0.0;0.0;0.7644309197127837;0.26806290643954656;0.25821818352367026;0.24138851853875337;0.20845667624922237;0.26806290643954656;0.2750478485085872;0.26806290643954656;0.2264397112986804;0.2918775134935041;0.3526428585971952;0.0;0.33136335959856217;0.43001189249017197;0.29142640304852213;0.2036747758372749;0.5765523953144106;0.0;0.46694244201981394;0.5092337353747429;0.3526428585971952;0.0;0.0;0.24138851853875337;0.3330128022316828;0.3694725235821121;0.19457357436122563;0.0;0.19457357436122563
GO:0051260;0.5619529626652469;0.4122517233397286;0.38065266004893084;0.30714017839556723;0.3066549065450889;0.3961469114829053;0.23525923081088307;0.4389261112405218;0.47047279851962315;0.5207056720175749;0.0;0.0;0.42908138832464554;0.5143419721837588;0.3858585476373188;0.4122517233397286;0.503876007032658;0.35968719013247596;1.0;0.0;0.0;0.0;0.4122517233397286;0.0;0.0;0.547380059918368;0.0;0.5305503949334511;0.0;0.5305503949334511;0.503876007032658;0.3550116227447266;0.0;0.0;0.4122517233397286;0.0;0.48374292027119525;0.27742235750494454;0.3753526843347505;0.0;0.5925963001785468;0.0;0.0;0.0;0.0;0.4101761850872267;0.4389261112405218;0.42908138832464554;0.4122517233397286;0.31436735070585214;0.4389261112405218;0.44591105330956243;0.4389261112405218;0.3353815663792142;0.4627407182944793;0.503876007032658;0.0;0.5195415012349325;0.503876007032658;0.38454579149235546;0.2844072995739852;0.446635906437656;0.0;0.34237225329708076;0.503876007032658;0.5925963001785468;0.0;0.0;0.4122517233397286;0.5925963001785468;0.5207056720175749;0.28769296280505896;0.0;0.28769296280505896
GO:0090263;0.0;0.28273593724946766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46374712722142747;0.2177834069051222;0.0;0.3848261860934978;0.0;0.0;0.0;0.0;0.0;1.0;0.2939215863569925;0.0;0.0;0.0;0.2672471984561994;0.0;0.36364211005128844;0.0;0.382783634555719;0.0;0.0;0.0;0.41147659405362713;0.5126625532730789;0.0;0.5207211715985569;0.0;0.0;0.0;0.4407126806898892;0.0;0.33608471305105403;0.3386102287267985;0.38095704688668364;0.34690411122285003;0.0;0.3094103251502608;0.0;0.0;0.0;0.0;0.0;0.3094103251502608;0.0;0.0;0.0;0.3862341210126892;0.0;0.0;0.0;0.0;0.2991366772726036;0.25727430887945557;0.20725988883915142;0.0;0.0;0.39411179465736346;0.39586456909377427;0.28273593724946766;0.0;0.0;0.0;0.32778721364177893;0.0
