;GO:0060088;GO:1902476;GO:0006486;GO:0008343;GO:0006367;GO:0008589;GO:0032922;GO:0046068;GO:0045892;GO:0043030;GO:0045893;GO:0010738;GO:0051607;GO:0071456;GO:0017148;GO:0035556;GO:0010575;GO:0021702;GO:0050728;GO:0010906;GO:0006809;GO:0072539;GO:0036315;GO:0010389;GO:0070507;GO:0035065;GO:0043124;GO:0045944;GO:0006468;GO:0042753;GO:0043401;GO:0000122;GO:0000086;GO:0045595;GO:0019221;GO:0051384;GO:0034765;GO:0071356;GO:0032228;GO:0045071;GO:0030522;GO:0016579;GO:0060850;GO:0006351;GO:0007286;GO:0044267;GO:0045599;GO:0007565;GO:0006355;GO:0007288;GO:0006435;GO:0007249;GO:0001662;GO:0006511;GO:0097711;GO:0042692;GO:0071347
GO:0010738;0.0;0.0;0.0;0.0;0.0;0.2887722681795083;0.0665012733867194;0.0;0.10069076362213845;0.0736711011413855;0.1030110796765677;1.0;0.0;0.0;0.08059700328111925;0.10385823264421895;0.06288395815859812;0.0;0.24973814702104016;0.07940592294015605;0.05194992542357211;0.0;0.0;0.0824296159890392;0.08357950539701971;0.0751093627406264;0.35931029479920235;0.10031634542676295;0.0;0.060993273216225566;0.08121616491854916;0.09682338479346915;0.0;0.10436932703382211;0.09433223565018599;0.0;0.079887869632253;0.0;0.25514623973098455;0.06630271372635961;0.08336949349842995;0.0;0.06901641438639028;0.0;0.0;0.0;0.07449169931295294;0.0;0.11472914530548942;0.0;0.0;0.07660248589583527;0.0;0.0;0.0;0.0;0.0
GO:0051607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3634847233489474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42859351563623127;0.20047707193593498;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2463223767522492;0.0;0.24186580127310536;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5174837204423401;0.0;0.0;0.0;0.0;0.4911277377510244;0.0;0.0;0.0;0.23044076311826442
GO:0071456;0.022999975585573474;0.0;0.030501492586039968;0.0;0.029496981790507477;0.0;0.0;0.02515144778424353;0.0;0.0;0.0;0.0;0.3634847233489474;1.0;0.0;0.03825791943579585;0.0;0.02263610086552701;0.0;0.0;0.02331193764589605;0.020831789118631077;0.40143121493621825;0.0;0.0;0.0;0.0;0.0;0.03555871157656567;0.0;0.028672320920658252;0.0;0.028468358937741002;0.0;0.034125434479565536;0.3883996910566302;0.0;0.47993874529446734;0.0;0.0;0.029549474485629886;0.03094215449682749;0.0;0.04048797259013898;0.02741092263973146;0.042455471211561416;0.0;0.0;0.0;0.022999975585573474;0.020831789118631077;0.026816127196614206;0.30640399751078945;0.03305183632504891;0.027801505998959742;0.027378850669510586;0.458409218230328
GO:0017148;0.0;0.0;0.0;0.0;0.0;0.08903116615149284;0.2463755196249002;0.0;0.6616976034589446;0.08431073939445256;0.38746110336144124;0.08059700328111925;0.0;0.0;1.0;0.12633358766104355;0.07165475338932649;0.0;0.2483047415467977;0.20473573887854787;0.05876196004523639;0.0;0.0;0.0959821517332459;0.09754482329323672;0.35861488242321;0.24465013367664143;0.3752221390397849;0.0;0.06921012965791012;0.094340856117792;0.6312295441342456;0.0;0.12709062911572183;0.11251287503326517;0.0;0.09459801480016931;0.0;0.08264720425093025;0.23173407431966886;0.09725888622526217;0.0;0.242451821465138;0.0;0.0;0.0;0.2472219173009726;0.0;0.4423176423548037;0.0;0.0;0.08817216063645689;0.0;0.0;0.0;0.0;0.0
GO:0035556;0.029358481352004768;0.0;0.04279231649981357;0.0;0.04084104123518699;0.11829948317343963;0.10067411328511912;0.03295702674543843;0.1838390859175512;0.11010807932446576;0.19172382843992442;0.10385823264421895;0.0;0.03825791943579585;0.12633358766104355;1.0;0.09260939185554294;0.02876818654610246;0.10987260300771887;0.12343147666663837;0.07463966084136789;0.025915491655330004;0.030726171327964433;0.130895120541692;0.13381868872936095;0.1133521906687228;0.11042930269448478;0.18259479521804664;0.05345905738591564;0.08856623517877596;0.33863472167505965;0.17134361582043567;0.038895193309014905;0.1964829074500271;0.4335343433664882;0.0;0.13489307537483503;0.03893860847525819;0.10728781064025236;0.10021975244434249;0.3529883213713097;0.04366474654098646;0.10002551736833702;0.06543606213029636;0.036947804378248614;0.070733911047102;0.11195128488405012;0.0;0.23672431247592268;0.029358481352004768;0.025915491655330004;0.5998975275563753;0.0;0.04798716550392183;0.03766098924503309;0.03688955666975394;0.036590018455732544
GO:0010575;0.0;0.0;0.0;0.0;0.0;0.06864986871597804;0.06714062824992705;0.0;0.08974869217284784;0.06543958198251948;0.25135055017549546;0.06288395815859812;0.0;0.0;0.07165475338932649;0.09260939185554294;1.0;0.0;0.07111100305318602;0.07058512056026428;0.052396771154452855;0.0;0.0;0.07330113893325137;0.0743345708115919;0.0667293492346114;0.06556839090658069;0.2446911229566574;0.0;0.16839161441335698;0.07221091087845481;0.08625900354031928;0.0;0.09307120358370385;0.08401296409781182;0.0;0.08081232307093215;0.0;0.06429810567253655;0.0669382380715031;0.07414580572934334;0.0;0.06126870467937275;0.0;0.0;0.0;0.06617539909006624;0.0;0.10244508003363086;0.0;0.0;0.06806881325119854;0.0;0.0;0.0;0.0;0.0
GO:0021702;0.019193656101624983;0.0;0.024150201647954714;0.0;0.023516124006709313;0.0;0.0;0.020669107130772676;0.0;0.0;0.0;0.0;0.0;0.02263610086552701;0.0;0.02876818654610246;0.0;1.0;0.0;0.0;0.019410420868698968;0.2742685914429431;0.01976894614374969;0.0;0.0;0.0;0.0;0.0;0.027214776114902445;0.0;0.022988990525325444;0.0;0.022857687078178996;0.0;0.026367207516203514;0.0;0.0;0.022872674065192482;0.0;0.0;0.023549475748095638;0.02442562471650061;0.0;0.03001116373548947;0.2854483817085856;0.031078745271951095;0.0;0.0;0.0;0.17027494219995565;0.017659794945153594;0.021780212890886292;0.0;0.025721655810301506;0.022425790895409164;0.34400408854820225;0.022041628613433593
GO:0050728;0.0;0.0;0.0;0.0;0.0;0.2756555798249252;0.07577180859144673;0.0;0.3222676430634635;0.07361233229893482;0.10879700346204003;0.24973814702104016;0.0;0.0;0.2483047415467977;0.10987260300771887;0.07111100305318602;0.0;1.0;0.08018795485328616;0.05834254795832326;0.0;0.0;0.08371169684954397;0.08506222353347646;0.07524840199001046;0.4388947051829452;0.10539902121324343;0.0;0.06870271699230825;0.08229279689169024;0.3075887435947356;0.0;0.11052323828997136;0.09797837342803938;0.0;0.09365260604987882;0.0;0.07217107356658986;0.22986668060787627;0.08481513401781639;0.0;0.06837627697015922;0.0;0.0;0.0;0.2269157772192722;0.0;0.12399660688231152;0.0;0.0;0.07695608086737109;0.0;0.0;0.0;0.0;0.0
GO:0010906;0.0;0.0;0.0;0.0;0.0;0.08758000286913077;0.17505667846678233;0.0;0.26505165615833093;0.0830082522895617;0.2722994515664177;0.07940592294015605;0.0;0.0;0.20473573887854787;0.12343147666663837;0.07058512056026428;0.0;0.08018795485328616;1.0;0.057936555134918515;0.0;0.0;0.094297691331188;0.095805564433104;0.18899009405428482;0.08319068368523484;0.2638877967979938;0.0;0.0682117280493114;0.09271302322334571;0.2531053475790264;0.0;0.12415403692737201;0.11020520560964145;0.0;0.09274261327605154;0.0;0.08139522719189178;0.07492138580222721;0.0955297187610356;0.0;0.17185317685518742;0.0;0.0;0.0;0.08405151167618666;0.0;0.30985347094209764;0.0;0.0;0.0867486411128018;0.0;0.0;0.0;0.0;0.0
GO:0006809;0.01967736774486301;0.0;0.12811168492594693;0.0;0.27872001996196216;0.05643941874075156;0.055268478004044094;0.1854698437371933;0.07250433437725591;0.05394516735490289;0.07406937296834909;0.05194992542357211;0.0;0.02331193764589605;0.05876196004523639;0.07463966084136789;0.052396771154452855;0.019410420868698968;0.05834254795832326;0.057936555134918515;1.0;0.018068461080748513;0.020282476753109246;0.06002954981140619;0.060823435318441525;0.05494887407300923;0.054045505157094276;0.07225137282135533;0.14495570110688186;0.05088990368409095;0.05919054818130677;0.06988585641493764;0.02354702170894645;0.0749834333341874;0.0681925543697115;0.0;0.06576867679625607;0.023562926586173785;0.053055046450642254;0.0551112286382703;0.06067852751887703;0.12961992801663422;0.050684422661984245;0.35877830788947584;0.022818908388626956;0.1663897508928906;0.05451805204792224;0.0;0.08190544685726028;0.01967736774486301;0.15784153238254026;0.055988958803308946;0.0;0.1367318889505249;0.023088943782413336;0.022796677685618837;0.02268193162953708
GO:0072539;0.01788048761237731;0.0;0.022107332756147905;0.0;0.02157480869171149;0.0;0.0;0.019154254597201287;0.0;0.0;0.0;0.0;0.42859351563623127;0.020831789118631077;0.0;0.025915491655330004;0.0;0.2742685914429431;0.0;0.0;0.018068461080748513;1.0;0.01837872977948846;0.0;0.0;0.0;0.0;0.0;0.024648097165010242;0.0;0.021130292664295988;0.0;0.02101931183919318;0.0;0.0239508132967792;0.0;0.0;0.021031984384445788;0.0;0.0;0.021602877895512254;0.02233790802176929;0.0;0.02691987698256535;0.263126421894436;0.027775718018919236;0.0;0.0;0.0;0.15862527590284406;0.016542012253947143;0.020104716632479723;0.0;0.02341696381729374;0.020653538310306335;0.31712656827106617;0.020327253806802243
GO:0036315;0.020045915875616153;0.0;0.02551512027015041;0.0;0.02480839246240189;0.0;0.0;0.02166081769932617;0.0;0.0;0.0;0.0;0.20047707193593498;0.40143121493621825;0.0;0.030726171327964433;0.0;0.01976894614374969;0.0;0.0;0.020282476753109246;0.01837872977948846;1.0;0.0;0.0;0.0;0.0;0.0;0.02896060114720801;0.0;0.024222454375137523;0.0;0.024076727534893844;0.0;0.028002715479025376;0.5422300450862558;0.0;0.440386201044353;0.0;0.0;0.02484551333078237;0.025822754070076257;0.0;0.032148284253497694;0.023316016121525878;0.03337643738144737;0.0;0.0;0.0;0.020045915875616153;0.01837872977948846;0.022884259377244233;0.17334275662841722;0.027275699398878514;0.02359801775940709;0.02329280677333524;0.42356408642500487
