;GO:0060045;GO:0038110;GO:0007179;GO:0003376;GO:0001666;GO:0051289;GO:0030509;GO:0032729;GO:0032689;GO:0070207;GO:0050830;GO:0035556;GO:0034260;GO:0007181;GO:0065003;GO:2000010;GO:0060317;GO:0060318;GO:0042267;GO:0002769;GO:0050680;GO:0034699;GO:0002728;GO:0031100;GO:0032354;GO:0045429;GO:0034695;GO:0051271;GO:0045664;GO:0038096;GO:0060389;GO:0002223;GO:0000165;GO:0002534;GO:0050852;GO:0050776;GO:0031295;GO:0007169;GO:0007166;GO:0060979;GO:0045954;GO:0050860;GO:0071222;GO:0045087;GO:0043066;GO:0060939;GO:0035723;GO:0032496;GO:2000502;GO:0030512;GO:0030511
GO:0050830;0.0;0.0;0.0;0.0;0.3657165044613078;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34470885209519164;0.0;0.0;0.21525307526577445;0.0;0.0;0.2610677296305774;0.0;0.20790627653426957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34697635839614327;0.4557712150311998;0.0;0.0;0.0;0.4648661781653644;0.0;0.0;0.0
GO:0035556;0.24508887683848146;0.7861043096265699;0.7462651347143983;0.7862641803691651;0.0;0.3000766603593082;0.41131587252945656;0.4255708803643182;0.4255730330714507;0.3000766603593082;0.0;1.0;0.3829709039079838;0.3320234930632193;0.3716969221531235;0.40460857943030976;0.3508286111517726;0.3508084899397154;0.0;0.5944697332920873;0.5317782519530133;0.0;0.19585764136344322;0.0;0.0;0.30079706897978914;0.0;0.559697833993034;0.48247845637167275;0.40988660070025457;0.20762752212419153;0.3787373856173377;0.46424917082090106;0.0;0.4615956203270835;0.5349397069701585;0.30001184159482097;0.7860538247370689;0.8800448626754314;0.3719485394310794;0.21589740231281299;0.34019484866082117;0.20724455362113553;0.0;0.48254475307504696;0.3315407056484169;0.7861043096265699;0.0;0.24509967850067535;0.33018524579851466;0.3408018893900932
GO:0034260;0.17513824761499105;0.35086172562122875;0.3367418962768803;0.35091776856912776;0.0;0.0;0.20450164667690987;0.3376898721791894;0.4219544864060485;0.0;0.0;0.3829709039079838;1.0;0.0;0.0;0.3243555386398391;0.0;0.0;0.0;0.2799732323618746;0.42196269056076147;0.0;0.21855350858667477;0.0;0.0;0.20983861800197234;0.0;0.4393532106969714;0.31237093670982247;0.20387962492499884;0.0;0.1901878104109862;0.20330184429610423;0.0;0.22604465158447076;0.403082500482045;0.20936096731808804;0.35084402704530443;0.3829709039079838;0.0;0.190718062748224;0.29163985824719785;0.0;0.0;0.39035947259198056;0.0;0.35086172562122875;0.0;0.21884867422326346;0.28425260839858946;0.23375704943705916
GO:0007181;0.0;0.29983348762675793;0.28596789619535096;0.29988886913549173;0.0;0.7351682823319843;0.16405959235352896;0.0;0.0;0.7351682823319843;0.0;0.3320234930632193;0.0;1.0;0.8927134083035324;0.0;0.31681581342836534;0.3167994044989846;0.0;0.23192843917371217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16351803195526057;0.1952236346803077;0.15166827142867795;0.1630152422456085;0.0;0.18299140693111626;0.0;0.0;0.2998159985105462;0.3320234930632193;0.3339391654654862;0.0;0.0;0.19488501993796611;0.0;0.0;0.30100224807173753;0.29983348762675793;0.0;0.0;0.0;0.0
GO:0065003;0.0;0.3318165577568701;0.31491848449742493;0.33188438578227164;0.0;0.8064174993732208;0.17319391211139465;0.0;0.0;0.8064174993732208;0.0;0.3716969221531235;0.0;0.8927134083035324;1.0;0.0;0.35274152686189025;0.35272118563355903;0.0;0.2506137748216821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1725904790849191;0.20829603559758741;0.15944218926680967;0.17203044473965468;0.0;0.1944289736401491;0.0;0.0;0.3317951386678486;0.3716969221531235;0.374099409218774;0.0;0.0;0.20791059927014327;0.0;0.0;0.33324855425890243;0.3318165577568701;0.0;0.0;0.0;0.0
GO:2000010;0.22432625231695646;0.36893757091329465;0.35335770384699483;0.368999537606822;0.0;0.0;0.21051318824777254;0.44283466237428554;0.35440317740548405;0.0;0.0;0.40460857943030976;0.3243555386398391;0.0;0.0;1.0;0.0;0.0;0.0;0.29136424964425345;0.3544104091668297;0.0;0.17928789481301396;0.0;0.0;0.27011397173504437;0.0;0.46203913470198765;0.32661783254347093;0.26221849820032417;0.0;0.24412842409400448;0.20924202940242725;0.0;0.2916550694029389;0.4271237714395328;0.26948060099487076;0.3689180018078806;0.40460857943030976;0.0;0.2448276880380602;0.2412633569832048;0.0;0.0;0.32665579484192325;0.0;0.36893757091329465;0.0;0.2243353013457141;0.23495164550576725;0.30194180112079844
GO:0060317;0.0;0.3150852657167367;0.29980911584193565;0.3151464253369739;0.0;0.28759972364275255;0.16852306865494576;0.0;0.0;0.28759972364275255;0.0;0.3508286111517726;0.0;0.31681581342836534;0.35274152686189025;0.0;1.0;0.6747561244370156;0.0;0.24095024820195074;0.0;0.0;0.0;0.37571903065280426;0.0;0.0;0.0;0.0;0.0;0.16795169086026226;0.20157672494126555;0.15547514050971517;0.1674213102577057;0.0;0.18856194295739057;0.0;0.0;0.31506595214968475;0.3508286111517726;0.7133426231189355;0.0;0.0;0.20121573314676275;0.0;0.0;0.5358597660055958;0.3150852657167367;0.0;0.0;0.0;0.0
GO:0060318;0.0;0.31506903555464905;0.29979442125375594;0.31513018887372635;0.0;0.2875862014990272;0.16851842568587505;0.0;0.0;0.2875862014990272;0.0;0.3508084899397154;0.0;0.3167994044989846;0.35272118563355903;0.0;0.6747561244370156;1.0;0.0;0.2409407568803968;0.0;0.0;0.0;0.37569595315337245;0.0;0.0;0.0;0.0;0.0;0.16794707932137898;0.2015700820752002;0.15547118866459309;0.16741672779832073;0.0;0.18855613017935274;0.0;0.0;0.3150497239771833;0.3508084899397154;0.7133014610075994;0.0;0.0;0.2012091140516316;0.0;0.0;0.5358320505804289;0.31506903555464905;0.0;0.0;0.0;0.0
GO:0042267;0.0;0.0;0.0;0.0;0.3467149999599623;0.0;0.0;0.0;0.0;0.0;0.34470885209519164;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.2063119003783424;0.0;0.0;0.2480306736445767;0.0;0.1995531855674662;0.0;0.0;0.19207930355870476;0.0;0.1338891138933874;0.0;0.0;0.15772204532571743;0.0;0.14668566242182632;0.0;0.0;0.0;0.0;0.0;0.1664790724970134;0.6945149895613597;0.0;0.0;0.0;0.22053108220625595;0.0;0.0;0.0
GO:0002769;0.2062311680870052;0.6250438674445072;0.6025359516391239;0.550144917628335;0.0;0.2158744823746871;0.3816837116496596;0.30207917140992496;0.3020802560410613;0.2158744823746871;0.0;0.5944697332920873;0.2799732323618746;0.23192843917371217;0.2506137748216821;0.29136424964425345;0.24095024820195074;0.2409407568803968;0.0;1.0;0.37746416202172;0.0;0.2866774000310082;0.0;0.0;0.24430312362397175;0.0;0.39131998964815135;0.35193838443710784;0.6114042938023613;0.1635013654133639;0.572900967502958;0.3340586808184973;0.0;0.6730123367458057;0.614523709204157;0.29246813372011154;0.6250157785116867;0.6754993506635961;0.25072813547988876;0.31097129155937137;0.4291743426433225;0.16326378739204828;0.0;0.35197365831506827;0.2316927624231566;0.6250438674445072;0.0;0.2886095707517172;0.31592786195059824;0.3239771626348783
