;GO:0046718;GO:0038114;GO:0033572;GO:0035690;GO:1902476;GO:0045830;GO:0042102;GO:0006446;GO:0043687;GO:0006511;GO:0043304;GO:0006879;GO:0030316;GO:0097286;GO:1990830;GO:0097401;GO:0045794;GO:0045780;GO:0048388;GO:0030890;GO:0031623;GO:0010499;GO:0016567
GO:0043304;0.0;0.03542095073601984;0.0;0.0;0.0;0.032529300391690406;0.04410875767296391;0.03542095073601984;0.0;0.0;1.0;0.014979476643671387;0.0;0.0;0.0;0.014979476643671387;0.014979476643671387;0.03542095073601984;0.014979476643671387;0.04922394597935607;0.0;0.0;0.0
GO:0006879;0.0;0.018032200330988648;0.0;0.018032200330988648;0.0;0.002800881846608173;0.005961352380265788;0.015602529001770322;0.018032200330988648;0.018032200330988648;0.014979476643671387;1.0;0.018032200330988648;0.0;0.018032200330988648;0.0954530342320968;0.0954530342320968;0.023915377181351196;0.36576181510630734;0.006652676316702776;0.018032200330988648;0.0;0.018032200330988648
GO:0030316;0.0;0.07153182450691553;0.0;0.07153182450691553;0.0;0.0;0.0;0.0;0.022277141600228655;0.021522845044846663;0.0;0.018032200330988648;1.0;0.0;0.04124057718599388;0.023934992948117656;0.06650410182460502;0.0;0.01844711400995396;0.0;0.051925829547280054;0.0;0.02189487228911387
GO:0097286;0.0;0.0;0.20414581884607852;0.0;0.09942310915187194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.08591255905224075;0.0;0.0;0.0;0.0;0.11506320997954247;0.0;0.0
GO:1990830;0.0;0.04124057718599388;0.0;0.3087052771897396;0.0;0.0;0.0;0.0;0.022277141600228655;0.021522845044846663;0.0;0.018032200330988648;0.04124057718599388;0.0;1.0;0.023934992948117656;0.04124057718599388;0.0;0.01844711400995396;0.0;0.04124057718599388;0.0;0.02189487228911387
GO:0097401;0.0;0.023934992948117656;0.08591255905224075;0.023934992948117656;0.19861490133678872;0.002800881846608173;0.005961352380265788;0.015602529001770322;0.022277141600228655;0.021522845044846663;0.014979476643671387;0.0954530342320968;0.023934992948117656;0.08591255905224075;0.023934992948117656;1.0;0.12669933004767198;0.031744012027390286;0.09764937016862583;0.006652676316702776;0.0530379031680273;0.0;0.02189487228911387
GO:0045794;0.0;0.06650410182460502;0.0;0.06650410182460502;0.0;0.002800881846608173;0.005961352380265788;0.015602529001770322;0.022277141600228655;0.021522845044846663;0.014979476643671387;0.0954530342320968;0.06650410182460502;0.0;0.04124057718599388;0.12669933004767198;1.0;0.053868825883752545;0.09764937016862583;0.006652676316702776;0.051925829547280054;0.0;0.02189487228911387
GO:0045780;0.0;0.053868825883752545;0.0;0.0;0.0;0.019633247304097955;0.014096404968237644;0.020693002473972075;0.0;0.0;0.03542095073601984;0.023915377181351196;0.0;0.0;0.0;0.031744012027390286;0.053868825883752545;1.0;0.02446566039404959;0.015731131713214507;0.0;0.0;0.0
GO:0048388;0.0;0.01844711400995396;0.0;0.01844711400995396;0.0;0.002800881846608173;0.005961352380265788;0.015602529001770322;0.01844711400995396;0.01844711400995396;0.014979476643671387;0.36576181510630734;0.01844711400995396;0.0;0.01844711400995396;0.09764937016862583;0.09764937016862583;0.02446566039404959;1.0;0.006652676316702776;0.01844711400995396;0.0;0.01844711400995396
GO:0030890;0.0;0.015731131713214507;0.0;0.0;0.0;0.1333569217760866;0.4649958094720516;0.015731131713214507;0.0;0.0;0.04922394597935607;0.006652676316702776;0.0;0.0;0.0;0.006652676316702776;0.006652676316702776;0.015731131713214507;0.006652676316702776;1.0;0.0;0.0;0.0
GO:0031623;0.0;0.051925829547280054;0.07707796061295388;0.051925829547280054;0.06751541911785222;0.0;0.0;0.0;0.20141324215750858;0.19459345721857507;0.0;0.018032200330988648;0.051925829547280054;0.11506320997954247;0.04124057718599388;0.0530379031680273;0.051925829547280054;0.0;0.01844711400995396;0.0;1.0;0.053553679527842256;0.19795704913640053
GO:0010499;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23461834900338666;0.26020845535737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.053553679527842256;1.0;0.23461834900338666
GO:0016567;0.0;0.02189487228911387;0.0;0.02189487228911387;0.0;0.0;0.0;0.0;0.9560047851581759;0.28613922521041946;0.0;0.018032200330988648;0.02189487228911387;0.0;0.02189487228911387;0.02189487228911387;0.02189487228911387;0.0;0.01844711400995396;0.0;0.19795704913640053;0.23461834900338666;1.0
