;GO:1905004;GO:0008284;GO:0008203;GO:0006487;GO:0006520;GO:0009313;GO:0009235;GO:0006682;GO:0006468;GO:0046415;GO:0042359;GO:0042953;GO:0002003;GO:0006855;GO:0043171;GO:0001886;GO:0007409;GO:1990822;GO:0034765;GO:0015747;GO:0015889;GO:1905012;GO:0003081;GO:0015760;GO:1902204;GO:1904985;GO:0006898;GO:0048704;GO:0006569;GO:0001558;GO:0015739;GO:0035725;GO:0010107;GO:0016266;GO:0015812;GO:0015811;GO:0051259
GO:0042359;0.2668275492857828;0.0;0.7460114767485847;0.30782596432961745;0.45032556250295896;0.42248456895908554;0.45587375754943515;0.2362709456975285;0.3080900167981287;0.41840363754917387;1.0;0.0;0.28134088037519506;0.0;0.278700169469892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24870014649592184;0.0;0.0;0.0;0.0;0.2991201599509458;0.0;0.0;0.0
GO:0042953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.44001723900055484;0.0;0.0;0.0;0.3959017559194079;0.0;0.5436514125578016;0.5430897181173373;0.0;0.0;0.48578461509496523;0.0;0.0;0.42216129129878116;0.0;0.0;0.0;0.43436231234467065;0.32868795279999263;0.299338834167575;0.0;0.4577999383195224;0.41858154433118;0.0
GO:0002003;0.3283431105676449;0.18773620052519052;0.2744257265733554;0.5189442437692492;0.49454520184981177;0.2983492339479856;0.3965381974420437;0.36313770915274846;0.5192857690965086;0.4671223817586551;0.28134088037519506;0.0;1.0;0.0;0.566974545940576;0.1668543086785633;0.1583212541168267;0.0;0.18775164663552651;0.0;0.0;0.1263893783269539;0.231567702982193;0.0;0.15084381156678484;0.1374676506619544;0.0;0.0;0.3022758734810262;0.19358722160333464;0.0;0.0;0.1436893799241222;0.5076073261574657;0.0;0.0;0.18788699937477643
GO:0006855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.44001723900055484;0.0;1.0;0.0;0.0;0.0;0.42220809009396265;0.0;0.5323860799852831;0.6364602062987321;0.0;0.0;0.5624406753079918;0.0;0.0;0.5944193530068786;0.0;0.0;0.0;0.4831578928835128;0.5081492736017934;0.45104110998462166;0.0;0.4238524393273437;0.3781176087131423;0.0
GO:0043171;0.3761411027982402;0.0;0.27023380888804294;0.45372265357680625;0.5420776251313335;0.4493461625667752;0.47881459307842894;0.3723762941169338;0.454080010972449;0.5702070889060842;0.278700169469892;0.0;0.566974545940576;0.0;1.0;0.2074145038421965;0.1943905697475388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4350841202891306;0.0;0.0;0.0;0.17278714131800654;0.44191245377838606;0.0;0.0;0.24094300354068177
GO:0001886;0.13213611798619349;0.0;0.0;0.18254902272206092;0.22190671651152574;0.0;0.19358816530889084;0.11741396854170817;0.18270548572555412;0.20712926014807936;0.0;0.0;0.1668543086785633;0.0;0.2074145038421965;1.0;0.6550855472800898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3668232865922163;0.10530528916094052;0.0;0.0;0.0;0.18851665492394207;0.17739031878970576;0.0;0.0;0.46248318175411013
GO:0007409;0.1267270941479082;0.0;0.0;0.17238408868241864;0.20706433391676987;0.0;0.18219503123836295;0.11312354041311538;0.17252360540513878;0.19414000169468942;0.0;0.0;0.1583212541168267;0.0;0.1943905697475388;0.6550855472800898;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3370681251371628;0.10184110352295216;0.0;0.0;0.0;0.17769595996648088;0.16777664681120094;0.0;0.0;0.4250463982624897
GO:1990822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3959017559194079;0.0;0.42220809009396265;0.0;0.0;0.0;1.0;0.0;0.6330178919951067;0.4454351351877636;0.0;0.0;0.3954615563430035;0.0;0.0;0.3411068351897481;0.0;0.0;0.0;0.6532805679249444;0.4400581228049854;0.40643045472487976;0.0;0.7081597398753035;0.656262898829559;0.0
GO:0034765;0.0;0.4503476188445732;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18775164663552651;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.24206097155864337;0.2839730011067832;0.0;0.31414300072873985;0.27322563833469304;0.0;0.0;0.0;0.47584376394088507;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0015747;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5436514125578016;0.0;0.5323860799852831;0.0;0.0;0.0;0.6330178919951067;0.0;1.0;0.6416300179591097;0.0;0.0;0.5783138586152534;0.0;0.0;0.5064673936194204;0.0;0.0;0.0;0.754779863658881;0.45208857872569846;0.40631857281264083;0.0;0.7467066150256156;0.6741499714599659;0.0
GO:0015889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5430897181173373;0.0;0.6364602062987321;0.0;0.0;0.0;0.4454351351877636;0.0;0.6416300179591097;1.0;0.0;0.0;0.5775737540146637;0.0;0.0;0.5057878780418652;0.0;0.0;0.0;0.506308433985825;0.3772517445673478;0.33909266688161555;0.0;0.5253544223507857;0.47435238973706134;0.0
