;GO:0018108;GO:0021879;GO:0061098;GO:0090331;GO:0046777;GO:0060603;GO:0045124;GO:1900016;GO:0042531;GO:0002286;GO:0030224;GO:0036006;GO:0050712;GO:0030225;GO:0038145;GO:0043312;GO:0007342;GO:0045217;GO:0048015;GO:0050727;GO:0001916;GO:2000249;GO:0031623;GO:0071404;GO:0030335;GO:0008360;GO:0046718;GO:0014003;GO:0008285;GO:0008284;GO:0090197;GO:0051271;GO:0009414;GO:0002576;GO:0000165;GO:0009968;GO:0043171;GO:0010955;GO:0019221;GO:2000391;GO:0007169;GO:0046488;GO:0007166;GO:0030316;GO:0030913;GO:0043066;GO:0045087;GO:0070374;GO:0006508;GO:0070498;GO:2000660;GO:0071902;GO:2000661
GO:0030224;0.024892068995282617;0.3168466443854592;0.0;0.0;0.02498139262978561;0.16788342186783403;0.0;0.0;0.0;0.022344310956209142;1.0;0.018924080213231;0.0;0.7646813184455021;0.018307684229438063;0.027066797439943873;0.020495327744062996;0.01983002654283323;0.02268917370486198;0.0;0.0;0.0;0.022630534039172655;0.020495327744062996;0.0;0.0;0.0;0.27255777427117284;0.0;0.0;0.0;0.0;0.0;0.024003994591082614;0.025926206044113703;0.0;0.02161214347188439;0.0;0.027838116185694456;0.0;0.027166214374804678;0.02521251911030107;0.031861918034267495;0.7938747615114639;0.17169101483479618;0.0;0.0;0.0;0.0;0.022344310956209142;0.0;0.0;0.0
GO:0036006;0.022611871495328794;0.018843922736484796;0.0;0.0;0.022685555746831114;0.0;0.0;0.0;0.0;0.020489603251445852;0.018924080213231;1.0;0.0;0.019072139574988347;0.017043617088630857;0.024392175685828594;0.018924080213231;0.01835546266242781;0.0207792198345862;0.0;0.0;0.0;0.02073002640556365;0.28296800685461926;0.0;0.0;0.0;0.019497601088495117;0.0;0.0;0.0;0.0;0.24247542981045034;0.021876643500360515;0.023461990035503484;0.0;0.019872260366623797;0.0;0.025016830359105246;0.0;0.024472886197948015;0.022875990475104722;0.02821945243373862;0.01974202850009074;0.01794624859974998;0.0;0.19920726972921843;0.0;0.0;0.020489603251445852;0.0;0.0;0.0
GO:0050712;0.0;0.0;0.0597540978909255;0.3269324068251209;0.0;0.0;0.2324761073326225;0.5018348947525778;0.060712243272341475;0.0;0.0;0.0;1.0;0.0;0.05064502466817386;0.0;0.0;0.0;0.06058729784629831;0.06057966147053983;0.05047470214886026;0.05842194856789883;0.0;0.0;0.28617341581026956;0.06474584987937618;0.0;0.0;0.20722950848786692;0.0732211650945847;0.5445086890672968;0.27665514297498284;0.0;0.0;0.06750043524013068;0.21713344148819733;0.0;0.17109913459042744;0.07142358154413656;0.2143772604866175;0.07005795001271553;0.0;0.0793183170216674;0.0;0.0;0.21223916697291065;0.0;0.06625461593292258;0.0;0.059829841314888735;0.15080688041567542;0.06812873366039686;0.047799631016701725
GO:0030225;0.025148872646410057;0.3195207554632249;0.0;0.0;0.025240052211241273;0.16919691832374165;0.0;0.0;0.0;0.02255101776875801;0.7646813184455021;0.019072139574988347;0.0;1.0;0.018446220176376486;0.027370707143601854;0.020669107130772676;0.019992662136233234;0.02290234083085127;0.0;0.0;0.0;0.02284259558844974;0.020669107130772676;0.0;0.0;0.0;0.27494549621980424;0.0;0.0;0.0;0.0;0.0;0.024242713280608143;0.02620491011931083;0.0;0.0218054670890184;0.0;0.028159696525351777;0.0;0.027472373338779756;0.025476012282727677;0.03228388591663274;0.8009250483052807;0.17306501088948578;0.0;0.0;0.0;0.0;0.02255101776875801;0.0;0.0;0.0
GO:0038145;0.02173738053617767;0.018232653144588034;0.06426790352577431;0.05820787123576413;0.0218054670890184;0.0;0.055509592918402115;0.051224110257822045;0.06537761647131815;0.01976894614374969;0.018307684229438063;0.017043617088630857;0.05064502466817386;0.018446220176376486;1.0;0.023377650108166555;0.018307684229438063;0.017774984128329507;0.17276563766767086;0.06591282750357473;0.05412348337655617;0.06272948316682497;0.019992662136233234;0.018307684229438063;0.07571904593212786;0.07007896079502186;0.0;0.018843922736484796;0.0781488268827748;0.0801162266667956;0.0585250000880146;0.07298454623887708;0.0;0.021057065768047428;0.19417734513258927;0.0822447737394637;0.01919365610162498;0.06350656168718878;0.5521221403360881;0.05548353548255347;0.32783828848094665;0.021981355279213428;0.3756278652642242;0.019072139574988347;0.017390972284480048;0.0802161552097469;0.0;0.0718499167063563;0.0;0.45572034326465716;0.05548353548255347;0.0740592224856726;0.05064502466817386
GO:0043312;0.0353014297614063;0.02690311676320668;0.0;0.0;0.03548135048181739;0.0;0.0;0.0;0.0;0.7169011438650285;0.027066797439943873;0.024392175685828594;0.0;0.027370707143601854;0.023377650108166555;1.0;0.027066797439943873;0.025918417750582682;0.031029005867752094;0.0;0.0;0.0;0.5030689349984885;0.027066797439943873;0.0;0.0;0.0;0.02825555697840355;0.0;0.0;0.0;0.0;0.0;0.7625731709695446;0.03741809460811189;0.0;0.029049239248283443;0.0;0.041535143764230266;0.0;0.040056953034698584;0.03594941835134168;0.051178496915368875;0.028771792331908297;0.025109944287691775;0.0;0.5763566826339191;0.0;0.0;0.030387611610433803;0.0;0.0;0.0
GO:0007342;0.024892068995282617;0.020401339940053793;0.0;0.0;0.02498139262978561;0.0;0.0;0.0;0.0;0.022344310956209142;0.020495327744062996;0.018924080213231;0.0;0.020669107130772676;0.018307684229438063;0.027066797439943873;1.0;0.16757924355465892;0.02268917370486198;0.0;0.0;0.0;0.022630534039172655;0.020495327744062996;0.0;0.0;0.0;0.02116973712405622;0.0;0.0;0.0;0.0;0.0;0.024003994591082614;0.025926206044113703;0.0;0.02161214347188439;0.0;0.027838116185694456;0.0;0.027166214374804678;0.02521251911030107;0.031861918034267495;0.021458197157809184;0.16355034533917207;0.0;0.0;0.0;0.0;0.022344310956209142;0.0;0.0;0.0
GO:0045217;0.023917490658381616;0.01974202850009074;0.0;0.0;0.023999945204943005;0.0;0.0;0.0;0.0;0.021555863886025584;0.01983002654283323;0.01835546266242781;0.0;0.019992662136233234;0.017774984128329507;0.025918417750582682;0.16757924355465892;1.0;0.021876643500360515;0.0;0.0;0.0;0.02182212351854227;0.01983002654283323;0.0;0.0;0.0;0.020460688760885998;0.0;0.0;0.0;0.0;0.0;0.023096448141110063;0.024870685085529226;0.0;0.020873666878203672;0.0;0.026624820439140058;0.0;0.02600956339513095;0.024213190317556237;0.030282476862841842;0.02073002640556365;0.6026907772038163;0.0;0.0;0.0;0.0;0.021555863886025584;0.0;0.0;0.0
GO:0048015;0.028204198778953922;0.02257404436964586;0.08117080732329579;0.07173786073053746;0.02831892939940016;0.0;0.06976915216934271;0.0631307761254034;0.08294908217461933;0.024977272809594983;0.02268917370486198;0.0207792198345862;0.06058729784629831;0.02290234083085127;0.17276563766767086;0.031029005867752094;0.02268917370486198;0.021876643500360515;1.0;0.08703499390341493;0.06759338988777036;0.07873209349354102;0.02533546556071346;0.02268917370486198;0.10033561862382027;0.09066633967819875;0.0;0.023518611116653793;0.10464705177539008;0.10820520646700088;0.07222016321964497;0.09558982724601302;0.0;0.027069454234517936;0.4939484681625001;0.11212445650492604;0.02406590669866514;0.07996009728690158;0.2762996389456396;0.06764436064226652;0.2686505299591835;0.02861630629743199;0.3233019804876823;0.02387517319732646;0.021297844365349615;0.10838756868204853;0.0;0.0936528278982858;0.0;0.21534710240742944;0.06764436064226652;0.09744175640463719;0.06058729784629831
GO:0050727;0.0;0.0;0.08509803377061233;0.5527714421737109;0.0;0.0;0.08274858285099997;0.6799206349815562;0.30981564633600434;0.0;0.0;0.0;0.06057966147053983;0.0;0.06591282750357473;0.0;0.0;0.0;0.08703499390341493;1.0;0.28277244053100026;0.08206959844596741;0.0;0.0;0.1101663622695574;0.0972290195768799;0.0;0.0;0.11613621324557584;0.12116063593517576;0.07415004824546648;0.10374029016752621;0.0;0.0;0.10450655732709573;0.44985012293315624;0.0;0.08359021473151598;0.11568593711730403;0.06872607557016733;0.11167916621375029;0.0;0.14163201841152034;0.0;0.0;0.12142057307845398;0.0;0.3588864266580621;0.0;0.08527273517666853;0.24382012925580443;0.10623012203513797;0.21491902116453027
