;GO:0045948;GO:0008380;GO:0033120;GO:0042376;GO:0000413;GO:0006886;GO:0043401;GO:0006367;GO:0048814;GO:0006103;GO:0000122;GO:0002576;GO:0043392;GO:0009749;GO:0045893;GO:0043153;GO:1990967;GO:0051604;GO:0016311;GO:0030522;GO:0034128;GO:0006351;GO:0032482;GO:0044267;GO:0006355;GO:1903830;GO:0048666;GO:0006397;GO:0006974;GO:0006357;GO:0071260;GO:0071286;GO:0045087;GO:0006508;GO:0035725;GO:0050965;GO:0010961;GO:0072659;GO:0010466;GO:0016567
GO:0043153;0.06280927798489387;0.0;0.06372434209104297;0.0;0.0;0.0;0.0709355625659836;0.0;0.06842822552793895;0.0;0.08444539979383793;0.0;0.05751811437376898;0.19898488881327211;0.08979079469340791;1.0;0.0;0.0;0.0;0.07280183173059508;0.05665959063195699;0.0;0.0674962002893242;0.0;0.09989704314542927;0.0;0.0;0.0;0.2344745159404996;0.09589600143006359;0.46849344402660154;0.15737342385736258;0.22840443459584653;0.0;0.0;0.41234057659450607;0.04830375621439229;0.0;0.07539205847348919;0.0
GO:1990967;0.0;0.0;0.0;0.0;0.0;0.23699582291715696;0.0;0.0;0.0;0.0;0.0;0.20470391949654396;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17932545270687705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20386024218179516;0.0;0.0;0.18943416606876856;0.0;0.0
GO:0051604;0.0;0.2025363039296542;0.0;0.09719300203372831;0.2749997169246642;0.0;0.0;0.1850568840041878;0.0;0.11316189759703317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.13660780346291487;0.0;0.0;0.2615930386360501;0.0;0.4737878676310617;0.0;0.0;0.0;0.20694078694083676;0.0;0.0;0.0;0.0;0.0;0.4101705997238648;0.0;0.0;0.0;0.0;0.0;0.372807767295847
GO:0016311;0.0;0.16988409927139336;0.0;0.10557615313687786;0.13311871764529692;0.0;0.031951148507616364;0.1546750658617888;0.0;0.12343943601148838;0.0;0.031784015396617606;0.0;0.0;0.0;0.0;0.0;0.13660780346291487;1.0;0.03304421071508134;0.0;0.22207620341211823;0.02997987903287826;0.23480154267664816;0.0;0.0;0.03229366543331543;0.17373348931510874;0.0396701807856468;0.0;0.030232555877510045;0.023803660717265387;0.0;0.17351185082862433;0.0;0.0;0.023449215578532388;0.0;0.0;0.18255151556502444
GO:0030522;0.08480089578214776;0.033928581899070956;0.08627283396069077;0.021602877895512254;0.026955195166218297;0.0;0.2599769253513027;0.03106714624874754;0.09396886219747556;0.0250869704527156;0.12191388537453632;0.030004810928228574;0.06898671924300248;0.0;0.13188921228484057;0.07280183173059508;0.0;0.0;0.03304421071508134;1.0;0.0751142921452188;0.04350613595752782;0.24478689641955725;0.045786160268919046;0.15173105383899133;0.0;0.030458592315203988;0.03464767274925234;0.03693650982460232;0.14371624812772257;0.02861839667283826;0.022791514758978015;0.0;0.0;0.0;0.0;0.056141800197622285;0.0;0.10577620345406528;0.03628719854223197
GO:0034128;0.06563337391235209;0.0;0.06651166323676952;0.0;0.0;0.0;0.07336181126739771;0.0;0.07099425990721223;0.0;0.24860217336025728;0.0;0.05268188359348502;0.0;0.09069518168961575;0.05665959063195699;0.0;0.0;0.0;0.0751142921452188;1.0;0.0;0.07011034367544802;0.0;0.09965686663685677;0.0;0.0;0.0;0.0;0.09613555923962187;0.0;0.0;0.0;0.0;0.0;0.0;0.044846359756696506;0.0;0.22448140502551758;0.0
GO:0006351;0.0;0.5541597302614385;0.0;0.1262587287794563;0.25792664212850963;0.0;0.04163100984982002;0.5792852777323053;0.0;0.1526823077745049;0.0;0.04134771691671265;0.0;0.0;0.0;0.0;0.0;0.2615930386360501;0.22207620341211823;0.04350613595752782;0.0;1.0;0.03834579108720503;0.5678565204554394;0.0;0.0;0.04221439549991844;0.5713503534494901;0.055770497281736865;0.0;0.03876013762736969;0.028790962553483092;0.0;0.3644603647626059;0.0;0.0;0.02827404523039869;0.0;0.0;0.39155596377841784
GO:0032482;0.07847745434770959;0.03070603020264959;0.07973642831759337;0.020249741408514595;0.02488068606504665;0.0;0.2377971125060305;0.028343416164378136;0.08626633126841947;0.023280422135229694;0.10925742439491319;0.027456531329293966;0.06355920532353637;0.0;0.1172016069414786;0.0674962002893242;0.0;0.0;0.02997987903287826;0.24478689641955725;0.07011034367544802;0.03834579108720503;1.0;0.04010607451025022;0.1326120362915902;0.0;0.02783601995681733;0.03129382578705875;0.033149132803224755;0.12644877981747038;0.026291036887276773;0.021290549717543024;0.0;0.0;0.0;0.0;0.0524938275779184;0.0;0.09611588793442544;0.032625207817157977
GO:0044267;0.0;0.30339519232010964;0.0;0.13027276648688407;0.43091048847505903;0.0;0.04371402527388013;0.26578860360326806;0.0;0.1585915975781946;0.0;0.04340178019449649;0.0;0.0;0.0;0.0;0.0;0.4737878676310617;0.23480154267664816;0.045786160268919046;0.0;0.5678565204554394;0.04010607451025022;1.0;0.0;0.0;0.0443577023813138;0.3133867996164036;0.05957336659905283;0.0;0.04055956073963116;0.029772077907848398;0.0;0.6744800581420778;0.0;0.0;0.02921966810228671;0.0;0.0;0.6689570464119856
GO:0006355;0.36384225613796084;0.0;0.3823324669780652;0.0;0.0;0.0;0.14474643035155535;0.0;0.1358103539950203;0.0;0.6726368454127089;0.0;0.09780477737839803;0.0;0.7696035911298745;0.09989704314542927;0.0;0.0;0.0;0.15173105383899133;0.09965686663685677;0.0;0.1326120362915902;0.0;1.0;0.0;0.0;0.0;0.0;0.9001107000255535;0.0;0.0;0.0;0.0;0.0;0.0;0.07385008435255695;0.0;0.36930197186751523;0.0
