;GO:0008584;GO:0006260;GO:0006189;GO:0009116;GO:0006541;GO:0046777;GO:0007595;GO:0046654;GO:0009113;GO:0051290;GO:0006544;GO:0046084;GO:0001666;GO:0032868;GO:0019240;GO:0051262;GO:0000083;GO:0033574;GO:0044208;GO:0035690;GO:0014075;GO:0009263;GO:0007565;GO:0006177;GO:0044205;GO:0006206;GO:0006228;GO:0006207;GO:0006526;GO:0000050;GO:0046452;GO:0071364;GO:0031000;GO:0031100;GO:0009060;GO:0070317;GO:0018107;GO:0051414
GO:0046084;0.0;0.14450116634992752;0.4729208564096336;0.36016130388521045;0.2355376372194388;0.1237146889194086;0.0;0.2990439313269274;0.7300769708695185;0.01468324974140624;0.2355376372194388;1.0;0.0;0.0;0.2990439313269274;0.01468324974140624;0.01468324974140624;0.0;0.4729208564096336;0.01468324974140624;0.0;0.36016130388521045;0.0;0.4729208564096336;0.36016130388521045;0.6201755036199598;0.36016130388521045;0.6935962244293026;0.2990439313269274;0.2990439313269274;0.2355376372194388;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.1237146889194086;0.0
GO:0001666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.11807622278079505;0.0;0.0;0.0;0.11807622278079505;0.0;0.11807622278079505;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.11807622278079505;0.0;0.0;0.0;0.0;0.11807622278079505
GO:0032868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;1.0;0.0;0.0;0.0;0.33550924974192214;0.0;0.19673256925640645;0.32007381485369474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29398683082268945;0.32007381485369474;0.0;0.0;0.0;0.0;0.33550924974192214
GO:0019240;0.0;0.14450116634992752;0.2990439313269274;0.2355376372194388;0.44880524223943946;0.1237146889194086;0.0;0.40780233519926207;0.2990439313269274;0.01468324974140624;0.44880524223943946;0.2990439313269274;0.0;0.0;1.0;0.01468324974140624;0.01468324974140624;0.0;0.2990439313269274;0.01468324974140624;0.0;0.2355376372194388;0.0;0.3470943476572304;0.3470943476572304;0.2355376372194388;0.3470943476572304;0.2990439313269274;0.5730432817773536;0.2990439313269274;0.304136849461119;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.1237146889194086;0.0
GO:0051262;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.5029379352731107;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;1.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0
GO:0000083;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.036692364793703955;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.036692364793703955;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;1.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.047799631016701725;0.01468324974140624;0.0
GO:0033574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.33550924974192214;0.0;0.0;0.0;1.0;0.0;0.19673256925640645;0.21955571243929653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29398683082268945;0.3256627918320604;0.0;0.0;0.0;0.0;0.46886389029656955
GO:0044208;0.0;0.14450116634992752;0.5279650442873715;0.36016130388521045;0.2355376372194388;0.22480199536001946;0.0;0.2990439313269274;0.4729208564096336;0.01468324974140624;0.34692172298670104;0.4729208564096336;0.0;0.0;0.2990439313269274;0.01468324974140624;0.01468324974140624;0.0;1.0;0.01468324974140624;0.0;0.44246727997087665;0.0;0.5279650442873715;0.5164823342100704;0.36016130388521045;0.4765311168439102;0.36016130388521045;0.2990439313269274;0.2990439313269274;0.2355376372194388;0.01468324974140624;0.0;0.0;0.06886689890529227;0.0;0.22480199536001946;0.0
GO:0035690;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.11807622278079505;0.19673256925640645;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.19673256925640645;0.01468324974140624;1.0;0.19673256925640645;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.2473380912762773;0.3265069239385585;0.0;0.01468324974140624;0.0;0.01468324974140624;0.3265069239385585
GO:0014075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.32007381485369474;0.0;0.0;0.0;0.21955571243929653;0.0;0.19673256925640645;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21955571243929653;0.32007381485369474;0.0;0.0;0.0;0.0;0.21955571243929653
