Module	Probe ID
M1.2	ILMN_1742618
M1.2	ILMN_1681721
M1.2	ILMN_1760062
M1.2	ILMN_1674063
M1.2	ILMN_1656910
M1.2	ILMN_1653466
M1.2	ILMN_1663347
M1.2	ILMN_1835092
M1.2	ILMN_1795181
M1.2	ILMN_1805750
M1.2	ILMN_1664543
M1.2	ILMN_1791759
M1.2	ILMN_1688566
M1.2	ILMN_1670305
M1.2	ILMN_1683678
M1.2	ILMN_1812740
M1.2	ILMN_1657871
M1.2	ILMN_1788013
M2.1	ILMN_1811221
M2.1	ILMN_1692145
M2.1	ILMN_1653412
M2.1	ILMN_1755114
M2.1	ILMN_1783060
M2.1	ILMN_1659490
M2.1	ILMN_1731203
M2.1	ILMN_1775444
M2.1	ILMN_1772492
M2.1	ILMN_1721349
M2.1	ILMN_1685628
M2.1	ILMN_1688490
M2.1	ILMN_1812105
M2.1	ILMN_1658921
M2.1	ILMN_1743476
M2.1	ILMN_1880280
M2.1	ILMN_1693789
M2.1	ILMN_1673421
M2.1	ILMN_1713319
M2.1	ILMN_1750093
M2.1	ILMN_1812640
M2.1	ILMN_1730678
M2.1	ILMN_1651499
M2.1	ILMN_1795697
M2.1	ILMN_1690114
M2.1	ILMN_1738482
M2.1	ILMN_1855278
M2.1	ILMN_1680279
M2.1	ILMN_1713706
M2.1	ILMN_1711073
M2.1	ILMN_1721204
M2.1	ILMN_1652533
M2.1	ILMN_1771320
M2.1	ILMN_1738678
M2.1	ILMN_1803743
M2.1	ILMN_1798581
M2.1	ILMN_1778202
M2.1	ILMN_1792801
M2.1	ILMN_1677691
M2.1	ILMN_1700182
M2.1	ILMN_1893202
M2.1	ILMN_1672356
M2.1	ILMN_1727287
M2.1	ILMN_1873162
M2.1	ILMN_1701247
M2.1	ILMN_1814204
M2.1	ILMN_1809750
M2.1	ILMN_1870646
M2.1	ILMN_1839609
M2.1	ILMN_1903815
M2.1	ILMN_1693225
M2.1	ILMN_1726636
M2.1	ILMN_1850816
M2.1	ILMN_1835722
M2.1	ILMN_1860003
M2.1	ILMN_1835631
M2.1	ILMN_1671661
M2.1	ILMN_1902251
M2.1	ILMN_1676459
M2.1	ILMN_1763739
M2.1	ILMN_1824898
M2.1	ILMN_1736008
M2.1	ILMN_1806224
M2.1	ILMN_1814039
M2.1	ILMN_1870041
M2.1	ILMN_1699383
M2.1	ILMN_1872419
M2.1	ILMN_1656393
M2.1	ILMN_1916457
M2.1	ILMN_1686662
M2.1	ILMN_1761963
M2.1	ILMN_1754584
M2.1	ILMN_1671039
M2.1	ILMN_1661519
M2.1	ILMN_1697304
M2.1	ILMN_1734991
M2.1	ILMN_1824362
M2.1	ILMN_1883154
M2.1	ILMN_1654320
M2.1	ILMN_1665203
M2.1	ILMN_1792242
M2.1	ILMN_1753115
M2.1	ILMN_1737878
M2.1	ILMN_1870457
M2.1	ILMN_1666750
M2.1	ILMN_1850677
M2.1	ILMN_1690880
M2.1	ILMN_1877619
M2.1	ILMN_1721807
M2.1	ILMN_1652309
M2.1	ILMN_1679083
M2.1	ILMN_1915783
M2.1	ILMN_1776290
M2.1	ILMN_1872036
M2.1	ILMN_1900645
M2.1	ILMN_1780496
M2.1	ILMN_1822627
M2.1	ILMN_1899960
M2.1	ILMN_1824139
M2.1	ILMN_1916292
M2.1	ILMN_1787314
M2.1	ILMN_1821887
M2.1	ILMN_1768392
M2.1	ILMN_1690237
M2.1	ILMN_1815578
M2.1	ILMN_1818346
M2.1	ILMN_1898354
M2.1	ILMN_1723909
M2.1	ILMN_1807003
M2.1	ILMN_1873568
M2.1	ILMN_1733412
M2.1	ILMN_1834842
M2.1	ILMN_1771048
M2.1	ILMN_1746919
M2.1	ILMN_1823533
M2.1	ILMN_1839248
M2.1	ILMN_1678757
M2.1	ILMN_1658304
M2.1	ILMN_1784554
M2.1	ILMN_1863656
M2.1	ILMN_1819313
M2.1	ILMN_1895190
M2.1	ILMN_1746481
M2.1	ILMN_1835809
M2.1	ILMN_1788867
M2.1	ILMN_1853438
M2.1	ILMN_1837686
M2.1	ILMN_1687764
M2.1	ILMN_1866464
M2.1	ILMN_1911503
M2.1	ILMN_1911927
M2.1	ILMN_1678457
M2.1	ILMN_1694399
M2.1	ILMN_1662356
M2.1	ILMN_1903914
M2.1	ILMN_1785703
M2.1	ILMN_1746314
M2.1	ILMN_1904980
M2.1	ILMN_1710670
M2.1	ILMN_1659878
M2.1	ILMN_1888392
M2.1	ILMN_1823543
M2.1	ILMN_1879066
M2.1	ILMN_1824229
M2.1	ILMN_1660568
M2.1	ILMN_1805668
M2.1	ILMN_1912662
M2.1	ILMN_1742431
M2.2	ILMN_1668963
M2.2	ILMN_1761170
M2.2	ILMN_1873124
M2.2	ILMN_1915621
M2.2	ILMN_1852508
M2.2	ILMN_1764768
M2.2	ILMN_1841374
M2.2	ILMN_1912718
M2.2	ILMN_1896129
M2.2	ILMN_1833878
M2.2	ILMN_1900999
M2.2	ILMN_1825206
M2.2	ILMN_1729594
M2.2	ILMN_1853572
M2.2	ILMN_1770255
M2.2	ILMN_1871287
M2.2	ILMN_1803487
M2.2	ILMN_1691579
M2.2	ILMN_1896902
M2.2	ILMN_1878100
M2.2	ILMN_1827211
M2.2	ILMN_1829611
M2.2	ILMN_1831119
M2.2	ILMN_1748399
M2.2	ILMN_1910070
M2.2	ILMN_1894203
M2.2	ILMN_1878792
M2.2	ILMN_1727815
M2.2	ILMN_1878559
M2.2	ILMN_1833478
M2.2	ILMN_1829841
M2.2	ILMN_1890675
M2.2	ILMN_1895939
M2.2	ILMN_1713088
M2.2	ILMN_1903067
M2.2	ILMN_1737849
M2.2	ILMN_1704835
M2.2	ILMN_1840870
M2.2	ILMN_1666258
M2.2	ILMN_1869810
M2.2	ILMN_1870234
M2.2	ILMN_1769191
M2.2	ILMN_1860995
M2.2	ILMN_1869827
M2.2	ILMN_1845613
M2.2	ILMN_1740591
M2.2	ILMN_1758005
M2.2	ILMN_1827239
M2.2	ILMN_1693949
M2.2	ILMN_1832697
M2.2	ILMN_1910972
M2.2	ILMN_1689812
M2.2	ILMN_1891103
M2.2	ILMN_1834390
M2.2	ILMN_1684407
M2.2	ILMN_1883380
M2.2	ILMN_1889329
M2.2	ILMN_1910755
M2.2	ILMN_1864526
M2.2	ILMN_1729423
M2.2	ILMN_1893269
M2.2	ILMN_1802434
M2.2	ILMN_1790106
M2.2	ILMN_1838948
M2.2	ILMN_1654481
M2.2	ILMN_1911874
M2.2	ILMN_1782654
M2.2	ILMN_1697945
M2.2	ILMN_1868241
M2.2	ILMN_1677942
M2.2	ILMN_1707798
M2.2	ILMN_1908747
M2.2	ILMN_1905887
M2.2	ILMN_1719343
M2.2	ILMN_1886158
M2.2	ILMN_1900822
M2.2	ILMN_1831826
M2.2	ILMN_1873698
M2.2	ILMN_1905126
M2.2	ILMN_1854889
M2.2	ILMN_1837831
M2.2	ILMN_1889725
M2.2	ILMN_1740217
M2.2	ILMN_1847459
M2.2	ILMN_1812473
M2.2	ILMN_1865307
M2.2	ILMN_1912868
M2.2	ILMN_1893522
M2.2	ILMN_1661486
M2.2	ILMN_1890117
M2.2	ILMN_1821485
M2.2	ILMN_1715418
M2.2	ILMN_1819190
M2.2	ILMN_1656118
M2.2	ILMN_1836633
M2.2	ILMN_1889088
M2.2	ILMN_1895473
M2.2	ILMN_1896108
M2.2	ILMN_1750539
M2.2	ILMN_1821313
M2.2	ILMN_1855541
M2.2	ILMN_1845125
M2.2	ILMN_1888264
M2.2	ILMN_1881094
M2.2	ILMN_1822952
M2.2	ILMN_1676653
M2.2	ILMN_1749882
M2.2	ILMN_1858650
M2.2	ILMN_1743773
M2.2	ILMN_1655194
M2.2	ILMN_1863350
M2.2	ILMN_1790253
M2.2	ILMN_1727674
M2.2	ILMN_1807556
M2.2	ILMN_1744709
M2.2	ILMN_1652474
M2.2	ILMN_1655537
M2.2	ILMN_1683375
M2.2	ILMN_1817948
M2.2	ILMN_1774545
M2.2	ILMN_1661596
M2.2	ILMN_1898927
M2.2	ILMN_1714144
M2.2	ILMN_1801656
M2.2	ILMN_1835385
M2.2	ILMN_1824488
M2.2	ILMN_1803209
M2.2	ILMN_1719728
M2.2	ILMN_1784230
M2.2	ILMN_1742065
M2.2	ILMN_1865051
M2.2	ILMN_1696702
M2.2	ILMN_1699693
M2.2	ILMN_1883958
M2.2	ILMN_1797666
M2.2	ILMN_1678548
M2.2	ILMN_1780769
M2.2	ILMN_1860084
M2.2	ILMN_1870248
M2.2	ILMN_1895211
M2.2	ILMN_1873635
M2.2	ILMN_1657332
M2.2	ILMN_1789524
M2.2	ILMN_1911109
M2.2	ILMN_1701440
M2.2	ILMN_1836304
M2.2	ILMN_1662121
M2.2	ILMN_1854853
M2.2	ILMN_1808272
M2.2	ILMN_1830890
M2.2	ILMN_1837308
M2.2	ILMN_1845792
M2.2	ILMN_1821992
M2.2	ILMN_1775067
M2.2	ILMN_1671215
M2.2	ILMN_1685591
M2.2	ILMN_1751871
M2.2	ILMN_1726134
M2.2	ILMN_1821810
M2.2	ILMN_1886817
M2.2	ILMN_1909870
M2.2	ILMN_1862224
M2.2	ILMN_1906819
M2.2	ILMN_1700439
M2.2	ILMN_1736518
M2.2	ILMN_1915858
M2.2	ILMN_1757882
M2.2	ILMN_1758846
M2.2	ILMN_1852928
M2.2	ILMN_1708891
M2.2	ILMN_1887058
M2.2	ILMN_1777790
M2.2	ILMN_1829475
M2.2	ILMN_1720732
M2.2	ILMN_1731445
M2.2	ILMN_1656151
M2.2	ILMN_1654618
M2.2	ILMN_1836953
M2.2	ILMN_1843533
M2.2	ILMN_1816146
M2.2	ILMN_1835002
M2.2	ILMN_1839647
M2.2	ILMN_1888596
M2.2	ILMN_1857164
M2.2	ILMN_1882982
M2.2	ILMN_1659625
M2.2	ILMN_1844243
M2.2	ILMN_1872038
M2.2	ILMN_1665765
M2.2	ILMN_1774143
M2.2	ILMN_1715814
M2.2	ILMN_1696319
M2.2	ILMN_1889919
M2.2	ILMN_1741858
M2.2	ILMN_1660130
M2.2	ILMN_1819603
M2.2	ILMN_1903579
M2.2	ILMN_1716591
M2.2	ILMN_1869396
M2.2	ILMN_1803774
M2.2	ILMN_1857672
M2.2	ILMN_1830960
M2.2	ILMN_1799728
M2.2	ILMN_1704022
M2.2	ILMN_1807976
M2.2	ILMN_1841025
M2.2	ILMN_1892521
M2.2	ILMN_1742806
M2.2	ILMN_1714847
M2.2	ILMN_1778121
M2.2	ILMN_1699334
M2.2	ILMN_1898101
M2.2	ILMN_1904574
M2.2	ILMN_1793757
M2.2	ILMN_1759563
M2.2	ILMN_1719183
M2.2	ILMN_1832284
M2.2	ILMN_1768150
M2.2	ILMN_1801491
M2.2	ILMN_1770855
M2.2	ILMN_1911830
M2.2	ILMN_1671536
M2.2	ILMN_1879243
M2.2	ILMN_1669829
M2.2	ILMN_1698745
M2.2	ILMN_1891324
M2.2	ILMN_1803113
M2.2	ILMN_1886100
M2.2	ILMN_1904853
M2.2	ILMN_1672437
M2.2	ILMN_1732710
M2.2	ILMN_1890217
M2.2	ILMN_1753925
M2.2	ILMN_1662912
M2.2	ILMN_1663774
M2.2	ILMN_1838656
M2.2	ILMN_1878107
M2.2	ILMN_1848679
M2.2	ILMN_1896265
M2.2	ILMN_1906881
M2.2	ILMN_1882560
M2.2	ILMN_1880022
M2.2	ILMN_1903136
M2.2	ILMN_1854015
M2.2	ILMN_1905921
M2.2	ILMN_1687267
M2.2	ILMN_1723116
M2.2	ILMN_1730851
M2.2	ILMN_1847829
M2.2	ILMN_1799804
M2.2	ILMN_1694562
M2.2	ILMN_1867391
M2.2	ILMN_1840436
M2.2	ILMN_1719163
M2.2	ILMN_1787972
M2.2	ILMN_1785125
M2.2	ILMN_1822611
M2.2	ILMN_1884829
M2.2	ILMN_1882036
M2.2	ILMN_1897498
M2.2	ILMN_1835992
M2.2	ILMN_1839613
M2.2	ILMN_1813529
M2.2	ILMN_1839313
M2.2	ILMN_1813392
M2.2	ILMN_1914332
M2.2	ILMN_1898897
M2.2	ILMN_1914119
M2.2	ILMN_1891233
M2.2	ILMN_1795710
M2.2	ILMN_1911361
M2.2	ILMN_1799019
M2.2	ILMN_1845382
M2.2	ILMN_1856609
M2.2	ILMN_1773850
M2.2	ILMN_1827185
M2.2	ILMN_1891841
M2.2	ILMN_1802603
M2.2	ILMN_1821608
M2.2	ILMN_1894376
M2.2	ILMN_1836697
M2.2	ILMN_1768194
M2.2	ILMN_1654462
M2.2	ILMN_1758240
M2.2	ILMN_1711509
M2.2	ILMN_1760479
M2.2	ILMN_1683231
M2.2	ILMN_1916026
M2.2	ILMN_1877319
M2.2	ILMN_1712147
M2.2	ILMN_1808797
M2.2	ILMN_1804332
M2.2	ILMN_1903881
M2.2	ILMN_1903693
M2.2	ILMN_1745677
M2.2	ILMN_1862310
M2.2	ILMN_1855505
M2.2	ILMN_1652444
M2.2	ILMN_1796303
M2.2	ILMN_1843434
M2.2	ILMN_1906837
M2.2	ILMN_1885190
M2.2	ILMN_1827180
M2.2	ILMN_1760560
M2.3	ILMN_1772809
M2.3	ILMN_1774091
M2.3	ILMN_1680652
M2.3	ILMN_1694325
M2.3	ILMN_1734562
M2.3	ILMN_1736911
M2.3	ILMN_1652431
M2.3	ILMN_1683093
M2.3	ILMN_1746788
M2.3	ILMN_1766165
M2.3	ILMN_1733226
M2.3	ILMN_1805561
M2.3	ILMN_1781966
M2.3	ILMN_1735712
M2.3	ILMN_1708323
M2.3	ILMN_1815527
M2.3	ILMN_1812163
M2.3	ILMN_1709092
M2.3	ILMN_1678919
M2.3	ILMN_1721363
M2.3	ILMN_1718961
M2.3	ILMN_1830238
M2.3	ILMN_1776998
M2.3	ILMN_1694476
M2.3	ILMN_1863009
M2.3	ILMN_1782429
M2.3	ILMN_1743232
M2.3	ILMN_1809256
M2.3	ILMN_1684227
M2.3	ILMN_1905548
M2.3	ILMN_1806349
M2.3	ILMN_1654917
M2.3	ILMN_1801313
M2.3	ILMN_1794074
M2.3	ILMN_1705750
M2.3	ILMN_1811470
M2.3	ILMN_1759117
M2.3	ILMN_1675421
M2.3	ILMN_1729487
M2.3	ILMN_1677318
M2.3	ILMN_1758912
M2.3	ILMN_1784207
M2.3	ILMN_1729112
M2.3	ILMN_1807919
M2.3	ILMN_1707304
M2.3	ILMN_1720373
M2.3	ILMN_1707720
M2.3	ILMN_1721901
M2.3	ILMN_1796397
M2.3	ILMN_1672024
M2.3	ILMN_1708016
M2.3	ILMN_1759155
M2.3	ILMN_1751981
M2.3	ILMN_1709634
M2.3	ILMN_1659024
M2.3	ILMN_1742410
M2.3	ILMN_1785141
M2.3	ILMN_1811410
M2.3	ILMN_1702447
M2.3	ILMN_1705458
M2.3	ILMN_1806456
M2.3	ILMN_1814397
M2.3	ILMN_1695187
M2.3	ILMN_1696512
M2.3	ILMN_1743241
M2.3	ILMN_1714445
M2.3	ILMN_1684694
M2.3	ILMN_1727353
M2.3	ILMN_1713266
M2.3	ILMN_1698645
M2.3	ILMN_1733581
M2.3	ILMN_1776333
M2.3	ILMN_1778374
M2.3	ILMN_1704446
M2.3	ILMN_1701933
M2.3	ILMN_1810712
M2.3	ILMN_1697777
M3.1	ILMN_1728742
M3.1	ILMN_1654118
M3.1	ILMN_1714765
M3.1	ILMN_1698557
M3.1	ILMN_1745962
M3.1	ILMN_1799028
M3.1	ILMN_1687857
M3.1	ILMN_1679267
M3.1	ILMN_1671686
M3.1	ILMN_1741483
M3.1	ILMN_1701386
M3.1	ILMN_1732049
M3.1	ILMN_1694027
M3.1	ILMN_1708580
M3.1	ILMN_1793915
M3.1	ILMN_1710303
M3.1	ILMN_1666306
M3.1	ILMN_1713006
M3.1	ILMN_1787888
M3.1	ILMN_1796678
M3.1	ILMN_1658624
M3.1	ILMN_1728349
M3.1	ILMN_1750130
M3.1	ILMN_1671696
M3.1	ILMN_1738468
M3.1	ILMN_1772731
M3.1	ILMN_1804618
M3.1	ILMN_1682332
M3.1	ILMN_1659180
M3.1	ILMN_1700207
M3.1	ILMN_1715969
M3.1	ILMN_1717935
M3.1	ILMN_1774375
M3.1	ILMN_1679919
M3.1	ILMN_1721723
M3.1	ILMN_1783156
M3.1	ILMN_1733863
M3.1	ILMN_1801175
M3.1	ILMN_1772780
M3.1	ILMN_1688322
M3.1	ILMN_1667306
M3.1	ILMN_1769107
M3.1	ILMN_1815238
M3.1	ILMN_1741632
M3.1	ILMN_1690616
M3.1	ILMN_1753002
M3.1	ILMN_1710896
M3.1	ILMN_1808202
M3.1	ILMN_1784678
M3.1	ILMN_1696183
M3.1	ILMN_1758398
M3.1	ILMN_1765208
M3.1	ILMN_1764383
M3.1	ILMN_1684255
M3.1	ILMN_1688240
M3.1	ILMN_1797251
M3.1	ILMN_1744584
M3.1	ILMN_1767766
M3.1	ILMN_1795419
M3.1	ILMN_1680777
M3.1	ILMN_1756715
M3.1	ILMN_1810785
M3.1	ILMN_1747118
M3.1	ILMN_1764410
M3.1	ILMN_1742947
M3.1	ILMN_1745533
M3.1	ILMN_1767680
M3.1	ILMN_1731559
M3.1	ILMN_1671583
M3.1	ILMN_1726306
M3.1	ILMN_1777233
M3.1	ILMN_1663605
M3.1	ILMN_1770387
M3.1	ILMN_1670000
M3.1	ILMN_1786328
M3.1	ILMN_1760315
M3.1	ILMN_1790534
M3.1	ILMN_1758159
M3.1	ILMN_1750181
M3.1	ILMN_1746579
M3.1	ILMN_1807201
M3.1	ILMN_1814952
M3.1	ILMN_1786492
M3.1	ILMN_1815306
M3.1	ILMN_1796490
M3.1	ILMN_1726088
M3.1	ILMN_1671693
M3.1	ILMN_1670570
M3.1	ILMN_1773849
M3.2	ILMN_1737314
M3.2	ILMN_1651826
M3.2	ILMN_1653871
M3.2	ILMN_1701837
M3.2	ILMN_1775708
M3.2	ILMN_1733443
M3.2	ILMN_1775257
M3.2	ILMN_1806293
M3.2	ILMN_1696466
M3.2	ILMN_1696187
M3.2	ILMN_1741165
M3.2	ILMN_1665540
M3.2	ILMN_1670410
M3.2	ILMN_1805175
M3.2	ILMN_1798977
M3.2	ILMN_1675756
M3.2	ILMN_1724822
M3.2	ILMN_1749287
M3.2	ILMN_1685009
M3.2	ILMN_1704776
M3.2	ILMN_1776483
M3.2	ILMN_1723662
M3.2	ILMN_1810420
M3.2	ILMN_1694596
M3.2	ILMN_1791771
M3.2	ILMN_1752798
M3.2	ILMN_1741727
M3.2	ILMN_1657455
M3.2	ILMN_1781198
M3.2	ILMN_1679826
M3.2	ILMN_1679784
M3.2	ILMN_1661631
M3.2	ILMN_1753111
M3.2	ILMN_1772036
M3.2	ILMN_1699982
M3.2	ILMN_1779979
M3.2	ILMN_1749776
M3.2	ILMN_1724668
M3.2	ILMN_1709233
M3.2	ILMN_1667371
M3.2	ILMN_1728392
M3.2	ILMN_1745578
M3.2	ILMN_1658798
M3.2	ILMN_1803464
M3.2	ILMN_1678170
M3.2	ILMN_1770161
M3.2	ILMN_1705047
M3.2	ILMN_1652003
M3.2	ILMN_1740875
M3.2	ILMN_1740298
M3.2	ILMN_1736605
M3.2	ILMN_1706217
M3.2	ILMN_1657892
M3.2	ILMN_1652490
M3.2	ILMN_1680996
M3.2	ILMN_1660847
M3.2	ILMN_1767754
M3.2	ILMN_1715286
M3.2	ILMN_1758146
M3.2	ILMN_1837761
M3.2	ILMN_1663422
M3.2	ILMN_1715068
M3.2	ILMN_1807529
M3.2	ILMN_1790891
M3.2	ILMN_1749078
M3.2	ILMN_1656849
M3.2	ILMN_1760034
M3.2	ILMN_1702787
M3.2	ILMN_1763433
M3.2	ILMN_1795467
M3.2	ILMN_1665877
M3.2	ILMN_1731907
M3.2	ILMN_1689046
M3.2	ILMN_1766157
M3.2	ILMN_1693014
M3.2	ILMN_1743933
M3.2	ILMN_1798804
M3.2	ILMN_1785005
M3.2	ILMN_1750086
M3.2	ILMN_1800602
M3.2	ILMN_1899973
M3.2	ILMN_1714991
M3.2	ILMN_1810725
M3.2	ILMN_1766425
M3.2	ILMN_1719661
M3.2	ILMN_1695435
M3.2	ILMN_1739965
M3.2	ILMN_1765880
M3.2	ILMN_1660691
M3.2	ILMN_1765941
M3.2	ILMN_1736190
M3.2	ILMN_1723079
M3.2	ILMN_1659544
M3.2	ILMN_1726222
M3.2	ILMN_1778968
M3.2	ILMN_1717207
M3.2	ILMN_1808047
M3.2	ILMN_1731714
M3.2	ILMN_1774874
M3.2	ILMN_1809173
M3.2	ILMN_1730454
M3.2	ILMN_1745961
M3.2	ILMN_1789019
M3.2	ILMN_1717809
M3.2	ILMN_1674394
M3.2	ILMN_1789086
M3.2	ILMN_1692159
M3.2	ILMN_1779015
M3.2	ILMN_1661439
M3.2	ILMN_1683598
M3.2	ILMN_1887305
M3.2	ILMN_1790781
M3.2	ILMN_1781285
M3.2	ILMN_1860008
M3.2	ILMN_1651628
M3.2	ILMN_1753468
M3.2	ILMN_1686884
M3.2	ILMN_1667748
M3.2	ILMN_1654268
M3.2	ILMN_1771003
M3.2	ILMN_1750101
M3.2	ILMN_1800540
M3.2	ILMN_1653749
M3.2	ILMN_1846910
M3.2	ILMN_1678939
M3.2	ILMN_1681520
M3.2	ILMN_1662846
M3.2	ILMN_1775672
M3.2	ILMN_1698519
M3.2	ILMN_1707312
M3.2	ILMN_1724533
M3.2	ILMN_1714592
M3.2	ILMN_1794190
M3.2	ILMN_1815054
M3.2	ILMN_1750429
M3.2	ILMN_1728724
M3.2	ILMN_1757074
M3.2	ILMN_1690125
M3.2	ILMN_1684585
M3.2	ILMN_1726523
M3.2	ILMN_1700850
M3.2	ILMN_1767809
M3.2	ILMN_1790689
M3.2	ILMN_1656327
M3.2	ILMN_1782050
M3.2	ILMN_1685057
M3.2	ILMN_1794165
M3.2	ILMN_1660227
M3.2	ILMN_1741917
M3.2	ILMN_1698164
M3.2	ILMN_1778111
M3.3	ILMN_1806040
M3.3	ILMN_1663390
M3.3	ILMN_1663332
M3.3	ILMN_1736090
M3.3	ILMN_1801939
M3.3	ILMN_1747911
M3.3	ILMN_1786065
M3.3	ILMN_1686097
M3.3	ILMN_1683450
M3.3	ILMN_1809590
M3.3	ILMN_1745251
M3.3	ILMN_1786125
M3.3	ILMN_1815184
M3.3	ILMN_1684217
M3.3	ILMN_1680955
M3.3	ILMN_1728934
M3.3	ILMN_1655930
M3.3	ILMN_1792494
M3.3	ILMN_1714730
M3.3	ILMN_1731184
M3.3	ILMN_1756326
M3.3	ILMN_1651237
M3.3	ILMN_1768291
M3.3	ILMN_1751444
M3.3	ILMN_1807232
M3.3	ILMN_1788166
M3.3	ILMN_1664630
M3.3	ILMN_1668814
M3.3	ILMN_1761836
M3.3	ILMN_1678669
M3.3	ILMN_1747016
M3.3	ILMN_1666305
M3.3	ILMN_1806037
M3.3	ILMN_1771558
M3.3	ILMN_1691457
M3.3	ILMN_1737788
M3.3	ILMN_1681754
M3.3	ILMN_1726720
M3.3	ILMN_1781942
M3.3	ILMN_1671337
M3.3	ILMN_1801257
M3.3	ILMN_1750678
M3.3	ILMN_1794539
M3.3	ILMN_1753196
M3.3	ILMN_1727055
M3.3	ILMN_1789123
M3.3	ILMN_1720526
M3.3	ILMN_1739645
M3.3	ILMN_1796589
M3.3	ILMN_1749829
M3.4	ILMN_1781373
M3.4	ILMN_1859584
M3.4	ILMN_1798181
M3.4	ILMN_1691731
M3.4	ILMN_1739428
M3.4	ILMN_1745374
M3.4	ILMN_1748256
M3.4	ILMN_1690105
M3.4	ILMN_1810213
M3.4	ILMN_1696654
M3.4	ILMN_1799748
M3.4	ILMN_1776157
M3.4	ILMN_1860051
M3.4	ILMN_1654639
M3.4	ILMN_1801246
M3.4	ILMN_1797359
M3.4	ILMN_1706502
M3.4	ILMN_1681301
M3.4	ILMN_1691156
M3.4	ILMN_1725700
M3.4	ILMN_1772964
M3.4	ILMN_1787509
M3.4	ILMN_1765994
M3.4	ILMN_1727271
M3.4	ILMN_1683792
M3.4	ILMN_1779798
M3.4	ILMN_1801307
M3.4	ILMN_1701114
M3.4	ILMN_1777325
M3.4	ILMN_1701455
M3.4	ILMN_1710844
M3.4	ILMN_1709333
M3.4	ILMN_1779252
M3.4	ILMN_1721411
M3.4	ILMN_1725314
M3.4	ILMN_1751393
M3.4	ILMN_1707979
M3.4	ILMN_1671482
M3.4	ILMN_1678422
M3.4	ILMN_1716815
M3.4	ILMN_1703108
M3.4	ILMN_1812884
M3.4	ILMN_1664330
M3.4	ILMN_1687201
M3.4	ILMN_1774733
M3.4	ILMN_1654314
M3.4	ILMN_1811522
M3.4	ILMN_1797001
M3.4	ILMN_1769520
M3.4	ILMN_1728019
M3.4	ILMN_1785732
M3.4	ILMN_1656310
M3.4	ILMN_1690957
M3.4	ILMN_1756953
M3.4	ILMN_1690921
M3.4	ILMN_1765332
M3.4	ILMN_1910908
M3.4	ILMN_1691364
M3.4	ILMN_1718558
