Module	SS	value
M7.8	AIC	70.27
M7.8	DAVID	37.83783783783784
M6.10	DF	74.68
M6.10	Ganesan	70.89
M6.10	LC	77.22
M6.10	PS	73.42
M6.10	Zhou	77.22
M6.10	Resnik	77.22
M6.10	Lin	70.89
M6.10	Nunivers	74.68
M6.10	AIC	73.42
M6.10	DAVID	18.9873417721519
M8.81	DF	41.67
M8.81	Ganesan	50.00
M8.81	LC	50.00
M8.81	PS	50.00
M8.81	Zhou	50.00
M8.81	Resnik	0.00
M8.81	Lin	0.00
M8.81	Nunivers	0.00
M8.81	AIC	50.00
M8.81	DAVID	0.0
M9.34	DF	53.85
M9.34	Ganesan	73.08
M9.34	LC	73.08
M9.34	PS	73.08
M9.34	Zhou	73.08
M9.34	Resnik	69.23
M9.34	Lin	65.38
M9.34	Nunivers	53.85
M9.34	AIC	61.54
M9.34	DAVID	7.6923076923076925
M7.7	DF	61.40
M7.7	Ganesan	67.54
M7.7	LC	72.81
M7.7	PS	70.18
M7.7	Zhou	72.81
M7.7	Resnik	65.79
M7.7	Lin	69.30
M7.7	Nunivers	66.67
M7.7	AIC	69.30
M7.7	DAVID	37.719298245614034
M8.80	DF	58.33
M8.80	Ganesan	0.00
M8.80	LC	58.33
M8.80	PS	33.33
M8.80	Zhou	58.33
M8.80	Resnik	50.00
M8.80	Lin	50.00
M8.80	Nunivers	33.33
M8.80	AIC	58.33
M8.80	DAVID	0.0
M9.33	DF	48.39
M9.33	Ganesan	51.61
M9.33	LC	61.29
M9.33	PS	61.29
M9.33	Zhou	61.29
M9.33	Resnik	54.84
M9.33	Lin	61.29
M9.33	Nunivers	41.94
M9.33	AIC	48.39
M9.33	DAVID	9.67741935483871
M7.6	DF	64.71
M7.6	Ganesan	63.73
M7.6	LC	70.59
M7.6	PS	69.61
M7.6	Zhou	70.59
M7.6	Resnik	66.67
M7.6	Lin	59.80
M7.6	Nunivers	70.59
M7.6	AIC	68.63
M7.6	DAVID	43.13725490196079
M9.32	DF	50.00
M9.32	Ganesan	64.71
M9.32	LC	64.71
M9.32	PS	32.35
M9.32	Zhou	64.71
M9.32	Resnik	58.82
M9.32	Lin	50.00
M9.32	Nunivers	61.76
M9.32	AIC	61.76
M9.32	DAVID	0.0
M7.5	DF	61.44
M7.5	Ganesan	60.78
M7.5	LC	63.40
M7.5	PS	62.09
M7.5	Zhou	63.40
M7.5	Resnik	63.40
M7.5	Lin	57.52
M7.5	Nunivers	62.75
M7.5	AIC	62.09
M7.5	DAVID	33.33333333333333
M9.31	DF	58.62
M9.31	Ganesan	65.52
M9.31	LC	72.41
M9.31	PS	72.41
M9.31	Zhou	72.41
M9.31	Resnik	62.07
M9.31	Lin	62.07
M9.31	Nunivers	58.62
M9.31	AIC	65.52
M9.31	DAVID	27.586206896551722
M7.4	DF	74.10
M7.4	Ganesan	73.38
M7.4	LC	76.26
M7.4	PS	73.38
M7.4	Zhou	76.26
M7.4	Resnik	74.10
M7.4	Lin	73.38
M7.4	Nunivers	74.10
M7.4	AIC	74.10
M7.4	DAVID	20.14388489208633
M9.30	DF	58.97
M9.30	Ganesan	69.23
M9.30	LC	71.79
M9.30	PS	69.23
M9.30	Zhou	71.79
M9.30	Resnik	58.97
M9.30	Lin	53.85
M9.30	Nunivers	56.41
M9.30	AIC	69.23
M9.30	DAVID	28.205128205128204
M7.3	DF	74.56
M7.3	Ganesan	73.37
M7.3	LC	75.15
M7.3	PS	73.96
M7.3	Zhou	75.15
M7.3	Resnik	74.56
M7.3	Lin	72.78
M7.3	Nunivers	73.37
M7.3	AIC	72.78
M7.3	DAVID	45.562130177514796
M7.2	DF	48.00
M7.2	Ganesan	50.00
M7.2	LC	54.00
M7.2	PS	53.00
M7.2	Zhou	54.00
M7.2	Resnik	51.00
M7.2	Lin	49.00
M7.2	Nunivers	49.00
M7.2	AIC	50.00
M7.2	DAVID	5.0
M7.1	DF	77.22
M7.1	Ganesan	76.67
M7.1	LC	78.89
M7.1	PS	77.78
M7.1	Zhou	78.89
M7.1	Resnik	78.89
M7.1	Lin	78.33
M7.1	Nunivers	78.33
M7.1	AIC	77.78
M7.1	DAVID	64.44444444444444
M8.79	DF	33.33
M8.79	Ganesan	33.33
M8.79	LC	33.33
M8.79	PS	0.00
M8.79	Zhou	33.33
M8.79	Resnik	0.00
M8.79	Lin	0.00
M8.79	Nunivers	41.67
M8.79	AIC	33.33
M8.79	DAVID	16.666666666666664
M8.78	DF	50.00
M8.78	Ganesan	66.67
M8.78	LC	66.67
M8.78	PS	50.00
M8.78	Zhou	66.67
M8.78	Resnik	50.00
M8.78	Lin	50.00
M8.78	Nunivers	0.00
M8.78	AIC	50.00
M8.78	DAVID	8.333333333333332
M8.77	DF	0.00
M8.77	Ganesan	53.85
M8.77	LC	53.85
M8.77	PS	53.85
M8.77	Zhou	46.15
M8.77	Resnik	0.00
M8.77	Lin	53.85
M8.77	Nunivers	30.77
M8.77	AIC	46.15
M8.77	DAVID	23.076923076923077
M8.76	DF	30.77
M8.76	Ganesan	76.92
M8.76	LC	76.92
M8.76	PS	69.23
M8.76	Zhou	76.92
M8.76	Resnik	69.23
M8.76	Lin	0.00
M8.76	Nunivers	30.77
