;GO:0021915;GO:0033260;GO:0006281;GO:0031081;GO:0006361;GO:0034198;GO:0006283;GO:0006360;GO:0006366;GO:0022008;GO:0006363;GO:0008585;GO:0051292;GO:0006369;GO:0000973;GO:0000972;GO:0006367;GO:0006368;GO:0034629;GO:0006999;GO:0045893;GO:0048246;GO:0072423;GO:0050830;GO:1904263;GO:0045737;GO:0006296;GO:0006370;GO:0006293;GO:1901673;GO:0006294;GO:0007064;GO:0006406;GO:0006606;GO:0000070;GO:0070911;GO:0032876;GO:0048339;GO:0006468;GO:0045944;GO:0000079;GO:0002534;GO:0070816;GO:0006398;GO:0006355;GO:1901409;GO:0030032;GO:0007080;GO:0051315
GO:0051292;0.0;0.017774984128329507;0.025966750184543346;0.6845286376617906;0.020827074288089328;0.021355193019097305;0.022152314799624193;0.018571933505860526;0.026670480521007286;0.02200669108286398;0.020779219834586204;0.0;1.0;0.021089976034555206;0.2505362917537963;0.2667326646957665;0.02372082138745657;0.022198607070496666;0.0;0.9721205504428309;0.0;0.019549669583091338;0.018571933505860526;0.0;0.0;0.0;0.021048743913729403;0.020919068091574542;0.0;0.0;0.4365605537311091;0.27555027261900533;0.0;0.0;0.29355514033356944;0.0205180357274168;0.0;0.0;0.027489303276041148;0.0;0.0;0.0;0.018758980498249034;0.01835546266242781;0.0;0.0;0.28962395201769076;0.021006549578978136;0.01932980117066826
GO:0006369;0.0;0.22935914897271625;0.3033911156390837;0.019376394895878803;0.3078515379437999;0.02370939980386463;0.2537063371087965;0.27136704540457096;0.4064520656206139;0.024515168370707923;0.870536518062059;0.0;0.021089976034555206;1.0;0.019376394895878803;0.02074986969008576;0.3559273816344181;0.3304579331640889;0.0;0.02173738053617767;0.0;0.021504402109732573;0.020327253806802243;0.0;0.0;0.0;0.23969618017946073;0.26107937177390717;0.0;0.0;0.022879301819895864;0.021504402109732573;0.0;0.0;0.02306019265260653;0.23301528018579795;0.0;0.0;0.18346511707710353;0.0;0.0;0.0;0.11963064611219679;0.22609896761303822;0.0;0.0;0.02306019265260653;0.023280422135229694;0.021238665959601426
GO:0000973;0.0;0.016542012253947143;0.02341696381729374;0.23315769951347146;0.019154254597201287;0.019600035981132177;0.020269459708345785;0.017230094564966995;0.023987756031928202;0.02014747062899469;0.01911377124220526;0.0;0.2505362917537963;0.019376394895878803;1.0;0.9401060297131917;0.02157480869171149;0.020308210222587764;0.0;0.2569870822218042;0.0;0.018068461080748513;0.017230094564966995;0.0;0.0;0.0;0.019341585342707884;0.01923203648967206;0.0;0.0;0.16081236482007122;0.49219149840209675;0.0;0.0;0.5217689115215561;0.01889255409576281;0.0;0.0;0.024648097165010242;0.0;0.0;0.0;0.017390972284480048;0.017043617088630857;0.0;0.0;0.1618684417450976;0.019305952003115197;0.01788048761237731
GO:0000972;0.0;0.017532779044369076;0.025453083643177322;0.24712243984027193;0.020495327744062996;0.021006549578978136;0.021777386563907243;0.018307684229438063;0.026128885088720657;0.02163663483905982;0.02044898396350942;0.0;0.2667326646957665;0.02074986969008576;0.9401060297131917;1.0;0.0232914340570394;0.02182212351854227;0.0;0.27405665140587293;0.0;0.019257083802776378;0.018307684229438063;0.0;0.0;0.0;0.02070995544300125;0.02058440795226302;0.0;0.0;0.17199297649591286;0.5245700167482447;0.0;0.0;0.5583002352834874;0.020195985138444682;0.0;0.0;0.026914300290158392;0.0;0.0;0.0;0.018489420279622113;0.018097294746460605;0.0;0.0;0.1732015593794647;0.020669107130772676;0.019043711450542553
GO:0006367;0.0;0.2553818595962135;0.35917277286658483;0.02157480869171149;0.8133134561607401;0.02708666893163923;0.29157367472501844;0.30384764978170076;0.4839353021649278;0.028143457056436536;0.34932311191040344;0.0;0.02372082138745657;0.3559273816344181;0.02157480869171149;0.0232914340570394;1.0;0.37991308612261254;0.0;0.024542967908342993;0.0;0.024246378871424876;0.022760273954801125;0.0;0.0;0.0;0.27322046180757265;0.297310559839545;0.0;0.0;0.02600861888682059;0.024246378871424876;0.0;0.0;0.026242629469851887;0.2645737799565548;0.0;0.0;0.2199153726854517;0.0;0.0;0.0;0.13412667679946788;0.2527757652799831;0.0;0.0;0.026242629469851887;0.026528215567948106;0.023909086972007047
GO:0006368;0.0;0.24038908366810985;0.32620359336623905;0.020308210222587764;0.32563339395297375;0.025119729810165282;0.2694648139328191;0.285089943221819;0.4380328444975753;0.02602604232408053;0.3247574536200854;0.0;0.022198607070496666;0.3304579331640889;0.020308210222587764;0.02182212351854227;0.37991308612261254;1.0;0.0;0.022917023668722024;0.0;0.02265822312195017;0.021355193019097305;0.0;0.0;0.0;0.25371420260161304;0.2762376850476349;0.0;0.0;0.024189876077374304;0.02265822312195017;0.0;0.0;0.024392175685828594;0.24624120298688518;0.0;0.0;0.19826236622576818;0.0;0.0;0.0;0.12575047503015144;0.2373797068955975;0.0;0.0;0.024392175685828594;0.02463871734313314;0.02236340122458177
GO:0034629;0.0;0.0;0.0;0.8638884562761542;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3578696480537117;0.4840985766787473;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.328191972492827;0.0
GO:0006999;0.0;0.018232653144588034;0.026955195166218297;0.70215383192006;0.021458197157809184;0.022019239117364506;0.02286768991571522;0.019072139574988347;0.02771430443949531;0.022712541878556033;0.021407402030452726;0.0;0.9721205504428309;0.02173738053617767;0.2569870822218042;0.27405665140587293;0.024542967908342993;0.022917023668722024;0.0;1.0;0.0;0.020104716632479723;0.019072139574988347;0.0;0.0;0.0;0.021693580763703483;0.021555863886025584;0.0;0.0;0.33837151413816635;0.28337359490715425;0.0;0.0;0.3024507422806125;0.021130292664295988;0.0;0.0;0.028599538968973978;0.0;0.0;0.0;0.019269451414091393;0.018843922736484796;0.0;0.0;0.1813385594812533;0.021648764299347714;0.019872260366623797
GO:0045893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.24808211474491726;0.40986659295386996;0.0;0.0;0.2709121911846823;0.10042545914593495;0.0;0.0;0.0;0.0;0.0;0.0;0.276801506551827;0.0;0.0;0.9530631025384096;0.2784015411484354;0.0;0.30038194412578995;0.0;0.7696035911298745;0.3533545919453075;0.0;0.0;0.0
GO:0048246;0.0;0.018068461080748513;0.02659786442860969;0.018068461080748513;0.021231133546627146;0.021780212890886292;0.022609996151078903;0.01889255409576281;0.027336705055139646;0.02245831351122849;0.021181406480844545;0.0;0.019549669583091338;0.021504402109732573;0.018068461080748513;0.019257083802776378;0.024246378871424876;0.02265822312195017;0.0;0.020104716632479723;0.0;1.0;0.01889255409576281;0.0;0.0;0.0;0.021461535260672113;0.02132673965151502;0.0;0.0;0.02107770458187479;0.019905260702196843;0.0;0.0;0.021231133546627146;0.020910079978701045;0.0;0.0;0.028197607125796317;0.0;0.0;0.0;0.019086148747820095;0.018668589620516856;0.0;0.0;0.021231133546627146;0.021417671458441475;0.01967736774486301
