;GO:1902475;GO:0007257;GO:0043542;GO:0051092;GO:0060644;GO:0050796;GO:0001666;GO:0045893;GO:0001504;GO:2000353;GO:0051965;GO:0001829;GO:2001244;GO:0030183;GO:0042100;GO:0042102;GO:0010508;GO:0033209;GO:0051131;GO:0010469;GO:0072659;GO:0032753;GO:0046718;GO:0007032;GO:1904674;GO:0008284;GO:1904677;GO:0006814;GO:0045596;GO:0051023;GO:0010716;GO:2000737;GO:0033632;GO:0015804;GO:0016236;GO:0045190;GO:0050776;GO:0031295;GO:0006351;GO:0048305;GO:0007166;GO:0009267;GO:0006357;GO:0001662;GO:0032735;GO:0010923;GO:0043066;GO:0006508;GO:0033147;GO:0032733;GO:2000103
GO:0051965;0.0;0.21335632684158415;0.0;0.21580373377529938;0.0;0.09144976323500151;0.0;0.3088079655501812;0.0574478021861569;0.19880556769944632;1.0;0.0;0.21967884745439256;0.0;0.0;0.23062675515483003;0.23234630385372584;0.08498851480021034;0.0;0.10301235464751941;0.0;0.3969227010455541;0.0;0.0;0.35797605870053334;0.29034859867467117;0.16218220115724719;0.0;0.44938824821920476;0.07449707480205334;0.28502822937174477;0.32207072064650377;0.06184350469779602;0.0;0.0;0.0;0.09735027659692441;0.21788413969334997;0.0;0.0;0.1228302129964899;0.0;0.12472300700519555;0.0;0.4094058331077721;0.08698728034316192;0.10898475538704784;0.0;0.07336181126739771;0.4072000219526439;0.3418425107107901
GO:0001829;0.0;0.0;0.02220774004398209;0.0;0.31500061848544464;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.3576640322760223;0.021461535260672113;0.0;0.0;0.022774214900071033;0.02036470446401519;0.0;0.0;0.0;0.0;0.022535525346309232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023049505033517152;0.020282476753109246;0.0;0.0;0.031210799945853004;0.018401602429566784;0.03114429067970455;0.023887947447055524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:2001244;0.0;0.48250377735291233;0.0;0.21276381638385972;0.0;0.3176578285535974;0.0;0.3032133022384217;0.05677036276797944;0.5351390793683984;0.21967884745439256;0.0;1.0;0.0;0.0;0.2274919330471013;0.2291648835533168;0.08385219335990454;0.0;0.3788529557677043;0.0;0.18098516246403545;0.0;0.0;0.15173241568248774;0.28539743805118073;0.16062567874838415;0.0;0.10357141760174228;0.07362254108662455;0.06609022054887986;0.07457722042450261;0.0611582017067211;0.0;0.0;0.0;0.33938411420977094;0.2150840557800722;0.0;0.0;0.12047074902788471;0.0;0.1222909847259883;0.0;0.1866067839035748;0.08579725643293284;0.5573932102426118;0.0;0.27106672013987243;0.18561373270863227;0.16062567874838415
GO:0030183;0.0;0.0;0.02616848655465213;0.0;0.36552920450988907;0.0;0.0;0.0;0.0;0.0;0.0;0.3576640322760223;0.0;1.0;0.8492483640245458;0.0;0.0;0.02695863626169368;0.023646741634018104;0.0;0.0;0.0;0.0;0.026624820439140058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027345239311444253;0.7951081505529373;0.0;0.3648002228474973;0.03964360639820183;0.021040383582903943;0.039536363463968674;0.02853337965932901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042100;0.0;0.0;0.024162550735544377;0.0;0.021900692391224698;0.0;0.0;0.0;0.0;0.0;0.0;0.021461535260672113;0.0;0.8492483640245458;1.0;0.0;0.0;0.024834650414957006;0.021996595440112225;0.0;0.0;0.0;0.0;0.0245510864256686;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025162364515897637;0.739864839679645;0.0;0.33713602727277914;0.03521473356189953;0.019723824279883027;0.03513008833752792;0.02616490858470372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0042102;0.0;0.22071861528458894;0.0;0.22418484069535913;0.0;0.09507734572543444;0.0;0.3244731532592718;0.05929932766056573;0.20518288483276395;0.23062675515483003;0.0;0.2274919330471013;0.0;0.0;1.0;0.24110439027542938;0.08811284648960935;0.0;0.10763844813025084;0.0;0.18918352910398203;0.0;0.0;0.15745286280311185;0.7287318139409452;0.16640138517407832;0.0;0.11015023558743436;0.4045868611021435;0.06870883967584908;0.07792861587242146;0.600206506692449;0.0;0.0;0.0;0.6102753632673;0.8127836310902584;0.0;0.0;0.12946481092684303;0.0;0.13156935518050877;0.0;0.195334643351324;0.09026312876908436;0.11417633495330112;0.0;0.07567812879273644;0.19424679778077866;0.3986847151121503
GO:0010508;0.0;0.31039836724972814;0.0;0.22598630320266477;0.0;0.09585782788213121;0.0;0.4578444670527666;0.05969422963831208;0.20654282646951716;0.23234630385372584;0.0;0.2291648835533168;0.0;0.0;0.24110439027542938;1.0;0.08878277163020419;0.0;0.10863986520419487;0.0;0.1904647820424301;0.0;0.0;0.15833935783958572;0.30715299647894617;0.16729470744653813;0.0;0.11119916265677483;0.07739640580181796;0.0691155137635017;0.07845216839979591;0.064108973010413;0.0;0.0;0.0;0.10308451438208947;0.22721252215360602;0.0;0.0;0.130916266336366;0.0;0.29446829509779493;0.0;0.19670086895533476;0.2012997375345474;0.11530373439981821;0.0;0.07617178301138394;0.19559779573679215;0.16729470744653813
GO:0033209;0.0;0.08139522719189178;0.025839341070215228;0.0914260044528687;0.02326935612641188;0.09334614262908342;0.0;0.11877073164606748;0.05841903399419188;0.07575071298434458;0.08498851480021034;0.022774214900071033;0.08385219335990454;0.02695863626169368;0.024834650414957006;0.08811284648960935;0.08878277163020419;1.0;0.02337765010816656;0.10542491871537256;0.0;0.06808484265790508;0.0;0.02628417010639969;0.056809159127320596;0.11149521943233252;0.06160516693876491;0.0;0.10783330542571622;0.07575071298434458;0.06780014531257046;0.07676176194500026;0.06282429296531723;0.0;0.026986029182053135;0.02326935612641188;0.09980291761094925;0.08315449235571279;0.038893067485860244;0.020827074288089328;0.5422529685538283;0.02814249939683547;0.12827721097687442;0.0;0.07026407605617067;0.08870136521959439;0.11168884972013399;0.0;0.07457722042450261;0.06987882678848972;0.06160516693876491
GO:0051131;0.0;0.0;0.0227811515667553;0.0;0.020759707699946048;0.0;0.0;0.0;0.0;0.0;0.0;0.02036470446401519;0.0;0.023646741634018104;0.021996595440112225;0.0;0.0;0.02337765010816656;1.0;0.0;0.0;0.0;0.0;0.1954346069220741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023667814853947696;0.020759707699946048;0.0;0.0;0.03235535707366127;0.018793571078130667;0.03228388591663274;0.0245527070099931;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0010469;0.0;0.365517502142541;0.0;0.41305881888018986;0.0;0.407232517448289;0.0;0.15721143544716673;0.06927230410239224;0.08974667892297208;0.10301235464751941;0.0;0.3788529557677043;0.0;0.0;0.10763844813025084;0.10863986520419487;0.10542491871537256;0.0;1.0;0.0;0.08098376613895614;0.0;0.0;0.0655162355256291;0.14471210129145715;0.07055329534291062;0.0;0.13860301170464687;0.08974667892297208;0.07879904803538271;0.09116936088192511;0.07364851413602196;0.0;0.0;0.0;0.46192060514136674;0.10033022485857103;0.0;0.0;0.17063544303023126;0.0;0.1743103296402662;0.0;0.08408575597837672;0.39799890012210226;0.1450384600375741;0.0;0.32934679186946364;0.08353462876362332;0.07055329534291062
