;GO:0060088;GO:0014066;GO:0014065;GO:0051291;GO:0006886;GO:0007216;GO:0051091;GO:0006559;GO:0045892;GO:0006914;GO:0048563;GO:0070885;GO:2001020;GO:0007264;GO:1900740;GO:0048009;GO:0042462;GO:0006572;GO:0006012;GO:0097062;GO:0097186;GO:0006605;GO:0071560;GO:0072334;GO:0048333;GO:0035308;GO:0010469;GO:0030335;GO:0016567;GO:0031581;GO:0006383;GO:0008286;GO:0008284;GO:0006464;GO:0002062;GO:0043243;GO:0043488;GO:0042795;GO:0045625;GO:0045944;GO:0045744;GO:0000398;GO:0051389;GO:0002576;GO:0000165;GO:0007229;GO:0050650;GO:0032703;GO:0045078;GO:0071277;GO:0051262;GO:0001845;GO:0051904;GO:0033674;GO:0010756;GO:0070106;GO:0042129;GO:0038083;GO:1904646;GO:0006396;GO:0002230;GO:0006359;GO:1903955;GO:0046328;GO:0048747;GO:0009617;GO:0048791;GO:0006906;GO:0045087;GO:0043066;GO:0070374;GO:0035329;GO:0017158
GO:0048563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5699021892706997;0.0;0.0;0.0;0.6817614252749086;0.0;0.0;0.0;0.5600574663548235;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5432278013699066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5432278013699066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0070885;0.0;0.4879428514359071;0.209731877021625;0.0;0.0;0.23640626492241817;0.27098998840247623;0.0;0.3802192569195022;0.0;0.0;1.0;0.38673312098244245;0.27548353687843885;0.3260135962054242;0.209731877021625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3129005969798346;0.48053757704363026;0.30077836176516565;0.0;0.0;0.0;0.24339120699145883;0.33405468005809513;0.0;0.0;0.27991031780812825;0.26101709882573243;0.0;0.2841549940952013;0.2877359849074208;0.5431678551354965;0.0;0.5214376013139417;0.0;0.2738083848385289;0.209731877021625;0.0;0.29212466250225255;0.1851737485278404;0.0;0.0;0.0;0.0;0.272444938851672;0.17427935401941208;0.209731877021625;0.26775507336957116;0.0;0.0;0.0;0.27027189220720454;0.22425102048386109;0.21377025599374544;0.4723259459817713;0.0;0.0;0.0;0.0;0.0;0.39239223681777974;0.4358068351651018;0.209731877021625;0.2769637547112081
GO:2001020;0.0;0.4658412408774115;0.3786268377910388;0.0;0.0;0.42796246268124855;0.44853491761244235;0.0;0.46981949425090413;0.0;0.0;0.38673312098244245;1.0;0.4670397346372692;0.43916685297661834;0.3786268377910388;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4025008343112365;0.563918338810065;0.4824646085473759;0.0;0.0;0.0;0.4122861677608726;0.5384021638297218;0.0;0.0;0.4714665155669586;0.44270334560794267;0.0;0.4288962476765039;0.4551384754781399;0.527487714893002;0.0;0.40222185977571073;0.0;0.46536458259735924;0.40128807478045536;0.0;0.3692039804777636;0.3589967814255264;0.0;0.0;0.0;0.0;0.4398474294223911;0.3416818445901312;0.3786268377910388;0.44157810626725713;0.0;0.0;0.0;0.4889521614556882;0.39807405338154705;0.37582644641044327;0.6497360549928715;0.0;0.0;0.0;0.0;0.0;0.4876112619658298;0.4190515247606276;0.40128807478045536;0.45865000149341834
GO:0007264;0.45132899529574927;0.3489728689567598;0.6612555307831637;0.47800338319654245;0.0;0.6109630462975914;0.41183661724288256;0.3662611367354131;0.41580625704594915;0.4907958945919106;0.0;0.27548353687843885;0.4670397346372692;1.0;0.4664872979561486;0.5842886583967981;0.5046777710973356;0.3534446226618728;0.0;0.45132899529574927;0.0;0.0;0.3494314717504962;0.0;0.4948330481814594;0.3484875971062815;0.49348257781658633;0.4261362518123037;0.36698862441571595;0.45132899529574927;0.49040626725176995;0.617947988366632;0.47490130889850146;0.5147286374246343;0.47800338319654245;0.41210697820798226;0.42866628222779946;0.45132899529574927;0.3161691933280963;0.40295143631531183;0.41061934297235014;0.4948330481814594;0.2894948054273031;0.3494314717504962;0.7253320386000676;0.5842886583967981;0.30714017839556723;0.3325056801082038;0.3049835442205714;0.32677023476107964;0.47800338319654245;0.46815866028066616;0.0;0.4204640658882265;0.2894948054273031;0.5842886583967981;0.38756486906230214;0.28982524156017203;0.32677023476107964;0.5782105123547819;0.3058312922074106;0.34406081617659207;0.3391281460408835;0.37564725685755296;0.47800338319654245;0.0;0.47800338319654245;0.5313521589981288;0.0;0.43128290523075763;0.30632447041222;0.6612555307831637;0.40232164475834614
GO:1900740;0.4772016191318648;0.40512171610039327;0.40073563809933477;0.503876007032658;0.0;0.42741002600012795;0.41332897906365645;0.27784823988918267;0.3500545971891353;0.39224055910643324;0.0;0.3260135962054242;0.43916685297661834;0.4664872979561486;1.0;0.40073563809933477;0.4389261112405218;0.25074796960415136;0.0;0.4772016191318648;0.0;0.0;0.28367981189368235;0.0;0.42908138832464554;0.2672471984561994;0.5300013685947074;0.45416979364794513;0.2857482257656338;0.4772016191318648;0.4246546073949561;0.4343949680691686;0.4691585003873687;0.42631574057840377;0.4122517233397286;0.5146316788698131;0.43906795284576067;0.3855773354389354;0.310957548656862;0.4126973665974474;0.46676819011598364;0.42908138832464554;0.3415023349986925;0.22407358170335817;0.46481214591623865;0.40073563809933477;0.22407358170335817;0.26675402025138994;0.31655567254483385;0.24138851853875337;0.503876007032658;0.5487390810203419;0.0;0.41472125737709375;0.28375199691617037;0.40073563809933477;0.3218132092054883;0.20858484291008988;0.24138851853875337;0.5124588524979681;0.3170868363847323;0.2783091563197782;0.788007251309672;0.39485111080027885;0.4122517233397286;0.0;0.4122517233397286;0.6536082068874058;0.0;0.5721306669441428;0.4514213695354819;0.40073563809933477;0.4271677015156266
GO:0048009;0.3855773354389354;0.2832212090999459;0.5185369985399844;0.4122517233397286;0.0;0.5819735554587817;0.3460849573860687;0.30050947687859925;0.3500545971891353;0.4250442347350967;0.0;0.209731877021625;0.3786268377910388;0.5842886583967981;0.40073563809933477;1.0;0.4389261112405218;0.28769296280505896;0.0;0.3855773354389354;0.0;0.0;0.28367981189368235;0.0;0.42908138832464554;0.2672471984561994;0.42773091795977247;0.36038459195548983;0.3012369645589021;0.3855773354389354;0.4246546073949561;0.6618545224316557;0.386488412052271;0.44897697756782035;0.4122517233397286;0.326725261985656;0.3629146223709856;0.3855773354389354;0.2504175334712824;0.33719977645849797;0.3448676831155363;0.42908138832464554;0.22374314557048924;0.28367981189368235;0.5826135063568882;0.5552991675579886;0.24138851853875337;0.26675402025138994;0.23923188436375753;0.2610185749042658;0.4122517233397286;0.4024070004238523;0.0;0.35471240603141263;0.209731877021625;0.5552991675579886;0.3218132092054883;0.22407358170335817;0.2610185749042658;0.5124588524979681;0.24007963235059676;0.2783091563197782;0.2733764861840696;0.2925806601653439;0.4122517233397286;0.0;0.4122517233397286;0.46560049914131496;0.0;0.34821630853854857;0.24057281055540614;0.5185369985399844;0.3192550480661371
GO:0042462;0.4389261112405218;0.0;0.4389261112405218;0.46560049914131496;0.0;0.46560049914131496;0.0;0.3538582526801856;0.0;0.4783930105366831;0.5699021892706997;0.0;0.0;0.5046777710973356;0.4389261112405218;0.4389261112405218;1.0;0.34104173860664533;0.0;0.4389261112405218;0.4997237484841964;0.0;0.3370285876952687;0.0;0.596986369885493;0.0;0.0;0.0;0.35458574036048846;0.4389261112405218;0.47800338319654245;0.4725854412103556;0.0;0.5023257533694068;0.580156704900576;0.0;0.0;0.4389261112405218;0.0;0.0;0.0;0.4824301641262319;0.0;0.3370285876952687;0.5030026190574257;0.4389261112405218;0.29473729434033974;0.0;0.0;0.31436735070585214;0.46560049914131496;0.45575577622543867;0.0;0.0;0.0;0.4389261112405218;0.0;0.27742235750494454;0.31436735070585214;0.5658076282995544;0.0;0.0;0.0;0.0;0.6711661441649306;0.0;0.46560049914131496;0.5189492749429013;0.0;0.0;0.0;0.4389261112405218;0.0
GO:0006572;0.28769296280505896;0.0;0.28769296280505896;0.27742235750494454;0.0;0.31436735070585214;0.0;0.753847283516325;0.0;0.479595722684155;0.0;0.0;0.0;0.3534446226618728;0.25074796960415136;0.28769296280505896;0.34104173860664533;1.0;0.38341230745148464;0.28769296280505896;0.0;0.0;0.22124796226201882;0.0;0.29425202248986143;0.0;0.0;0.0;0.36561346582459037;0.25074796960415136;0.4066714342287594;0.3213522927748928;0.0;0.5005621928207122;0.27742235750494454;0.0;0.0;0.3675941622727387;0.0;0.0;0.0;0.4110982151584488;0.0;0.23525923081088307;0.41897159132899053;0.28769296280505896;0.317950090311179;0.0;0.0;0.22124796226201882;0.27742235750494454;0.3045226277899759;0.0;0.0;0.0;0.28769296280505896;0.0;0.28845008296904645;0.22124796226201882;0.4944756793317714;0.0;0.0;0.0;0.0;0.31436735070585214;0.0;0.31436735070585214;0.3307711333065309;0.0;0.0;0.0;0.28769296280505896;0.0
GO:0006012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3735675845356084;0.0;0.4065027778045871;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38341230745148464;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.37597974035909626;0.0;0.4269998669920297;0.0;0.0;0.5109284673552181;0.0;0.0;0.0;0.38792259503600907;0.0;0.0;0.0;0.43142664792171914;0.0;0.0;0.42933786586349637;0.0;0.3128276260524166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.29881635750355234;0.0;0.5148041120950417;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0097062;0.6294902064984227;0.0;0.3855773354389354;0.503876007032658;0.0;0.4122517233397286;0.0;0.30050947687859925;0.0;0.4250442347350967;0.0;0.0;0.0;0.45132899529574927;0.4772016191318648;0.3855773354389354;0.4389261112405218;0.28769296280505896;0.0;1.0;0.0;0.0;0.28367981189368235;0.0;0.42908138832464554;0.0;0.0;0.0;0.3012369645589021;0.4772016191318648;0.4246546073949561;0.41923666540876925;0.0;0.44897697756782035;0.4122517233397286;0.0;0.0;0.3855773354389354;0.0;0.0;0.0;0.42908138832464554;0.0;0.28367981189368235;0.4496538432558393;0.3855773354389354;0.24138851853875337;0.0;0.0;0.2610185749042658;0.503876007032658;0.4940312841167817;0.0;0.0;0.0;0.3855773354389354;0.0;0.22407358170335817;0.2610185749042658;0.5124588524979681;0.0;0.0;0.0;0.0;0.4122517233397286;0.0;0.4122517233397286;0.5572247828342444;0.0;0.0;0.0;0.3855773354389354;0.0
