;GO:0006281;GO:1904851;GO:0006164;GO:0009116;GO:0046655;GO:0046931;GO:0009113;GO:0046654;GO:0000413;GO:0001666;GO:0051289;GO:0035999;GO:0071733;GO:0009070;GO:0071899;GO:0009086;GO:0044208;GO:0043312;GO:0006177;GO:0000105;GO:0071169;GO:0031100;GO:0035066;GO:0043967;GO:0043968;GO:1904874;GO:0006183;GO:1904871;GO:0006189;GO:0006541;GO:0009257;GO:1903507;GO:0000122;GO:0071392;GO:0051262;GO:0032508;GO:0071353;GO:0034644;GO:0019346;GO:0042407;GO:0006351;GO:0008053;GO:0006310;GO:0001780;GO:0090090;GO:0000492;GO:0046651;GO:0046452;GO:0032212;GO:0009060
GO:0071899;0.0;0.26359579867390526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13731511384158593;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15895286484966917;0.0;0.0;0.36794429739266715;0.0;0.2911840074096591;0.0;0.0;0.0;0.18718419738263015;0.15902558169345965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2490737343816328;0.24784253294166708;0.0;0.0;0.0;0.14747783207701365;0.0
GO:0009086;0.3004275098541313;0.0;0.41684849027364346;0.40383830033193363;0.4145448039866657;0.14855412735110676;0.4480456096481648;0.5276670641395986;0.36412811435347053;0.0;0.1386415478827898;0.4294698973320531;0.07841290880035362;0.8318601207977196;0.0;1.0;0.32482803267613364;0.10852480418382471;0.30677332079587327;0.7320586128513076;0.0;0.0;0.0;0.3000310198613439;0.3000310198613439;0.0;0.30677329492330535;0.0;0.32853600101922054;0.6203937286439217;0.5008625321921546;0.0;0.0;0.1149214271451331;0.14508936759139723;0.14501310035718876;0.1353058793383658;0.13228642394050522;0.6372700514013825;0.1417369103911438;0.3657906139257479;0.1416546981266557;0.3312285920114975;0.0;0.0;0.13559023553954844;0.14094626614991082;0.4369747934965306;0.0;0.24550659596972604
GO:0044208;0.3329529725989336;0.0;0.7910066619040569;0.4572726037684015;0.3421959398688237;0.09309293007091685;0.5909718750803812;0.4365728567648024;0.2461567519776769;0.0;0.08910078080880367;0.32634225299961245;0.059653757454003566;0.34791481501111005;0.0;0.32482803267613364;1.0;0.0756150270528487;0.8433759961713907;0.47099265958963077;0.0;0.0;0.0;0.21509286919884119;0.21509286919884119;0.0;0.7186056494068149;0.0;0.9390531421524541;0.2810439994795393;0.41976410046183366;0.0;0.0;0.07866583595639345;0.09172035768892715;0.0916898729638726;0.08771111943367885;0.08643224727417408;0.2635484812302659;0.09036912387655141;0.4904213686393862;0.09033569651217709;0.3558910993468155;0.0;0.0;0.08783052312243869;0.09004706578681981;0.33031138827471196;0.0;0.15525704221424064
GO:0043312;0.12811567233512774;0.0;0.09971026301285615;0.1400344480450597;0.11867260321856682;0.1824987925912741;0.10818341803996025;0.09374741598192389;0.1405291702392267;0.0;0.16776327322285509;0.1236064883639451;0.08694943420333251;0.12115590291009413;0.0;0.10852480418382471;0.0756150270528487;1.0;0.06604905513969231;0.10471460805508087;0.20321352386820332;0.0;0.0;0.11231333208407958;0.11231333208407958;0.0;0.06604904910860289;0.0;0.07656092743951276;0.14710518211761087;0.08845778014294373;0.0;0.0;0.13423660868525378;0.17729745184436502;0.17718357874668986;0.16290367248677912;0.1585467005963973;0.13160535776365248;0.1723169268132835;0.11237638957749166;0.17219542794775416;0.14361244925177405;0.17663163402912926;0.0;0.16331603323449273;0.3476423394449784;0.126107538143387;0.0;0.1770832658938596
GO:0006177;0.29039018164796954;0.0;0.702956156719605;0.4413580876025163;0.2792506723445424;0.07900559269537508;0.5220414589250874;0.4079935428965647;0.21317161315224076;0.0;0.07611147277677774;0.28540256028637834;0.05353668454576985;0.32587062889957835;0.0;0.30677332079587327;0.8433759961713907;0.06604905513969231;1.0;0.4365634019860751;0.0;0.0;0.0;0.18947437040051232;0.18947437040051232;0.0;0.8574593643012135;0.0;0.8501845531429455;0.24252676377806215;0.3939130137851519;0.0;0.0;0.06836496105013973;0.07801478906183444;0.07799273308739524;0.07509514265941715;0.0741557367774579;0.22938605871853643;0.07703505094350442;0.4319918923130428;0.077010758989849;0.30768627317285496;0.0;0.0;0.07518265052673104;0.07680089820125352;0.28843367853659735;0.0;0.13206966911659623
GO:0000105;0.4292256710008722;0.0;0.6005689644935965;0.5384673652245392;0.531533582627052;0.14150604817473555;0.6441244241660778;0.69879185823623;0.3501005936048634;0.0;0.13248318592629799;0.5500076761393031;0.07640420511859664;0.8035191727659783;0.0;0.7320586128513076;0.47099265958963077;0.10471460805508087;0.4365634019860751;1.0;0.0;0.0;0.0;0.29044231591668884;0.29044231591668884;0.0;0.4365633659052883;0.0;0.47624606603250413;0.595587268833951;0.6642176647988797;0.0;0.0;0.11065765940321556;0.13835877438176677;0.13828941729793578;0.1294340133585012;0.1266682634390172;0.5436770808786398;0.1353068677737407;0.5709486798424916;0.13523194362854923;0.47150611894308025;0.0;0.0;0.12969420095892;0.13458615073777339;0.5592803440681384;0.0;0.2341284581317715
GO:0071169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20321352386820332;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0031100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035066;0.0;0.1883447337667291;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.38696845150207443;0.0;0.15895286484966917;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.22480093468189963;0.0;0.19913343948894954;0.0;0.0;0.0;0.30260708249025625;0.27124987874396134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1272494123405674;0.18173913215583662;0.0;0.0;0.0;0.5565900118680469;0.0
GO:0043967;0.3861256181991015;0.0;0.2777529060089015;0.37699870563244603;0.28871114619708094;0.2641660922318617;0.29917443650478964;0.2329890879348889;0.6990031381910898;0.0;0.2457452638154852;0.2994635144350273;0.16271136045972925;0.3313767622659109;0.0;0.3000310198613439;0.21509286919884119;0.11231333208407958;0.18947437040051232;0.29044231591668884;0.0;0.0;0.0;1.0;0.9677027987700777;0.0;0.1894743541118167;0.0;0.21760269277768762;0.3937192723204717;0.22085326580668752;0.0;0.0;0.11917847977089385;0.25771391737152993;0.2575720540404136;0.14124611031261558;0.1379589339826167;0.356807207614989;0.251484713783306;0.3432268246784442;0.2513321256955279;0.42726949100927336;0.0;0.0;0.24009877692216103;0.1474038891121535;0.30487993201926067;0.0;0.2570890248046823
