;GO:0006281;GO:1904851;GO:0006164;GO:0009116;GO:0046655;GO:0046931;GO:0009113;GO:0046654;GO:0000413;GO:0001666;GO:0051289;GO:0035999;GO:0071733;GO:0009070;GO:0071899;GO:0009086;GO:0044208;GO:0043312;GO:0006177;GO:0000105;GO:0071169;GO:0031100;GO:0035066;GO:0043967;GO:0043968;GO:1904874;GO:0006183;GO:1904871;GO:0006189;GO:0006541;GO:0009257;GO:1903507;GO:0000122;GO:0071392;GO:0051262;GO:0032508;GO:0071353;GO:0034644;GO:0019346;GO:0042407;GO:0006351;GO:0008053;GO:0006310;GO:0001780;GO:0090090;GO:0000492;GO:0046651;GO:0046452;GO:0032212;GO:0009060
GO:0051289;0.06896551724137934;0.0;0.046511627906976716;0.07999999999999996;0.06060606060606055;0.7;0.052631578947368474;0.04255319148936165;0.07999999999999996;0.0;1.0;0.06451612903225812;0.07999999999999996;0.0625;0.0;0.052631578947368474;0.031746031746031744;0.06666666666666665;0.026666666666666616;0.050000000000000044;0.0;0.0;0.0;0.11764705882352944;0.11764705882352944;0.0;0.026666666666666616;0.0;0.032258064516129004;0.08695652173913049;0.039215686274509776;0.0;0.0;0.07407407407407407;0.8;0.2857142857142857;0.10526315789473684;0.09999999999999998;0.0714285714285714;0.2666666666666667;0.05555555555555558;0.2666666666666667;0.08333333333333337;0.0;0.0;0.5;0.11764705882352944;0.06666666666666665;0.0;0.125
GO:0035999;0.2941176470588235;0.0;0.26086956521739135;0.4285714285714286;0.7777777777777778;0.0714285714285714;0.29268292682926833;0.55;0.21212121212121215;0.0;0.06451612903225812;1.0;0.03076923076923077;0.3055555555555556;0.0;0.26190476190476186;0.18181818181818177;0.046511627906976716;0.15384615384615385;0.375;0.0;0.0;0.0;0.15909090909090906;0.15909090909090906;0.0;0.15384615384615385;0.0;0.18461538461538463;0.40740740740740744;0.5;0.0;0.0;0.050000000000000044;0.06896551724137934;0.06896551724137934;0.0625;0.06060606060606055;0.34375;0.06666666666666665;0.24390243902439024;0.06666666666666665;0.3448275862068966;0.0;0.0;0.0625;0.06666666666666665;0.875;0.0;0.14814814814814814
GO:0071733;0.031746031746031744;0.07272727272727275;0.025974025974025983;0.03389830508474578;0.02985074626865669;0.08510638297872342;0.02777777777777779;0.024691358024691357;0.03389830508474578;0.0;0.07999999999999996;0.03076923076923077;1.0;0.030303030303030276;0.05660377358490565;0.02777777777777779;0.020618556701030966;0.03125;0.01834862385321101;0.027027027027026973;0.0;0.0;0.23076923076923073;0.07462686567164178;0.07462686567164178;0.08695652173913049;0.01834862385321101;0.07692307692307687;0.02083333333333337;0.03508771929824561;0.02352941176470591;0.2857142857142857;0.33333333333333337;0.032786885245901676;0.08333333333333337;0.13043478260869568;0.037735849056603765;0.03703703703703709;0.032258064516129004;0.10416666666666663;0.02857142857142858;0.10416666666666663;0.03448275862068961;0.040000000000000036;0.07017543859649122;0.07843137254901966;0.039215686274509776;0.03125;0.4;0.040000000000000036
GO:0009070;0.1842105263157895;0.0;0.28260869565217395;0.28125;0.2894736842105263;0.06896551724137934;0.31707317073170727;0.4;0.24242424242424243;0.0;0.0625;0.3055555555555556;0.030303030303030276;1.0;0.0;0.7419354838709677;0.19696969696969702;0.045454545454545414;0.18181818181818177;0.696969696969697;0.0;0.0;0.0;0.18181818181818177;0.18181818181818177;0.0;0.18181818181818177;0.0;0.19999999999999996;0.56;0.36734693877551017;0.0;0.0;0.04878048780487809;0.06666666666666665;0.06666666666666665;0.06060606060606055;0.05882352941176472;0.5172413793103448;0.06451612903225812;0.23809523809523814;0.06451612903225812;0.21212121212121215;0.0;0.0;0.06060606060606055;0.06451612903225812;0.3142857142857143;0.0;0.1428571428571429
GO:0071899;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05660377358490565;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06666666666666665;0.0;0.0;0.19999999999999996;0.0;0.1428571428571429;0.0;0.0;0.0;0.08108108108108103;0.06666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.11538461538461542;0.0;0.0;0.0;0.061224489795918324;0.0
GO:0009086;0.15909090909090906;0.0;0.25;0.23684210526315785;0.25;0.05714285714285716;0.276595744680851;0.3529411764705882;0.20512820512820518;0.0;0.052631578947368474;0.26190476190476186;0.02777777777777779;0.7419354838709677;0.0;1.0;0.18055555555555558;0.040000000000000036;0.1686746987951807;0.5897435897435898;0.0;0.0;0.0;0.16000000000000003;0.16000000000000003;0.0;0.1686746987951807;0.0;0.18309859154929575;0.4516129032258065;0.32727272727272727;0.0;0.0;0.04255319148936165;0.05555555555555558;0.05555555555555558;0.05128205128205132;0.050000000000000044;0.47058823529411764;0.05405405405405406;0.20833333333333337;0.05405405405405406;0.17948717948717952;0.0;0.0;0.05128205128205132;0.05405405405405406;0.2682926829268293;0.0;0.11764705882352944
GO:0044208;0.1875;0.0;0.6363636363636364;0.2857142857142857;0.19402985074626866;0.033333333333333326;0.41666666666666663;0.2702702702702703;0.125;0.0;0.031746031746031744;0.18181818181818177;0.020618556701030966;0.19696969696969702;0.0;0.18055555555555558;1.0;0.026666666666666616;0.7428571428571429;0.29850746268656714;0.0;0.0;0.0;0.10666666666666669;0.10666666666666669;0.0;0.5641025641025641;0.0;0.9122807017543859;0.14754098360655743;0.2564102564102564;0.0;0.0;0.02777777777777779;0.032786885245901676;0.032786885245901676;0.03125;0.03076923076923077;0.13636363636363635;0.032258064516129004;0.31746031746031744;0.032258064516129004;0.2033898305084746;0.0;0.0;0.03125;0.032258064516129004;0.18461538461538463;0.0;0.06779661016949157
GO:0043312;0.04878048780487809;0.0;0.036363636363636376;0.05405405405405406;0.0444444444444444;0.07407407407407407;0.040000000000000036;0.03389830508474578;0.05405405405405406;0.0;0.06666666666666665;0.046511627906976716;0.03125;0.045454545454545414;0.0;0.040000000000000036;0.026666666666666616;1.0;0.02298850574712641;0.038461538461538436;0.09090909090909094;0.0;0.0;0.04166666666666663;0.04166666666666663;0.0;0.02298850574712641;0.0;0.027027027027026973;0.05714285714285716;0.031746031746031744;0.0;0.0;0.05128205128205132;0.0714285714285714;0.0714285714285714;0.06451612903225812;0.0625;0.050000000000000044;0.06896551724137934;0.04166666666666663;0.06896551724137934;0.05555555555555558;0.0714285714285714;0.0;0.06451612903225812;0.1923076923076923;0.04761904761904767;0.0;0.0714285714285714
GO:0006177;0.1578947368421053;0.0;0.5223880597014925;0.25373134328358204;0.15000000000000002;0.02777777777777779;0.3472222222222222;0.24705882352941178;0.10526315789473684;0.0;0.026666666666666616;0.15384615384615385;0.01834862385321101;0.18181818181818177;0.0;0.1686746987951807;0.7428571428571429;0.02298850574712641;1.0;0.2692307692307693;0.0;0.0;0.0;0.09195402298850575;0.09195402298850575;0.0;0.7631578947368421;0.0;0.7536231884057971;0.12328767123287676;0.2359550561797753;0.0;0.0;0.023809523809523836;0.0273972602739726;0.0273972602739726;0.02631578947368418;0.025974025974025983;0.11538461538461542;0.027027027027026973;0.2666666666666667;0.027027027027026973;0.16901408450704225;0.0;0.0;0.02631578947368418;0.027027027027026973;0.1558441558441559;0.0;0.05633802816901412
GO:0000105;0.26190476190476186;0.0;0.42553191489361697;0.36111111111111116;0.3571428571428571;0.05405405405405406;0.47619047619047616;0.5434782608695652;0.19512195121951215;0.0;0.050000000000000044;0.375;0.027027027027026973;0.696969696969697;0.0;0.5897435897435898;0.29850746268656714;0.038461538461538436;0.2692307692307693;1.0;0.0;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.2692307692307693;0.0;0.303030303030303;0.4242424242424242;0.5;0.0;0.0;0.04081632653061229;0.052631578947368474;0.052631578947368474;0.04878048780487809;0.04761904761904767;0.368421052631579;0.05128205128205132;0.39534883720930236;0.05128205128205132;0.29729729729729726;0.0;0.0;0.04878048780487809;0.05128205128205132;0.3846153846153846;0.0;0.11111111111111116
