;GO:0014068;GO:0014067;GO:0034112;GO:0061098;GO:0051928;GO:0042531;GO:0006887;GO:0043547;GO:0002676;GO:0050796;GO:0048247;GO:0048246;GO:0048245;GO:0032729;GO:0010536;GO:2000110;GO:0019886;GO:0050679;GO:0007186;GO:0090026;GO:0042102;GO:0043553;GO:0070233;GO:0002407;GO:0010820;GO:0031663;GO:0070234;GO:0010469;GO:0031584;GO:0071407;GO:0045948;GO:0042119;GO:0043922;GO:2001190;GO:0009615;GO:0045744;GO:0048661;GO:0000165;GO:0043491;GO:0070100;GO:0051262;GO:0006816;GO:0010759;GO:0071356;GO:0014911;GO:0045070;GO:0045071;GO:0033634;GO:0050852;GO:0060333;GO:0006351;GO:0044344;GO:0006357;GO:0002399;GO:0006874;GO:0002503;GO:0045089;GO:2000503;GO:0002548;GO:0070098;GO:0070374;GO:0071347;GO:0030593;GO:0071346
GO:0048247;0.0;0.0;0.0;0.0;0.0;0.0;0.4840884421056318;0.0;0.0;0.0;1.0;0.7404082336202347;0.7404082336202347;0.0;0.0;0.0;0.4637586078622748;0.0;0.55609309376108;0.0;0.0;0.0;0.0;0.7740675635900685;0.0;0.44379841061882996;0.0;0.0;0.0;0.45913270294163894;0.0;0.490432995763068;0.0;0.0;0.0;0.0;0.0;0.5078749184357338;0.44379841061882996;0.0;0.47047279851962315;0.0;0.0;0.31923965008416033;0.0;0.0;0.0;0.0;0.5883173683969445;0.44379841061882996;0.551088188514034;0.3419008870735769;0.0;0.44379841061882996;0.3914899988683763;0.44379841061882996;0.0;0.0;0.7404082336202347;0.5111170705584975;0.0;0.31923965008416033;0.7404082336202347;0.44379841061882996
GO:0048246;0.0;0.0;0.0;0.0;0.0;0.0;0.4258673669257372;0.0;0.0;0.0;0.7404082336202347;1.0;0.6930230424127137;0.0;0.0;0.0;0.40553753268238024;0.0;0.49787201858118535;0.0;0.0;0.0;0.0;0.7158464884101738;0.0;0.3855773354389354;0.0;0.0;0.0;0.4009116277617444;0.0;0.4322119205831734;0.0;0.0;0.0;0.0;0.0;0.4496538432558393;0.3855773354389354;0.0;0.4122517233397286;0.0;0.0;0.2610185749042658;0.0;0.0;0.0;0.0;0.5300962932170499;0.3855773354389354;0.4928671133341394;0.28367981189368235;0.0;0.3855773354389354;0.33326892368848177;0.3855773354389354;0.0;0.0;0.6930230424127137;0.4528959953786031;0.0;0.2610185749042658;0.6930230424127137;0.3855773354389354
GO:0048245;0.0;0.0;0.0;0.0;0.0;0.0;0.4258673669257372;0.0;0.0;0.0;0.7404082336202347;0.6930230424127137;1.0;0.0;0.0;0.0;0.40553753268238024;0.0;0.49787201858118535;0.0;0.0;0.0;0.0;0.7158464884101738;0.0;0.3855773354389354;0.0;0.0;0.0;0.4009116277617444;0.0;0.4322119205831734;0.0;0.0;0.0;0.0;0.0;0.4496538432558393;0.3855773354389354;0.0;0.4122517233397286;0.0;0.0;0.2610185749042658;0.0;0.0;0.0;0.0;0.5300962932170499;0.3855773354389354;0.4928671133341394;0.28367981189368235;0.0;0.3855773354389354;0.33326892368848177;0.3855773354389354;0.0;0.0;0.6930230424127137;0.4528959953786031;0.0;0.2610185749042658;0.7711775863247551;0.3855773354389354
GO:0032729;0.3236626762158731;0.23395034462272646;0.3769520625512193;0.3031337179815696;0.41721396331416566;0.2908590005872096;0.0;0.231818017332936;0.30977280128662177;0.2634431289595723;0.0;0.0;0.0;1.0;0.2908590005872096;0.20714779006106576;0.0;0.4134711733678888;0.3790487033936399;0.3236626762158731;0.36225467632141545;0.2507800096076434;0.2388850004657877;0.0;0.3063477393804779;0.26675402025138994;0.3203517849240554;0.36884426909542006;0.19043022385423447;0.0;0.3666814572511049;0.0;0.26675402025138994;0.3432927325813855;0.0;0.33775994533237835;0.36012239756630243;0.3308305280682939;0.26675402025138994;0.2507800096076434;0.0;0.0;0.3236626762158731;0.0;0.35033706411666626;0.35033706411666626;0.26062473252351964;0.3432927325813855;0.3236626762158731;0.26675402025138994;0.0;0.0;0.37482620937275485;0.0;0.27141623449553454;0.0;0.45807405965601133;0.3063477393804779;0.0;0.33407268019105757;0.3231774043653948;0.0;0.0;0.0
GO:0010536;0.5407545759830484;0.43860722654569734;0.29784394265625025;0.7708759666172706;0.33810584341919664;0.7851474704628364;0.0;0.4686315686952005;0.3446168786266958;0.35678839775036303;0.0;0.0;0.0;0.2908590005872096;1.0;0.17427935401941208;0.0;0.3694191764959419;0.3360378287127392;0.3351688655392535;0.3128563792954473;0.49669356242835727;0.2076409682658752;0.0;0.32115759699038926;0.209731877021625;0.28868665275923167;0.48053757704363026;0.414856910509376;0.0;0.5093600005209837;0.0;0.27592986841585887;0.367972541167917;0.0;0.44713813375047123;0.31607040069435555;0.2738083848385289;0.209731877021625;0.3583319999836094;0.0;0.0;0.3351688655392535;0.0;0.2964151162680993;0.27684773203834534;0.19538094758007762;0.2641846126864164;0.32115759699038926;0.209731877021625;0.0;0.0;0.41680573316588726;0.0;0.21619954330358776;0.0;0.48275386824254285;0.32115759699038926;0.0;0.27705053696129267;0.5718855949830236;0.0;0.0;0.0
GO:2000110;0.19694059100882855;0.2834078126429887;0.21413273213010642;0.20321418733618574;0.2543946328930528;0.17427935401941208;0.0;0.16969110642992985;0.2408071200308996;0.2672471984561994;0.0;0.0;0.0;0.20714779006106576;0.17427935401941208;1.0;0.0;0.2939215863569925;0.35152656750600747;0.1851737485278404;0.24108068546877803;0.28622620907904134;0.6993521242221974;0.0;0.17427935401941208;0.22374314557048924;0.5863971182302868;0.3258333944145194;0.13323138507950044;0.0;0.25727430887945557;0.0;0.2514390060525951;0.19694059100882855;0.0;0.38721741335264054;0.24057281055540614;0.2878196533873931;0.22374314557048924;0.3002374776279056;0.0;0.0;0.19694059100882855;0.0;0.22361497890962173;0.19538094758007762;0.2781133939533883;0.18047340216027258;0.209731877021625;0.209731877021625;0.0;0.0;0.33781645575885694;0.0;0.21619954330358776;0.0;0.2952547292348984;0.17427935401941208;0.0;0.27705053696129267;0.2020034135127573;0.0;0.0;0.0
GO:0019886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4637586078622748;0.40553753268238024;0.40553753268238024;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4391968626522141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3952669273822658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40553753268238024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40553753268238024;0.0;0.0;0.0;0.40553753268238024;0.0
GO:0050679;0.4063641696968495;0.3094103251502608;0.42045611543692946;0.39300770965869436;0.4607180161998758;0.3694191764959419;0.0;0.2753220702186461;0.35327685417233184;0.3898593712368785;0.0;0.0;0.0;0.4134711733678888;0.3694191764959419;0.2939215863569925;0.0;1.0;0.48131123848283497;0.3867341133313371;0.6420610314713988;0.31075125134190945;0.3234143706938384;0.0;0.3694191764959419;0.3463553183511684;0.41292322938165205;0.44844556719519857;0.23393427673994455;0.0;0.46669788756747654;0.0;0.326725261985656;0.4063641696968495;0.0;0.4150461239020396;0.7048812830606312;0.41043182616807233;0.3463553183511684;0.32623999013517774;0.0;0.0;0.3867341133313371;0.0;0.43303855759764276;0.3938411170023764;0.3041287854092298;0.38679678546709556;0.36716672910158316;0.326725261985656;0.0;0.0;0.45028618990028924;0.0;0.3149202873812446;0.0;0.5015781125417214;0.3694191764959419;0.0;0.39404392192532367;0.40356377831625406;0.0;0.0;0.0
GO:0007186;0.36884150434140267;0.36884150434140267;0.38603364546268054;0.37511510066875986;0.4262955462256269;0.3360378287127392;0.5381620500679871;0.3642532567519205;0.4127080333634737;0.45463685058204173;0.55609309376108;0.49787201858118535;0.49787201858118535;0.3790487033936399;0.3360378287127392;0.35152656750600747;0.0;0.48131123848283497;1.0;0.35152656750600747;0.40743350444694504;0.3683562324909244;0.37954188159844926;0.5315313485510191;0.3360378287127392;0.6308316816822342;0.37954188159844926;0.5400256011020224;0.31461991613834006;0.5132063109039944;0.4291752222120297;0.3999876459473089;0.5130303212415848;0.36884150434140267;0.0;0.4767924226232987;0.4279624626812486;0.6949081894991382;0.6308316816822342;0.3856711693263196;0.5245464064819785;0.0;0.36884150434140267;0.3733132580465157;0.39551589224219585;0.3617337665582447;0.3617337665582447;0.3523743154928467;0.6308316816822342;0.6308316816822342;0.6051617964763893;0.3959744950359323;0.5097173690914311;0.49787201858118535;0.4455636068307317;0.49787201858118535;0.46715564256747255;0.3360378287127392;0.49787201858118535;0.6981503416219019;0.3683562324909244;0.3733132580465157;0.49787201858118535;0.49787201858118535
GO:0090026;0.367972541167917;0.2842831607560688;0.33064761828491374;0.2842598718295422;0.40462319725887586;0.3351688655392535;0.0;0.19235234341934632;0.4739680155610185;0.327391075234278;0.0;0.0;0.0;0.3236626762158731;0.3351688655392535;0.1851737485278404;0.0;0.3867341133313371;0.35152656750600747;1.0;0.45430971382074753;0.22656154200654188;0.2177834069051222;0.0;0.6716506314031039;0.23923188436375753;0.3004534952402198;0.41917708522876246;0.15286144144501296;0.0;0.3440857147867974;0.0;0.23923188436375753;0.4406940702347389;0.0;0.38809276146572064;0.33338533752975075;0.3033083921806614;0.23923188436375753;0.3011128257409857;0.0;0.0;0.7266823723825475;0.0;0.5824001236689493;0.3063477393804779;0.2199390760738622;0.2969882883150799;0.3810878400444147;0.23923188436375753;0.0;0.0;0.3506077417716534;0.0;0.23459940795549433;0.0;0.5554753973093647;0.6716506314031039;0.0;0.3065505443034252;0.3674872693174387;0.0;0.0;0.0
