;GO:0043306;GO:0090197;GO:1901741;GO:1902513;GO:0045626;GO:0043687;GO:0032091;GO:0042832;GO:0043524;GO:0010835;GO:0097345;GO:0047497;GO:0030828;GO:0043032;GO:0002639;GO:0032147;GO:0051965;GO:0010499;GO:0050731;GO:0016579;GO:0035771;GO:0046928;GO:0034640;GO:0006351;GO:0050805;GO:0009743;GO:0045630;GO:0045773;GO:0007266;GO:0006357;GO:0010629;GO:0043161;GO:0007614;GO:0031668;GO:0051056;GO:0016064
GO:0097345;0.04812204084235154;0.04786507819519529;0.04919579505644232;0.046963756519824214;0.04381312964590267;0.024799580381822794;0.055750877938026494;0.0;0.05711550718513356;0.046963756519824214;1.0;0.019760024566423645;0.04937885294419366;0.050036775344027354;0.05194992542357211;0.06115803761144224;0.05394516735490289;0.0;0.058339198961706966;0.024183308172272374;0.04459656634831675;0.2434684932717692;0.016430515760039975;0.029646180214144644;0.053818706363081094;0.0;0.04620370596918206;0.05194992542357211;0.05505562508815448;0.07482405675225602;0.07141338409715332;0.024513523537803675;0.0;0.023862330053545055;0.06124103032194669;0.0
GO:0047497;0.0;0.0;0.0;0.0;0.0;0.026802050816314413;0.0;0.0;0.0;0.0;0.019760024566423645;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.026083678792368892;0.018860318009640803;0.0;0.8227278330115833;0.03255370129603765;0.0;0.0;0.0;0.0;0.02359801775940709;0.0;0.0;0.026468243829228168;0.0;0.02571066150219781;0.0;0.0
GO:0030828;0.17759815901047438;0.17659174221956825;0.18181078395344266;0.06485218253718107;0.06025886400317226;0.0;0.05976805595784252;0.0;0.07990739141320362;0.14789886806733596;0.04937885294419366;0.0;1.0;0.18511827974208345;0.17387789833174708;0.5087205027759942;0.20058375062850936;0.0;0.4834991358981653;0.0;0.06139759641738171;0.07448093604420547;0.0;0.0;0.07497497367007282;0.0;0.17010076830616747;0.19266917013903925;0.07682063313575468;0.3231409318422017;0.20860533774865292;0.0;0.0;0.0;0.08613931355728259;0.0
GO:0043032;0.5531593726897098;0.17901311377152754;0.18437843476224489;0.06572342758279962;0.4526300426819845;0.0;0.06073466336935145;0.0;0.08123424071229172;0.06572342758279962;0.050036775344027354;0.0;0.18511827974208345;1.0;0.4443639198617086;0.233646041447666;0.20371358925569996;0.0;0.22186547423040298;0.0;0.06217793518997288;0.07563239510154253;0.0;0.0;0.07614187847853186;0.0;0.5294992176806675;0.19555511213527763;0.0780461660404774;0.10953788329533488;0.09148550280472753;0.0;0.0;0.0;0.08768319263440924;0.0
GO:0002639;0.6798999267173235;0.1679175500428206;0.1731547490889254;0.06006840134022199;0.5052495479028867;0.0;0.06357656120002332;0.0;0.07492653459727273;0.06006840134022199;0.05194992542357211;0.0;0.17387789833174708;0.4443639198617086;1.0;0.22183104054205896;0.19213132983355996;0.0;0.2100949404564038;0.0;0.056709996516895095;0.06952902716928104;0.0;0.0;0.07001845033137896;0.0;0.6497174593208948;0.18410438830605513;0.07185036888017177;0.10275460516099312;0.09719404458589027;0.0;0.0;0.0;0.08118475857786074;0.0
GO:0032147;0.22179265004855772;0.22022523771230096;0.22840173359421012;0.08047937859737837;0.07352438050185192;0.0;0.3723692329360819;0.0;0.10503817047534096;0.3944336477397204;0.06115803761144224;0.0;0.5087205027759942;0.233646041447666;0.22183104054205896;1.0;0.2588343132535698;0.0;0.6725910129912032;0.0;0.07522674686106487;0.09585782788213121;0.0;0.0;0.09667771209873127;0.0;0.21022116755950626;0.24580468767096028;0.09976855856141018;0.35973539539321614;0.32372159651622295;0.0;0.0;0.0;0.1160771111404319;0.0
GO:0051965;0.19464379147844413;0.3782649424739317;0.43488747587736853;0.0709029784267545;0.31621039400314116;0.0;0.06659073966401222;0.0;0.08929699422590882;0.0709029784267545;0.05394516735490289;0.0;0.20058375062850936;0.20371358925569996;0.19213132983355996;0.2588343132535698;1.0;0.0;0.24445497876656744;0.0;0.06679410581653009;0.08257397736308218;0.0;0.0;0.08318164948125617;0.0;0.39135883098167684;0.6122733873128854;0.0854596079104812;0.12472300700519555;0.10343764071661321;0.0;0.0;0.0;0.09715152256653255;0.0
GO:0010499;0.0;0.0;0.0;0.0;0.0;0.276118406974995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4859818014694888;0.0;0.0;0.0;0.19648274258028176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.749039567043415;0.0;0.0;0.0;0.0
GO:0050731;0.21114984826984917;0.20972877062394082;0.217131318408386;0.07673413073524005;0.07038586554827916;0.0;0.0734166152329172;0.0;0.09874772203108591;0.3760779918972096;0.058339198961706966;0.0;0.4834991358981653;0.22186547423040298;0.2100949404564038;0.6725910129912032;0.24445497876656744;0.0;1.0;0.0;0.07194445655211203;0.09059133368702857;0.0;0.0;0.09132325877213238;0.0;0.20063592321457294;0.23280024785505163;0.09407634103535757;0.3283262647321918;0.29731931224036534;0.0;0.0;0.0;0.10844304911808471;0.0
GO:0016579;0.0;0.0;0.0;0.0;0.0;0.43776439180273785;0.0;0.0;0.0;0.0;0.024183308172272374;0.026083678792368892;0.0;0.0;0.0;0.0;0.0;0.4859818014694888;0.0;1.0;0.022849315921731388;0.0;0.02057897380148033;0.3359660198737297;0.0;0.0;0.0;0.0;0.030193189549282188;0.0;0.0;0.6345629853448869;0.0;0.0337404890710564;0.0;0.0
