;GO:0008584;GO:0051491;GO:0045963;GO:0046777;GO:0043542;GO:0002286;GO:0051092;GO:0045766;GO:0043547;GO:0060964;GO:0000187;GO:0030307;GO:0002315;GO:0045892;GO:0000183;GO:0045893;GO:0010737;GO:0016055;GO:0010976;GO:0032200;GO:0035556;GO:0007264;GO:0034142;GO:0043312;GO:0045652;GO:0045333;GO:0046500;GO:0043113;GO:0000226;GO:0006336;GO:0000422;GO:0043315;GO:0002523;GO:0031509;GO:0031508;GO:0035987;GO:2000363;GO:0031100;GO:0018105;GO:0031623;GO:0071803;GO:0071404;GO:0072659;GO:1905150;GO:0051017;GO:0018107;GO:0008360;GO:0035264;GO:0045429;GO:0090314;GO:0070507;GO:1903980;GO:0008284;GO:0045742;GO:0090230;GO:0045787;GO:0006744;GO:0045745;GO:0000079;GO:1900825;GO:0050730;GO:0007229;GO:0050770;GO:0019221;GO:0001649;GO:0032147;GO:0033157;GO:1902340;GO:0007286;GO:0006351;GO:0007088;GO:0022617;GO:0008295;GO:0044267;GO:0006597;GO:0006355;GO:0006557;GO:1901216;GO:0001782;GO:0006357;GO:0001774;GO:0045123;GO:0048477;GO:0042692;GO:0030593;GO:0070895;GO:0032930;GO:0035722
GO:0000187;0.0;0.006435763527272785;0.006145022122173749;0.0;0.0;0.0;0.006145022122173749;0.0021483781229270334;0.004944216628169998;0.002896463778591259;1.0;0.006435763527272785;0.0;0.006145022122173749;0.006145022122173749;0.02158107991395487;0.0021483781229270334;0.0021483781229270334;0.006435763527272785;0.0;0.0021483781229270334;0.0021483781229270334;0.006330897823683107;0.0;0.0021483781229270334;0.0;0.0;0.0;0.0;0.0;0.0;0.006435763527272785;0.0;0.0;0.0;0.0;0.004944216628169998;0.0;0.0;0.0;0.006435763527272785;0.0;0.0;0.0012049684023742746;0.0;0.0;0.0021483781229270334;0.0;0.02158107991395487;0.0021483781229270334;0.0021483781229270334;0.006435763527272785;0.006435763527272785;0.037836644979300546;0.0021483781229270334;0.006435763527272785;0.0;0.037836644979300546;0.043611516294724206;0.0021483781229270334;0.029416924307513623;0.0021483781229270334;0.0021483781229270334;0.0021483781229270334;0.0;0.29595138174306135;0.0012049684023742746;0.0021483781229270334;0.0;0.0;0.0021483781229270334;0.0;0.0;0.0;0.0;0.006145022122173749;0.0;0.006435763527272785;9.085464744861965E-4;0.006145022122173749;0.0;0.0;0.0;0.0;0.0;0.006145022122173749;0.02158107991395487;0.0021483781229270334
GO:0030307;0.0;0.11907999762923722;0.027598937752412452;0.0;0.0;0.0;0.02849417210833194;0.059203133899649846;0.04175361312747613;0.09873193228442995;0.006435763527272785;1.0;0.0;0.00503549750813152;0.004538030814406289;0.01974353259675029;0.09873193228442995;0.09873193228442995;0.04836347117958533;0.0;0.09873193228442995;0.09873193228442995;0.019295575792472548;0.0;0.09873193228442995;0.0;0.0;0.0;0.0;0.0;0.0;0.02986146050124605;0.0;0.0;0.0;0.0;0.04175361312747613;0.0;0.0;0.0;0.07785922077684625;0.0;0.0;0.019496417770001533;0.0;0.0;0.14929236105030833;0.0;0.036214832391062296;0.016018362329557684;0.14929236105030833;0.15339097292625753;0.2957651458057049;0.10229057422194507;0.14929236105030833;0.2957651458057049;0.0;0.12594191406305053;0.023371771396054876;0.09215877689453437;0.07111155747450323;0.09873193228442995;0.0791435359699762;0.09873193228442995;0.0;0.02174601615092366;0.04900234127222071;0.10319649909146528;0.0;0.0;0.14929236105030833;0.0;0.0;0.0;0.0;0.032453259350379245;0.0;0.2957651458057049;0.04175361312747613;0.03203300198081839;0.0;0.0;0.0;0.0;0.0;0.01828626667823045;0.16498349503626414;0.09873193228442995
GO:0002315;0.02247754451120141;0.0;0.0;0.018629235703855225;0.02247754451120141;0.3958906900092112;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.001919127668234308;0.0;0.02247754451120141;0.02247754451120141;0.0;0.02247754451120141;0.02247754451120141;0.02247754451120141;0.008160075348164186;0.25603441838592406;0.0;0.02247754451120141;0.02247754451120141;0.0;0.02247754451120141;0.020605771409941756;0.02247754451120141;0.0;0.02247754451120141;0.02247754451120141;0.02247754451120141;0.11137121533727763;0.0;0.02247754451120141;0.009940745085628543;0.02247754451120141;0.0;0.02247754451120141;0.0;0.0;0.02247754451120141;0.00996256615924983;0.0;0.02247754451120141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009417938120738396;0.0;0.0;0.0;0.0;0.02247754451120141;0.0;0.02247754451120141;0.11137121533727763;0.0;0.0;0.0;0.09245880541960977;0.005791764842280598;0.0;0.02247754451120141;0.009879971741031342;0.02247754451120141;0.009277738581504326;0.0;0.0010633245461521843;0.0;0.02247754451120141;0.0;0.10860187094730486;0.02247754451120141;0.09245880541960977;0.11137121533727763;0.02247754451120141;0.0;0.0;0.02247754451120141
GO:0045892;0.0;0.00503549750813152;0.050816111175404396;0.0;0.0;0.0;0.155161534124081;0.002824277217674385;0.002129505723165616;0.008683431397459099;0.006145022122173749;0.00503549750813152;0.0;1.0;0.9012080349713405;0.155161534124081;0.00503549750813152;0.00503549750813152;0.00503549750813152;0.0;0.00503549750813152;0.00503549750813152;0.00503549750813152;0.0;0.00503549750813152;0.0;0.0;0.0;0.0;0.0;0.0;0.00503549750813152;0.0;0.0;0.0;0.0;0.002129505723165616;0.0;0.0;0.0;0.00503549750813152;0.0;0.0;0.002824277217674385;0.0;0.0;0.00503549750813152;0.0;0.025517995160638973;0.002824277217674385;0.00503549750813152;0.00503549750813152;0.00503549750813152;0.00503549750813152;0.00503549750813152;0.00503549750813152;0.0;0.00503549750813152;0.014403071439519554;0.00503549750813152;0.014403071439519554;0.00503549750813152;0.00503549750813152;0.00503549750813152;0.0;0.014403071439519554;0.002824277217674385;0.015136182446102072;0.0;0.0;0.00503549750813152;0.0;0.0;0.0;0.0;0.155161534124081;0.0;0.00503549750813152;0.002129505723165616;0.155161534124081;0.0;0.0;0.0;0.0;0.0;0.11654904173411182;0.014403071439519554;0.00503549750813152
GO:0000183;0.0;0.004538030814406289;0.04579588769727137;0.001919127668234308;0.001919127668234308;0.001919127668234308;0.13983282127110164;0.0025452613215546575;0.001919127668234308;0.007825578146512555;0.006145022122173749;0.004538030814406289;0.001919127668234308;0.9012080349713405;1.0;0.13983282127110164;0.004538030814406289;0.004538030814406289;0.004538030814406289;0.0065274760624263505;0.004538030814406289;0.004538030814406289;0.004538030814406289;0.001919127668234308;0.004538030814406289;0.001919127668234308;0.001919127668234308;0.0;0.0065274760624263505;0.008520245555276938;0.0065274760624263505;0.004538030814406289;0.001919127668234308;0.008520245555276938;0.008520245555276938;0.001919127668234308;0.001919127668234308;0.0;0.001919127668234308;0.001919127668234308;0.004538030814406289;0.001919127668234308;0.0;0.0025452613215546575;0.0065274760624263505;0.001919127668234308;0.004538030814406289;0.0;0.022997022275127624;0.0025452613215546575;0.004538030814406289;0.004538030814406289;0.004538030814406289;0.004538030814406289;0.004538030814406289;0.004538030814406289;0.001919127668234308;0.004538030814406289;0.012980163709561255;0.004538030814406289;0.012980163709561255;0.004538030814406289;0.004538030814406289;0.004538030814406289;0.001919127668234308;0.012980163709561255;0.0025452613215546575;0.013640849239219346;0.001919127668234308;0.001919127668234308;0.004538030814406289;0.0065274760624263505;0.001919127668234308;0.001919127668234308;0.001919127668234308;0.13983282127110164;0.0010633245461521843;0.004538030814406289;0.001919127668234308;0.13983282127110164;0.001919127668234308;0.001919127668234308;0.001919127668234308;0.001919127668234308;0.001919127668234308;0.10503493287899167;0.012980163709561255;0.004538030814406289
GO:0045893;0.0;0.01974353259675029;0.018851600756111284;0.0;0.0;0.0;0.20308468969938562;0.006590760104905454;0.002787224368742792;0.011365394012337195;0.02158107991395487;0.01974353259675029;0.0;0.155161534124081;0.13983282127110164;1.0;0.006590760104905454;0.006590760104905454;0.01974353259675029;0.0;0.006590760104905454;0.006590760104905454;0.006590760104905454;0.0;0.006590760104905454;0.0;0.0;0.0;0.0;0.0;0.0;0.01974353259675029;0.0;0.0;0.0;0.0;0.002787224368742792;0.0;0.0;0.0;0.01974353259675029;0.0;0.0;0.0036965828264998394;0.0;0.0;0.006590760104905454;0.0;0.1408267115985219;0.006590760104905454;0.006590760104905454;0.01974353259675029;0.01974353259675029;0.01974353259675029;0.006590760104905454;0.01974353259675029;0.0;0.01974353259675029;0.018851600756111284;0.006590760104905454;0.018851600756111284;0.006590760104905454;0.006590760104905454;0.006590760104905454;0.0;0.06620609240047685;0.0036965828264998394;0.006590760104905454;0.0;0.0;0.006590760104905454;0.0;0.0;0.0;0.0;0.20308468969938562;0.0;0.01974353259675029;0.002787224368742792;0.20308468969938562;0.0;0.0;0.0;0.0;0.0;0.04481218320928804;0.06620609240047685;0.006590760104905454
GO:0010737;0.0;0.03975112831612477;0.027598937752412452;0.018629235703855225;0.12741218007660887;0.04103932917437334;0.02849417210833194;0.033205470168080946;0.06825029425055588;0.1259904235554072;0.0021483781229270334;0.09873193228442995;0.02247754451120141;0.00503549750813152;0.004538030814406289;0.006590760104905454;1.0;0.6798914541159152;0.01614463039089677;0.12741218007660887;0.8767197170166617;0.8767197170166617;0.04709164073433045;0.02535564089323761;0.11546831538534785;0.10912436884078743;0.04328700377885295;0.0;0.1111033070426179;0.020605771409941756;0.03383086788199859;0.00996831350121288;0.11556760375600217;0.04285702736989175;0.034108160508614836;0.12741218007660887;0.07827737283025422;0.0;0.009940745085628543;0.051925829547280054;0.025990862758751034;0.05933604448260999;0.0;0.019496417770001533;0.08462108541438568;0.00996256615924983;0.1905994040056726;0.0;0.012089187756001556;0.008984275281393256;0.23619778534979743;0.0512047729990028;0.18324392195747494;0.0341465050586151;0.1509233264348022;0.1887542286435455;0.009417938120738396;0.04204176424227183;0.023371771396054876;0.09215877689453437;0.07111155747450323;0.7332372093942711;0.052340214724749964;0.7332372093942711;0.12741218007660887;0.007259226533337186;0.04900234127222071;0.06824722771217598;0.04626498821526307;0.005791764842280598;0.14484094594527047;0.0907819473582988;0.009879971741031342;0.041639583502808816;0.009277738581504326;0.032453259350379245;0.0010633245461521843;0.13638272690268344;0.12741218007660887;0.03203300198081839;0.10793742002122277;0.11556760375600217;0.03976272004320178;0.12741218007660887;0.02584317478281109;0.01828626667823045;0.05507457349511269;0.6436478635053585
GO:0016055;0.0;0.03975112831612477;0.027598937752412452;0.018629235703855225;0.1178121086385134;0.04103932917437334;0.02849417210833194;0.033205470168080946;0.06825029425055588;0.1259904235554072;0.0021483781229270334;0.09873193228442995;0.02247754451120141;0.00503549750813152;0.004538030814406289;0.006590760104905454;0.6798914541159152;1.0;0.01614463039089677;0.1178121086385134;0.6798914541159152;0.6798914541159152;0.04709164073433045;0.02535564089323761;0.11546831538534785;0.10912436884078743;0.04328700377885295;0.0;0.1111033070426179;0.020605771409941756;0.03383086788199859;0.00996831350121288;0.11556760375600217;0.04285702736989175;0.034108160508614836;0.1178121086385134;0.07827737283025422;0.0;0.009940745085628543;0.051925829547280054;0.025990862758751034;0.05933604448260999;0.0;0.019496417770001533;0.08462108541438568;0.00996256615924983;0.1905994040056726;0.0;0.012089187756001556;0.008984275281393256;0.23619778534979743;0.0512047729990028;0.18324392195747494;0.0341465050586151;0.1509233264348022;0.1887542286435455;0.009417938120738396;0.04204176424227183;0.023371771396054876;0.09215877689453437;0.07111155747450323;0.810661888718879;0.052340214724749964;0.810661888718879;0.1178121086385134;0.007259226533337186;0.04900234127222071;0.06824722771217598;0.04626498821526307;0.005791764842280598;0.14484094594527047;0.0907819473582988;0.009879971741031342;0.041639583502808816;0.009277738581504326;0.032453259350379245;0.0010633245461521843;0.13638272690268344;0.1178121086385134;0.03203300198081839;0.10793742002122277;0.11556760375600217;0.03976272004320178;0.1178121086385134;0.02584317478281109;0.01828626667823045;0.05507457349511269;0.7674471999028337
GO:0010976;0.0;0.13184575697238193;0.01614463039089677;0.0;0.0;0.0;0.01614463039089677;0.04785880841733588;0.006827544400586017;0.01614463039089677;0.006435763527272785;0.04836347117958533;0.0;0.00503549750813152;0.004538030814406289;0.01974353259675029;0.01614463039089677;0.01614463039089677;1.0;0.0;0.01614463039089677;0.01614463039089677;0.01614463039089677;0.0;0.04731328740216537;0.0;0.0;0.0;0.0;0.0;0.0;0.02986146050124605;0.0;0.0;0.0;0.0;0.006827544400586017;0.0;0.0;0.0;0.08888402369817536;0.0;0.0;0.009055095693553923;0.0;0.0;0.024412263930963716;0.0;0.036214832391062296;0.016018362329557684;0.024412263930963716;0.04836347117958533;0.04836347117958533;0.04836347117958533;0.024412263930963716;0.04836347117958533;0.0;0.04836347117958533;0.01614463039089677;0.01614463039089677;0.01614463039089677;0.01614463039089677;0.1709166537706985;0.01614463039089677;0.0;0.02174601615092366;0.009055095693553923;0.024412263930963716;0.0;0.0;0.024412263930963716;0.0;0.0;0.0;0.0;0.01614463039089677;0.0;0.04836347117958533;0.006827544400586017;0.01614463039089677;0.0;0.0;0.0;0.0;0.0;0.01614463039089677;0.04836347117958533;0.01614463039089677
GO:0032200;0.0;0.0;0.0;0.018629235703855225;0.13484356899313144;0.04103932917437334;0.0;0.0;0.0;0.0;0.0;0.0;0.02247754451120141;0.0;0.0065274760624263505;0.0;0.12741218007660887;0.1178121086385134;0.0;1.0;0.14532829318607357;0.12741218007660887;0.008160075348164186;0.02535564089323761;0.0;0.10912436884078743;0.04328700377885295;0.0;0.49325924151642186;0.07008584256928257;0.15019704341398069;0.0;0.11556760375600217;0.14576842640234636;0.11601114659464999;0.1585268734605183;0.0;0.0;0.009940745085628543;0.051925829547280054;0.0;0.05933604448260999;0.0;0.0;0.2878193663515562;0.00996256615924983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009417938120738396;0.0;0.0;0.0;0.0;0.12705590171490894;0.0;0.12705590171490894;0.1585268734605183;0.0;0.0;0.0;0.04626498821526307;0.005791764842280598;0.0;0.30877413633817513;0.009879971741031342;0.041639583502808816;0.009277738581504326;0.0;0.0010633245461521843;0.0;0.0;0.0;0.10793742002122277;0.11556760375600217;0.03976272004320178;0.1585268734605183;0.02584317478281109;0.0;0.0;0.11153179167231024
