;GO:1903169;GO:0042297;GO:0006366;GO:0046854;GO:0051289;GO:0051000;GO:2000510;GO:0070207;GO:0019722;GO:0019886;GO:0035556;GO:0035116;GO:0033138;GO:0060474;GO:0030183;GO:0007186;GO:0051260;GO:0042100;GO:0009967;GO:0045580;GO:0002523;GO:2000404;GO:0007219;GO:0051770;GO:0002407;GO:0048290;GO:0002925;GO:0071205;GO:0015914;GO:0051897;GO:0051898;GO:1904155;GO:0045947;GO:0008284;GO:1904156;GO:0048812;GO:0036150;GO:0045944;GO:0010918;GO:0030449;GO:0019221;GO:0071356;GO:0032024;GO:0010634;GO:0050855;GO:0019226;GO:0050731;GO:0050853;GO:0035176;GO:0032461;GO:0006351;GO:0030041;GO:1900165;GO:0007169;GO:0038083;GO:0006355;GO:0007166;GO:0051281;GO:0043410;GO:0007204;GO:0002587;GO:0045087;GO:0043066;GO:0070098;GO:0072679;GO:0050869;GO:0050900;GO:0051712;GO:0071902
GO:0035556;0.11367311782080175;0.0;0.05044707376082644;0.03853808625661973;0.03665107511377288;0.08908485604226439;0.09255919341714261;0.032459504818285294;0.6635065212847865;0.0;1.0;0.0;0.1237551064189484;0.0843649029034733;0.03750313902825974;0.494499403273472;0.0444639727801271;0.03351555634626716;0.19272335598847784;0.12786151016296765;0.029358481352004768;0.10803963973315162;0.3345880964590689;0.08686103614637197;0.03091527530724027;0.023577511584009055;0.07622203940754695;0.0;0.0;0.1304144723763119;0.11042930269448478;0.023577511584009055;0.10123045189980398;0.17345309270218953;0.023577511584009055;0.04246347454779639;0.03143706987822081;0.18259479521804664;0.07188958941604325;0.11000679966888308;0.4335343433664882;0.03893860847525819;0.11809044037934897;0.1279956826093201;0.10286370761393195;0.0;0.13349745614482625;0.3368275496457058;0.0;0.10385823264421895;0.06543606213029636;0.032588790003417294;0.091351229638843;0.41499439306267977;0.03456576977370484;0.23672431247592268;0.561656831449571;0.10944674781428251;0.1585951023598469;0.10911500089714175;0.07162165377891783;0.0;0.173922169788529;0.314937366771347;0.02500053366913018;0.10649885802891844;0.0455952974473127;0.08486134409688711;0.14736028880041832
GO:0035116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.21770204821139671;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1570186485554203;0.0;0.0;0.1570186485554203;0.46879197968722375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0033138;0.08235651255557083;0.0;0.0;0.0;0.0;0.2791842300924084;0.19411479966528206;0.0;0.09358478369137187;0.0;0.1237551064189484;0.0;1.0;0.180348658286329;0.0;0.12048712868226295;0.0;0.0;0.32814025418595266;0.09289549461428426;0.0;0.0819693305896431;0.09208633812304166;0.28520562543630945;0.0;0.0;0.16621639961913287;0.0;0.0;0.25148091775398224;0.08333756782470385;0.0;0.324457075781543;0.30642029687951666;0.0;0.0;0.0;0.45140911936831785;0.05635334037172908;0.3613965365019898;0.11046312192188319;0.0;0.23384658497734376;0.24809319717169712;0.07895511086911747;0.0;0.5954890672302989;0.22285712409302952;0.0;0.2122625926605966;0.0;0.0;0.07199121904611498;0.10723039004754197;0.0;0.3181510877035852;0.13056116637614468;0.22090101634433087;0.6718094303963328;0.07692544501320679;0.05777864084202347;0.0;0.11502819059371548;0.08808034790273238;0.0;0.08107936186497713;0.0;0.1808904151777586;0.6386174750998616
GO:0060474;0.2846654001884514;0.0;0.0;0.0;0.0;0.14512506204207234;0.4434200850937917;0.0;0.06916445580749518;0.0;0.0843649029034733;0.0;0.180348658286329;1.0;0.0;0.08283331419665965;0.0;0.0;0.22415334053165578;0.06878723786738072;0.0;0.41097641391019074;0.06834256379738393;0.14294655946891333;0.0;0.0;0.13187749938889265;0.0;0.0;0.18552189963877905;0.06340275240098667;0.0;0.06025886400317226;0.2138010380508365;0.0;0.0;0.0;0.21886217203189642;0.04413053307145662;0.05979898517499056;0.0779691184375589;0.0;0.27104748162828757;0.5347060530194684;0.060833836382250435;0.0;0.18783424712344346;0.1651876585576635;0.0;0.16326796972957533;0.0;0.0;0.2330118141179996;0.07634456048102807;0.0;0.09139981101519175;0.08747344433409794;0.25961337019579145;0.20493313526909532;0.05582079473535314;0.046307867842103195;0.0;0.0802161552097469;0.06611104301467376;0.0;0.06208715716471687;0.0;0.1409492928432617;0.1976370992923594
GO:0030183;0.0;0.0;0.033596042514753545;0.02786212901933962;0.026862234835871347;0.0;0.0;0.024539713195627318;0.028453721257739057;0.3876065183521967;0.03750313902825974;0.21770204821139671;0.0;0.0;1.0;0.03652580048284384;0.030833009182776296;0.8492483640245458;0.0;0.0;0.3205104007020363;0.0;0.028002715479025372;0.0;0.3335102364463512;0.6452506950250457;0.0;0.0;0.0;0.0;0.0;0.5985699336646185;0.0;0.0;0.5985699336646185;0.3844129916198428;0.0239508132967792;0.0;0.0;0.0;0.03352362256445372;0.028070878955747017;0.0;0.0;0.0;0.0;0.0;0.39685016600443307;0.0;0.0;0.03964360639820183;0.024613534565903792;0.0;0.03255402290971606;0.025724789147027555;0.0;0.039536363463968674;0.025197381269559508;0.0;0.030446566786359423;0.0;0.46663773115012513;0.0;0.026796257210477223;0.2824058302920782;0.0;0.44247749739546144;0.0;0.0
GO:0007186;0.11054362420208816;0.0;0.04869443280532809;0.03750680325435487;0.035717088957602075;0.08715128437468421;0.09071887686342082;0.03172479080683146;0.3326845622871167;0.0;0.494499403273472;0.0;0.12048712868226295;0.08283331419665965;0.03652580048284384;1.0;0.04309677696390853;0.03273283404745692;0.18491289178245404;0.12437611422798135;0.028756141138988375;0.10554057284217162;0.325573562732092;0.08502179831377478;0.030248086593785195;0.023187454025804268;0.07480207708321457;0.0;0.0;0.12679047622240378;0.10781979760363644;0.023187454025804268;0.09903326213730454;0.1671007241631835;0.023187454025804268;0.0412148080107864;0.030747420401147554;0.17556875035788871;0.07044370903222344;0.10707331792173286;0.4185194316362508;0.03788607077976279;0.11511118606252567;0.12450306788784647;0.1005958410079318;0.0;0.12970258589773473;0.32769358767972606;0.0;0.10154679357828203;0.06251732355434028;0.03184827841072926;0.08955816927187249;0.40121582968177266;0.03373383437052387;0.22504831644550366;0.5367111532448827;0.10688293370490758;0.15326769739861199;0.1058183747752243;0.07036651148193557;0.0;0.16753602928424519;0.3069379481016581;0.024562408806052934;0.10406976126401875;0.04415876757219732;0.08310496018123809;0.14274996137801635
GO:0051260;0.0;0.0;0.03907609410483365;0.0315291360966763;0.8549523714360713;0.0;0.0;0.7725965353783992;0.032288820746228436;0.0;0.0444639727801271;0.0;0.0;0.0;0.030833009182776296;0.04309677696390853;1.0;0.0280857617968616;0.0;0.0;0.025106674436893597;0.0;0.03170928330862207;0.0;0.026236522087926636;0.020754795593142927;0.0;0.0;0.0;0.0;0.0;0.020754795593142927;0.0;0.0;0.020754795593142927;0.28824563786809076;0.02661137243296497;0.0;0.0;0.0;0.03897815602288921;0.031796714066345065;0.0;0.0;0.0;0.0;0.0;0.03188248675355808;0.0;0.0;0.0475049634528783;0.46702170828386336;0.0;0.0376735055726143;0.028819528464822393;0.0;0.047351053238292244;0.028159219988364594;0.0;0.03487953237020891;0.0;0.0;0.0;0.030171074742409248;0.021849572953508645;0.0;0.03610052904523184;0.0;0.0
GO:0042100;0.0;0.0;0.030360193118845517;0.025599365595189733;0.024752817863159495;0.0;0.0;0.02276725574989093;0.026097910212020105;0.3565225892154078;0.03351555634626716;0.0;0.0;0.0;0.8492483640245458;0.03273283404745692;0.0280857617968616;1.0;0.0;0.0;0.2989573315692144;0.0;0.025717995825062144;0.0;0.3102368123180612;0.608386147909086;0.0;0.0;0.0;0.0;0.0;0.500933450747223;0.0;0.0;0.500933450747223;0.027274143715078844;0.022259473739925817;0.0;0.0;0.0;0.030301039514064387;0.02577547882668424;0.0;0.0;0.0;0.0;0.0;0.3643281759857656;0.0;0.0;0.03521473356189953;0.022830784477355627;0.0;0.029506684242475937;0.023783776821842278;0.0;0.03513008833752792;0.023332256864685628;0.0;0.027764757665474964;0.0;0.42231060038035884;0.0;0.024696784658343834;0.26553804010349347;0.0;0.4024246370322637;0.0;0.0
GO:0009967;0.11291275728865188;0.0;0.0;0.0;0.0;0.24251953162376474;0.4059796085847199;0.0;0.1283069867695616;0.0;0.19272335598847784;0.0;0.32814025418595266;0.22415334053165578;0.0;0.18491289178245404;0.0;0.0;1.0;0.12701485640725477;0.0;0.10743452395209357;0.12550698232360008;0.2364965237061499;0.0;0.0;0.38002003822223435;0.0;0.0;0.678875902034003;0.41043854696170307;0.0;0.1006990196496373;0.45873498976334703;0.0;0.0;0.0;0.4826842622884617;0.07154030667192275;0.3877452520688802;0.162308545160108;0.0;0.5916596537377787;0.33930973347418975;0.38246908002543023;0.0;0.3537938382952343;0.5568282252545325;0.0;0.27566722757888235;0.0;0.0;0.09091824059375284;0.1554237161285434;0.0;0.23383848515341696;0.20975110450814136;0.29041646961374085;0.824367968177191;0.10831235720364599;0.07131905393510353;0.0;0.17235937717793315;0.11818123282994042;0.0;0.10591083163880732;0.0;0.23107919675418634;0.3902529111168063
GO:0045580;0.08440644495490277;0.0;0.0;0.0;0.0;0.07004991736346303;0.39012675844696865;0.0;0.09591419850290807;0.0;0.12786151016296765;0.0;0.09289549461428426;0.06878723786738072;0.0;0.12437611422798135;0.0;0.0;0.12701485640725477;1.0;0.0;0.4407064226312003;0.094340856117792;0.06866752993378997;0.0;0.0;0.36979527060918255;0.0;0.0;0.09659809798114609;0.08517976429254903;0.0;0.07960033955583906;0.11834939272690613;0.0;0.0;0.0;0.12253524303324917;0.0574478021861569;0.4925224943786991;0.11372317737976126;0.0;0.08966683018019268;0.3771341833943279;0.4241615297044662;0.0;0.09827923378113311;0.49890907390617484;0.0;0.08121616491854916;0.0;0.0;0.29042512533137116;0.11029977385347564;0.0;0.14474643035155535;0.13514001923078653;0.08459396955661554;0.11123872648439755;0.07897940221933689;0.35147796765592304;0.0;0.11856758493330331;0.09014078347717283;0.0;0.6374700157903758;0.0;0.06741174518577138;0.10559217394253058
