;GO:0008360;GO:0016601;GO:0035023;GO:0032092;GO:0008380;GO:1904778;GO:0006366;GO:0007595;GO:0038096;GO:0000432;GO:0043547;GO:0030866;GO:0000281;GO:0048024;GO:0050852;GO:0065003;GO:0007186;GO:0031032;GO:0007264;GO:0050728;GO:0006376;GO:0043114;GO:0002692;GO:0000226;GO:0006397;GO:0043314;GO:0060313;GO:0048010;GO:0043066;GO:0043065;GO:0032496;GO:0050766;GO:0030036
GO:0043114;0.46153846153846156;0.13333333333333333;0.25;0.3333333333333333;0.0;0.26666666666666666;0.0;0.15384615384615385;0.11764705882352941;0.2;0.3076923076923077;0.0;0.0;0.25;0.11764705882352941;0.0;0.16666666666666666;0.0;0.15384615384615385;0.2857142857142857;0.0;1.0;0.25;0.0;0.0;0.2222222222222222;0.3076923076923077;0.13333333333333333;0.2857142857142857;0.2857142857142857;0.0;0.26666666666666666;0.0
GO:0002692;0.23529411764705882;0.10526315789473684;0.3;0.25;0.0;0.3157894736842105;0.0;0.11764705882352941;0.09523809523809523;0.25;0.23529411764705882;0.0;0.0;0.3;0.09523809523809523;0.0;0.125;0.0;0.11764705882352941;0.4444444444444444;0.0;0.25;1.0;0.0;0.0;0.45454545454545453;0.47058823529411764;0.10526315789473684;0.4444444444444444;0.3333333333333333;0.0;0.3157894736842105;0.0
GO:0000226;0.0;0.26666666666666666;0.0;0.0;0.13333333333333333;0.0;0.11764705882352941;0.0;0.23529411764705882;0.2;0.0;0.7692307692307693;0.3333333333333333;0.0;0.23529411764705882;0.18181818181818182;0.3333333333333333;0.7692307692307693;0.3076923076923077;0.0;0.2857142857142857;0.0;0.0;1.0;0.13333333333333333;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.8333333333333334
GO:0006397;0.0;0.1111111111111111;0.0;0.0;0.1111111111111111;0.0;0.4;0.0;0.1;0.08695652173913043;0.0;0.125;0.13333333333333333;0.0;0.1;0.14285714285714285;0.13333333333333333;0.125;0.125;0.0;0.11764705882352941;0.0;0.0;0.13333333333333333;1.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.13333333333333333
GO:0043314;0.21052631578947367;0.09523809523809523;0.36363636363636365;0.2222222222222222;0.0;0.2857142857142857;0.0;0.10526315789473684;0.43478260869565216;0.23076923076923078;0.21052631578947367;0.0;0.0;0.2727272727272727;0.08695652173913043;0.0;0.1111111111111111;0.0;0.10526315789473684;0.5;0.0;0.2222222222222222;0.45454545454545453;0.0;0.0;1.0;0.42105263157894735;0.09523809523809523;0.4;0.4;0.0;0.5714285714285714;0.0
GO:0060313;0.7142857142857143;0.125;0.35294117647058826;0.3076923076923077;0.0;0.375;0.0;0.14285714285714285;0.1111111111111111;0.2857142857142857;0.2857142857142857;0.0;0.0;0.35294117647058826;0.1111111111111111;0.0;0.15384615384615385;0.0;0.14285714285714285;0.5333333333333333;0.0;0.3076923076923077;0.47058823529411764;0.0;0.0;0.42105263157894735;1.0;0.125;0.5333333333333333;0.4;0.0;0.375;0.0
GO:0048010;0.125;0.1111111111111111;0.10526315789473684;0.13333333333333333;0.1111111111111111;0.1111111111111111;0.1;0.125;0.1;0.17391304347826086;0.125;0.25;0.13333333333333333;0.10526315789473684;0.1;0.14285714285714285;0.13333333333333333;0.25;0.125;0.11764705882352941;0.11764705882352941;0.13333333333333333;0.10526315789473684;0.26666666666666666;0.1111111111111111;0.09523809523809523;0.125;1.0;0.11764705882352941;0.11764705882352941;0.0;0.1111111111111111;0.26666666666666666
GO:0043066;0.5333333333333333;0.11764705882352941;0.4444444444444444;0.2857142857142857;0.0;0.35294117647058826;0.0;0.13333333333333333;0.10526315789473684;0.36363636363636365;0.26666666666666666;0.0;0.0;0.4444444444444444;0.10526315789473684;0.0;0.5714285714285714;0.0;0.5333333333333333;0.5;0.0;0.2857142857142857;0.4444444444444444;0.0;0.0;0.4;0.5333333333333333;0.11764705882352941;1.0;0.875;0.0;0.47058823529411764;0.0
GO:0043065;0.5333333333333333;0.11764705882352941;0.4444444444444444;0.2857142857142857;0.0;0.47058823529411764;0.0;0.13333333333333333;0.10526315789473684;0.36363636363636365;0.26666666666666666;0.0;0.0;0.4444444444444444;0.10526315789473684;0.0;0.5714285714285714;0.0;0.5333333333333333;0.375;0.0;0.2857142857142857;0.3333333333333333;0.0;0.0;0.4;0.4;0.11764705882352941;0.875;1.0;0.0;0.5882352941176471;0.0
GO:0032496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
