;GO:0008360;GO:0016601;GO:0035023;GO:0032092;GO:0008380;GO:1904778;GO:0006366;GO:0007595;GO:0038096;GO:0000432;GO:0043547;GO:0030866;GO:0000281;GO:0048024;GO:0050852;GO:0065003;GO:0007186;GO:0031032;GO:0007264;GO:0050728;GO:0006376;GO:0043114;GO:0002692;GO:0000226;GO:0006397;GO:0043314;GO:0060313;GO:0048010;GO:0043066;GO:0043065;GO:0032496;GO:0050766;GO:0030036
GO:0000281;0.0;0.4024070004238523;0.0;0.0;0.47119763068039217;0.0;0.5014099121704623;0.0;0.4024070004238523;0.24090324668827506;0.0;0.38553310662015444;1.0;0.0;0.4024070004238523;0.5386941674171868;0.5147016835661022;0.39749047222676315;0.46815866028066616;0.0;0.4360663303936862;0.0;0.0;0.4652662339702239;0.47389819735531896;0.0;0.0;0.44591105330956243;0.0;0.0;0.0;0.0;0.451437925010022
GO:0048024;0.36738489999756535;0.2864787271957445;0.2832647057968362;0.3082974092050674;0.0;0.2881821295237541;0.0;0.2650608146213454;0.2864787271957445;0.4482563582524942;0.2395991862513333;0.0;0.0;1.0;0.2864787271957445;0.0;0.41608834717338966;0.0;0.3522303870525584;0.33628099220501056;0.0;0.3041380865773661;0.3243387642040626;0.0;0.0;0.27098998840247623;0.28684120333210544;0.32998278008145465;0.3799744125772673;0.3813015228900821;0.0;0.3292110635823708;0.0
GO:0050852;0.40654684191756313;0.5185369985399844;0.3233604327120895;0.32749556691612053;0.4543679656954753;0.33064761828491374;0.48458024718554527;0.37931772552493564;0.710343230630615;0.2796733514796847;0.2519585736096705;0.3687034416352375;0.4024070004238523;0.2864787271957445;1.0;0.5218645024322699;0.6308316816822342;0.3806608072418462;0.5842886583967981;0.3988450290358226;0.41923666540876925;0.4183949974809563;0.40636570044936127;0.4484365689853069;0.45706853237040207;0.3839963940865001;0.27653935370102606;0.5988032204436986;0.34821630853854857;0.3899848859672906;0.0;0.35520936349497445;0.43460826002510505
GO:0065003;0.0;0.5218645024322699;0.0;0.0;0.5906551326888099;0.0;0.6208674141788798;0.0;0.5218645024322699;0.3308607413545602;0.0;0.5698123377598409;0.5386941674171868;0.0;0.5218645024322699;1.0;0.6341591855745199;0.5817697033664495;0.5876161622890839;0.0;0.7954746394312462;0.0;0.0;0.6435443440429074;0.5933556993637366;0.0;0.0;0.5653685553179801;0.0;0.0;0.0;0.0;0.6297160350827056
GO:0007186;0.5188415250598131;0.6308316816822342;0.39060383946202815;0.43979025005837047;0.5666626488377251;0.38603364546268054;0.5968749303277952;0.4916124086671856;0.6308316816822342;0.35152656750600747;0.3642532567519205;0.48099812477748743;0.5147016835661022;0.41608834717338966;0.6308316816822342;0.6341591855745199;1.0;0.4929554903840962;0.6965833415390481;0.434132508143937;0.5315313485510191;0.5306896806232062;0.42219028014298904;0.5607312521275569;0.569363215512652;0.36884150434140267;0.38883403684327605;0.6743357345679444;0.4974559848817061;0.49878309519452096;0.0;0.44669263588680963;0.5469029431673551
GO:0031032;0.0;0.3806608072418462;0.0;0.0;0.4226488829367255;0.0;0.4528611644267955;0.0;0.3806608072418462;0.2647520151477289;0.0;0.7842513263486233;0.39749047222676315;0.0;0.3806608072418462;0.5817697033664495;0.4929554903840962;1.0;0.44641246709866006;0.0;0.5059444209046096;0.0;0.0;0.7298629913830756;0.4253494496116523;0.0;0.0;0.42416486012755633;0.0;0.0;0.0;0.0;0.8769586993001516
GO:0007264;0.472298501774377;0.7727445864076089;0.3285720773833238;0.3932472267729344;0.5201196255522891;0.33949062217724446;0.5503319070423591;0.4450693853817495;0.5842886583967981;0.3049835442205714;0.31771023346648436;0.43445510149205135;0.46815866028066616;0.3522303870525584;0.5842886583967981;0.5876161622890839;0.6965833415390481;0.44641246709866006;1.0;0.3875894848585009;0.4849883252655831;0.4841466573377702;0.37564725685755296;0.5141882288421208;0.522820192227216;0.3222984810559666;0.3422910135578399;0.6277927112825084;0.43128290523075763;0.4326100155435725;0.0;0.38051955623586114;0.5003599198819189
GO:0050728;0.4027439978035079;0.32183782500168706;0.42060736415644806;0.35682002757303494;0.0;0.3381822181361257;0.0;0.3168871012758439;0.3988450290358226;0.2622315948113629;0.28690182208323306;0.0;0.0;0.33628099220501056;0.3988450290358226;0.0;0.434132508143937;0.0;0.3875894848585009;1.0;0.0;0.3559643732318646;0.45299097504831193;0.0;0.0;0.5237525224919292;0.43913310122105903;0.3653418778873972;0.4889965670560042;0.39934568386062946;0.0;0.3627439633461864;0.0
GO:0006376;0.0;0.41923666540876925;0.0;0.0;0.48802729566530906;0.0;0.5182395771553792;0.0;0.41923666540876925;0.257732911673192;0.0;0.49398705529800074;0.4360663303936862;0.0;0.41923666540876925;0.7954746394312462;0.5315313485510191;0.5059444209046096;0.4849883252655831;0.0;1.0;0.0;0.0;0.5737201826480702;0.4907278623402359;0.0;0.0;0.4627407182944793;0.0;0.0;0.0;0.0;0.5598918736878684
GO:0043114;0.5968724133319514;0.4183949974809563;0.2804797769081315;0.3665728388721412;0.0;0.3078655105506081;0.0;0.5159662405301305;0.4183949974809563;0.22739123640324654;0.29103584556569123;0.0;0.0;0.3041380865773661;0.4183949974809563;0.0;0.5306896806232062;0.0;0.4841466573377702;0.3559643732318646;0.0;1.0;0.32755495638236065;0.0;0.0;0.2742061805807743;0.31066590193120364;0.4618990503666664;0.3658756679201701;0.36720277823298497;0.0;0.33242725576066884;0.0
